Date,NETHERLANDS LARGE CAP Large Cap
1994-05-31,193.093
1994-06-30,191.136
1994-07-29,202.815
1994-08-31,210.37
1994-09-30,206.096
1994-10-31,219.112
1994-11-30,208.205
1994-12-30,213.893
1995-01-31,216.127
1995-02-28,222.149
1995-03-31,234.388
1995-04-28,243.16
1995-05-31,249.955
1995-06-30,252.664
1995-07-31,266.513
1995-08-31,251.485
1995-09-29,265.637
1995-10-31,262.777
1995-11-30,270.858
1995-12-29,280.44
1996-01-31,280.79
1996-02-29,286.578
1996-03-29,295.718
1996-04-30,297.355
1996-05-31,313.857
1996-06-28,312.317
1996-07-31,306.067
1996-08-30,313.356
1996-09-30,320.773
1996-10-31,325.787
1996-11-29,345.904
1996-12-31,355.179
1997-01-31,349.079
1997-02-28,362.979
1997-03-31,373.813
1997-04-30,370.646
1997-05-30,395.24
1997-06-30,423.087
1997-07-31,453.638
1997-08-29,412.049
1997-09-30,449.141
1997-10-31,427.757
1997-11-28,425.023
1997-12-31,434.736
1998-01-30,439.971
1998-02-27,488.571
1998-03-31,505.841
1998-04-30,520.222
1998-05-29,559.43
1998-06-30,550.39
1998-07-31,561.336
1998-08-31,495.955
1998-09-30,464.482
1998-10-30,490.64
1998-11-30,527.954
1998-12-31,575.005
1999-01-29,538.26
1999-02-26,531.49
1999-03-31,537.822
1999-04-30,571.601
1999-05-31,545.917
1999-06-30,548.843
1999-07-30,564.768
1999-08-31,580.163
1999-09-30,559.266
1999-10-29,581.569
1999-11-30,586.009
1999-12-31,644.222
2000-01-31,569.679
2000-02-29,614.55
2000-03-31,619.201
2000-04-28,594.914
2000-05-31,607.089
2000-06-30,641.61
2000-07-31,615.804
2000-08-31,618.246
2000-09-29,593.666
2000-10-31,586.614
2000-11-30,579.616
2000-12-29,608.489
2001-01-31,604.867
2001-02-28,562.918
2001-03-30,511.698
2001-04-30,548.794
2001-05-31,527.576
2001-06-29,516.117
2001-07-31,514.743
2001-08-31,513.375
2001-09-28,448.2
2001-10-31,448.73
2001-11-30,466.792
2001-12-31,478.244
2002-01-31,459.641
2002-02-28,460.027
2002-03-29,498.422
2002-04-30,497.58
2002-05-31,500.116
2002-06-28,487.637
2002-07-31,401.015
2002-08-30,409.492
2002-09-30,336.464
2002-10-31,381.564
2002-11-29,402.857
2002-12-31,383.572
2003-01-31,360.731
2003-02-28,336.798
2003-03-31,326.661
2003-04-30,365.922
2003-05-30,385.445
2003-06-30,388.56
2003-07-31,405.034
2003-08-29,411.289
2003-09-30,406.117
2003-10-31,432.186
2003-11-28,445.94
2003-12-31,490.23
2004-01-30,484.973
2004-02-27,492.456
2004-03-31,466.928
2004-04-30,468.236
2004-05-31,476.519
2004-06-30,486.323
2004-07-30,465.848
2004-08-31,466.024
2004-09-30,474.477
2004-10-29,496.127
2004-11-30,527.502
2004-12-31,553.146
2005-01-31,551.166
2005-02-28,588.41
2005-03-31,566.26
2005-04-29,539.756
2005-05-31,543.448
2005-06-30,570.844
2005-07-29,579.606
2005-08-31,577.817
2005-09-30,584.507
2005-10-31,574.575
2005-11-30,607.098
2005-12-30,637.876
2006-01-31,664.888
2006-02-28,683.393
2006-03-31,712.01
2006-04-28,737.388
2006-05-31,706.555
2006-06-30,707.005
2006-07-31,728.671
2006-08-31,768.331
2006-09-29,791.248
2006-10-31,791.392
2006-11-30,810.396
2006-12-29,840.791
2007-01-31,842.183
2007-02-28,844.712
2007-03-30,916.245
2007-04-30,1007.504
2007-05-31,1000.0
2007-06-29,993.787
2007-07-31,984.501
2007-08-31,963.663
2007-09-28,1045.583
2007-10-31,1059.775
2007-11-30,1020.758
2007-12-31,1034.168
2008-01-31,912.013
2008-02-29,934.417
2008-03-31,968.527
2008-04-30,1006.659
2008-05-30,1004.742
2008-06-30,874.877
2008-07-31,849.319
2008-08-29,859.445
2008-09-30,699.472
2008-10-31,521.289
2008-11-28,497.035
2008-12-31,546.57
2009-01-30,498.582
2009-02-27,432.581
2009-03-31,445.992
2009-04-30,499.893
2009-05-29,564.857
2009-06-30,558.597
2009-07-31,638.483
2009-08-31,673.29
2009-09-30,728.465
2009-10-30,715.776
2009-11-30,722.621
2009-12-31,746.303
2010-01-29,720.967
2010-02-26,690.909
2010-03-31,735.821
2010-04-30,734.417
2010-05-31,648.453
2010-06-30,644.24
2010-07-30,712.442
2010-08-31,665.102
2010-09-30,746.313
2010-10-29,750.314
2010-11-30,670.621
2010-12-31,737.332
2011-01-31,769.258
2011-02-28,803.803
2011-03-31,816.514
2011-04-29,846.868
2011-05-31,806.027
2011-06-30,787.81
2011-07-29,754.852
2011-08-31,688.896
2011-09-30,627.685
2011-10-31,707.68
2011-11-30,669.548
2011-12-30,671.348
2012-01-31,689.114
2012-02-29,712.534
2012-03-30,717.732
2012-04-30,685.414
2012-05-31,622.892
2012-06-29,675.668
2012-07-31,704.827
2012-08-31,736.18
2012-09-28,739.41
2012-10-31,768.48
2012-11-30,797.7
2012-12-31,817.661
2013-01-31,897.705
2013-02-28,829.594
2013-03-29,834.108
2013-04-30,864.814
2013-05-31,894.964
2013-06-28,849.774
2013-07-31,931.734
2013-08-30,909.657
2013-09-30,965.972
2013-10-31,1016.562
2013-11-29,1026.207
2013-12-31,1053.449
2014-01-31,980.31
2014-02-28,1051.265
2014-03-31,1069.164
2014-04-30,1050.071
2014-05-30,1057.241
2014-06-30,1074.826
2014-07-31,1027.001
2014-08-29,1050.066
2014-09-30,1050.55
2014-10-31,1026.485
2014-11-28,1077.421
2014-12-31,1032.269
2015-01-30,1044.882
2015-02-27,1114.394
2015-03-31,1089.539
2015-04-30,1131.305
2015-05-29,1150.556
2015-06-30,1117.594
2015-07-31,1164.435
2015-08-31,1067.491
2015-09-30,1027.267
2015-10-30,1117.46
2015-11-30,1091.432
2015-12-31,1057.766
2016-01-29,1033.422
2016-02-29,1012.019
2016-03-31,1089.279
2016-04-29,1090.055
2016-05-31,1111.054
2016-06-30,1042.483
2016-07-29,1096.665
2016-08-31,1124.702
2016-09-30,1142.334
2016-10-31,1118.622
2016-11-30,1081.07
2016-12-30,1123.133
2017-01-31,1139.123
2017-02-28,1189.476
2017-03-31,1264.398
2017-04-28,1322.152
2017-05-31,1391.293
2017-06-30,1369.965
2017-07-31,1466.479
2017-08-31,1466.714
2017-09-29,1500.25
2017-10-31,1511.233
2017-11-30,1486.571
2017-12-29,1499.665
2018-01-31,1596.096
2018-02-28,1512.358
2018-03-30,1518.388
2018-04-30,1535.882
2018-05-31,1488.169
2018-06-29,1492.018
2018-07-31,1547.99
2018-08-31,1513.965
2018-09-28,1457.621
2018-10-31,1341.447
2018-11-30,1377.706
2018-12-31,1292.69
2019-01-31,1386.083
2019-02-28,1455.667
2019-03-29,1474.05
2019-04-30,1564.841
2019-05-31,1468.256
2019-06-28,1565.288
2019-07-31,1585.162
2019-08-30,1570.725
2019-09-30,1612.292
2019-10-31,1626.239
2019-11-29,1667.867
2019-12-31,1736.929
2020-01-31,1685.182
2020-02-28,1552.168
2020-03-31,1387.758
2020-04-30,1502.865
2020-05-29,1614.651
2020-06-30,1736.94
2020-07-31,1814.154
2020-08-31,1861.772
2020-09-30,1843.815
2020-10-30,1795.576
2020-11-30,2048.738
2020-12-31,2182.197
2021-01-29,2242.104
2021-02-26,2330.524
2021-03-31,2440.095
2021-04-30,2572.579
2021-05-31,2638.481
2021-06-30,2638.92
2021-07-30,2770.338
2021-08-31,2963.624
2021-09-30,2731.256
2021-10-29,2927.03
2021-11-30,2762.446
2021-12-31,2844.306
2022-01-31,2499.635
2022-02-28,2382.383
2022-03-31,2331.298
2022-04-29,2085.827
2022-05-31,2104.084
2022-06-30,1887.271
2022-07-29,2098.122
2022-08-31,1870.316
2022-09-30,1678.602
2022-10-31,1770.45
2022-11-30,2096.617
2022-12-30,2038.961
2023-01-31,2347.796
2023-02-28,2264.708
2023-03-31,2404.791
2023-04-28,2378.174
2023-05-31,2401.653
2023-06-30,2513.432
2023-07-31,2563.839
2023-08-31,2323.92
2023-09-29,2136.445
