Date,NETHERLANDS LARGE CAP Large Cap
2001-01-01,608.489
2001-01-02,611.083
2001-01-03,607.616
2001-01-04,613.481
2001-01-05,614.383
2001-01-08,609.265
2001-01-09,603.016
2001-01-10,599.322
2001-01-11,613.643
2001-01-12,614.489
2001-01-15,613.087
2001-01-16,603.503
2001-01-17,605.275
2001-01-18,605.821
2001-01-19,595.257
2001-01-22,596.348
2001-01-23,599.426
2001-01-24,595.002
2001-01-25,594.782
2001-01-26,593.062
2001-01-29,595.441
2001-01-30,596.269
2001-01-31,604.867
2001-02-01,605.03
2001-02-02,599.495
2001-02-05,604.462
2001-02-06,600.877
2001-02-07,595.352
2001-02-08,588.549
2001-02-09,590.899
2001-02-12,594.243
2001-02-13,589.823
2001-02-14,583.868
2001-02-15,575.869
2001-02-16,578.616
2001-02-19,576.467
2001-02-20,568.129
2001-02-21,562.919
2001-02-22,552.483
2001-02-23,545.871
2001-02-26,554.362
2001-02-27,562.914
2001-02-28,562.918
2001-03-01,562.086
2001-03-02,565.338
2001-03-05,563.534
2001-03-06,572.197
2001-03-07,569.307
2001-03-08,569.535
2001-03-09,569.913
2001-03-12,557.011
2001-03-13,542.949
2001-03-14,533.134
2001-03-15,532.935
2001-03-16,514.035
2001-03-19,508.956
2001-03-20,516.749
2001-03-21,505.315
2001-03-22,477.424
2001-03-23,490.604
2001-03-26,509.898
2001-03-27,519.554
2001-03-28,508.634
2001-03-29,505.592
2001-03-30,511.698
2001-04-02,510.012
2001-04-03,496.476
2001-04-04,502.84
2001-04-05,511.744
2001-04-06,514.385
2001-04-09,522.659
2001-04-10,527.984
2001-04-11,527.091
2001-04-12,531.779
2001-04-13,531.779
2001-04-16,526.332
2001-04-17,522.255
2001-04-18,530.574
2001-04-19,534.297
2001-04-20,537.967
2001-04-23,530.649
2001-04-24,536.659
2001-04-25,539.476
2001-04-26,550.164
2001-04-27,552.508
2001-04-30,548.794
2001-05-01,552.115
2001-05-02,551.626
2001-05-03,541.738
2001-05-04,539.223
2001-05-07,541.61
2001-05-08,537.647
2001-05-09,534.705
2001-05-10,549.108
2001-05-11,542.15
2001-05-14,537.862
2001-05-15,544.544
2001-05-16,543.572
2001-05-17,548.193
2001-05-18,554.154
2001-05-21,551.894
2001-05-22,551.747
2001-05-23,543.211
2001-05-24,540.633
2001-05-25,534.848
2001-05-28,540.779
2001-05-29,535.613
2001-05-30,530.873
2001-05-31,527.576
2001-06-01,523.582
2001-06-04,524.294
2001-06-05,532.283
2001-06-06,530.788
2001-06-07,531.836
2001-06-08,530.04
2001-06-11,521.374
2001-06-12,518.545
2001-06-13,524.098
2001-06-14,521.207
2001-06-15,515.824
2001-06-18,515.361
2001-06-19,510.392
2001-06-20,505.306
2001-06-21,508.996
2001-06-22,514.983
2001-06-25,521.366
2001-06-26,517.078
2001-06-27,514.145
2001-06-28,507.779
2001-06-29,516.117
2001-07-02,523.633
2001-07-03,517.875
2001-07-04,516.111
2001-07-05,511.983
2001-07-06,506.995
2001-07-09,508.442
2001-07-10,509.559
2001-07-11,505.558
2001-07-12,502.921
2001-07-13,502.273
2001-07-16,498.819
2001-07-17,497.345
2001-07-18,499.666
2001-07-19,501.307
2001-07-20,499.923
2001-07-23,500.502
2001-07-24,501.046
2001-07-25,494.673
2001-07-26,496.675
2001-07-27,502.41
2001-07-30,510.775
2001-07-31,514.743
2001-08-01,519.98
2001-08-02,516.972
2001-08-03,512.039
2001-08-06,511.823
2001-08-07,511.368
2001-08-08,506.261
2001-08-09,506.661
2001-08-10,506.65
2001-08-13,512.415
2001-08-14,517.472
2001-08-15,520.137
2001-08-16,519.721
2001-08-17,514.093
2001-08-20,512.646
2001-08-21,518.345
2001-08-22,521.149
2001-08-23,523.863
2001-08-24,529.811
2001-08-27,531.757
2001-08-28,523.2
2001-08-29,526.11
2001-08-30,516.958
2001-08-31,513.375
2001-09-03,505.775
2001-09-04,501.812
2001-09-05,493.75
2001-09-06,483.689
2001-09-07,475.214
2001-09-10,470.624
2001-09-11,447.212
2001-09-12,446.645
2001-09-13,452.496
2001-09-14,427.207
2001-09-17,440.763
2001-09-18,442.956
2001-09-19,433.867
2001-09-20,407.653
2001-09-21,386.237
2001-09-24,411.543
2001-09-25,425.674
2001-09-26,430.78
2001-09-27,433.044
2001-09-28,448.2
2001-10-01,435.714
2001-10-02,444.053
2001-10-03,440.776
2001-10-04,458.785
2001-10-05,457.668
2001-10-08,458.524
2001-10-09,458.673
2001-10-10,469.002
2001-10-11,470.019
2001-10-12,468.967
2001-10-15,446.698
2001-10-16,449.214
2001-10-17,459.804
2001-10-18,444.961
2001-10-19,434.08
2001-10-22,440.152
2001-10-23,453.277
2001-10-24,451.962
2001-10-25,445.765
2001-10-26,457.987
2001-10-29,456.771
2001-10-30,446.602
2001-10-31,448.73
2001-11-01,457.249
2001-11-02,457.291
2001-11-05,467.125
2001-11-06,464.416
2001-11-07,473.632
2001-11-08,480.019
2001-11-09,472.147
2001-11-12,460.464
2001-11-13,473.277
2001-11-14,467.515
2001-11-15,461.746
2001-11-16,470.629
2001-11-19,471.669
2001-11-20,470.962
2001-11-21,464.734
2001-11-22,473.304
2001-11-23,472.522
2001-11-26,471.358
2001-11-27,465.219
2001-11-28,460.141
2001-11-29,461.756
2001-11-30,466.792
2001-12-03,462.72
2001-12-04,465.638
2001-12-05,476.295
2001-12-06,477.613
2001-12-07,473.924
2001-12-10,463.528
2001-12-11,464.366
2001-12-12,460.841
2001-12-13,453.039
2001-12-14,453.055
2001-12-17,467.755
2001-12-18,464.74
2001-12-19,462.153
2001-12-20,456.664
2001-12-21,464.254
2001-12-24,459.461
2001-12-25,459.461
2001-12-26,459.854
2001-12-27,472.996
2001-12-28,473.625
2001-12-31,478.244
2002-01-01,478.244
2002-01-02,474.52
2002-01-03,479.159
2002-01-04,472.596
2002-01-07,469.593
2002-01-08,465.052
2002-01-09,467.645
2002-01-10,464.695
2002-01-11,469.603
2002-01-14,460.429
2002-01-15,465.061
2002-01-16,456.76
2002-01-17,461.966
2002-01-18,460.913
2002-01-21,459.438
2002-01-22,460.87
2002-01-23,462.207
2002-01-24,469.493
2002-01-25,463.569
2002-01-28,465.776
2002-01-29,461.14
2002-01-30,454.789
2002-01-31,459.641
2002-02-01,460.836
2002-02-04,459.585
2002-02-05,451.057
2002-02-06,447.191
2002-02-07,449.408
2002-02-08,448.493
2002-02-11,456.894
2002-02-12,457.553
2002-02-13,458.201
2002-02-14,463.84
2002-02-15,463.344
2002-02-18,458.193
2002-02-19,451.234
2002-02-20,447.141
2002-02-21,452.913
2002-02-22,450.27
2002-02-25,453.52
2002-02-26,454.154
2002-02-27,456.493
2002-02-28,460.027
2002-03-01,463.656
2002-03-04,476.245
2002-03-05,476.167
2002-03-06,479.735
2002-03-07,487.504
2002-03-08,485.613
2002-03-11,486.752
2002-03-12,484.061
2002-03-13,481.197
2002-03-14,484.49
2002-03-15,492.261
2002-03-18,494.288
2002-03-19,498.791
2002-03-20,496.35
2002-03-21,492.877
2002-03-22,494.253
2002-03-25,490.099
2002-03-26,491.349
2002-03-27,490.826
2002-03-28,498.422
2002-03-29,498.422
2002-04-01,502.507
2002-04-02,502.6
2002-04-03,500.198
2002-04-04,493.607
2002-04-05,488.167
2002-04-08,479.505
2002-04-09,482.244
2002-04-10,487.829
2002-04-11,484.431
2002-04-12,482.61
2002-04-15,485.829
2002-04-16,498.077
2002-04-17,502.719
2002-04-18,504.146
2002-04-19,504.407
2002-04-22,502.292
2002-04-23,501.981
2002-04-24,497.239
2002-04-25,495.19
2002-04-26,493.611
2002-04-29,491.966
2002-04-30,497.58
2002-05-01,500.396
2002-05-02,492.17
2002-05-03,493.382
2002-05-06,491.314
2002-05-07,485.399
2002-05-08,491.308
2002-05-09,492.158
2002-05-10,488.852
2002-05-13,491.313
2002-05-14,495.058
2002-05-15,499.759
2002-05-16,499.637
2002-05-17,503.098
2002-05-20,500.17
2002-05-21,495.776
2002-05-22,495.319
2002-05-23,498.687
2002-05-24,501.321
2002-05-27,500.105
2002-05-28,501.175
2002-05-29,500.679
2002-05-30,494.202
2002-05-31,500.116
2002-06-03,494.655
2002-06-04,480.841
2002-06-05,479.542
2002-06-06,486.724
2002-06-07,474.026
2002-06-10,471.602
2002-06-11,480.323
2002-06-12,467.835
2002-06-13,463.662
2002-06-14,451.216
2002-06-17,466.145
2002-06-18,470.137
2002-06-19,466.287
2002-06-20,458.643
2002-06-21,455.913
2002-06-24,447.393
2002-06-25,460.313
2002-06-26,457.935
2002-06-27,461.72
2002-06-28,487.637
2002-07-01,487.051
2002-07-02,468.836
2002-07-03,454.361
2002-07-04,470.264
2002-07-05,485.215
2002-07-08,487.714
2002-07-09,486.22
2002-07-10,455.437
2002-07-11,436.976
2002-07-12,433.041
2002-07-15,409.101
2002-07-16,406.724
2002-07-17,423.543
2002-07-18,428.805
2002-07-19,414.64
2002-07-22,379.219
2002-07-23,366.599
2002-07-24,355.511
2002-07-25,377.077
2002-07-26,373.718
2002-07-29,395.839
2002-07-30,392.44
2002-07-31,401.015
2002-08-01,377.172
2002-08-02,375.496
2002-08-05,364.167
2002-08-06,373.879
2002-08-07,376.03
2002-08-08,394.133
2002-08-09,404.674
2002-08-12,394.983
2002-08-13,400.29
2002-08-14,390.71
2002-08-15,406.537
2002-08-16,411.55
2002-08-19,423.256
2002-08-20,416.954
2002-08-21,418.64
2002-08-22,430.543
2002-08-23,425.546
2002-08-26,414.535
2002-08-27,433.972
2002-08-28,414.892
2002-08-29,403.788
2002-08-30,409.492
2002-09-02,403.353
2002-09-03,388.873
2002-09-04,386.69
2002-09-05,381.993
2002-09-06,393.635
2002-09-09,381.757
2002-09-10,390.537
2002-09-11,401.5
2002-09-12,381.889
2002-09-13,373.41
2002-09-16,370.018
2002-09-17,363.449
2002-09-18,349.967
2002-09-19,346.333
2002-09-20,341.865
2002-09-23,330.78
2002-09-24,329.717
2002-09-25,333.37
2002-09-26,355.714
2002-09-27,352.98
2002-09-30,336.464
2002-10-01,347.441
2002-10-02,362.331
2002-10-03,357.532
2002-10-04,347.588
2002-10-07,343.979
2002-10-08,334.306
2002-10-09,335.254
2002-10-10,344.678
2002-10-11,360.228
2002-10-14,356.821
2002-10-15,379.97
2002-10-16,370.585
2002-10-17,378.107
2002-10-18,380.086
2002-10-21,379.991
2002-10-22,375.769
2002-10-23,361.252
2002-10-24,369.629
2002-10-25,364.793
2002-10-28,374.083
2002-10-29,354.427
2002-10-30,369.603
2002-10-31,381.564
2002-11-01,379.154
2002-11-04,390.667
2002-11-05,395.565
2002-11-06,388.853
2002-11-07,378.436
2002-11-08,375.877
2002-11-11,374.437
2002-11-12,374.487
2002-11-13,371.118
2002-11-14,378.129
2002-11-15,383.476
2002-11-18,388.794
2002-11-19,388.604
2002-11-20,383.092
2002-11-21,398.796
2002-11-22,399.118
2002-11-25,397.782
2002-11-26,387.558
2002-11-27,397.455
2002-11-28,401.834
2002-11-29,402.857
2002-12-02,400.382
2002-12-03,391.481
2002-12-04,385.284
2002-12-05,381.575
2002-12-06,384.072
2002-12-09,376.368
2002-12-10,377.157
2002-12-11,382.517
2002-12-12,379.825
2002-12-13,375.067
2002-12-16,387.862
2002-12-17,385.164
2002-12-18,376.051
2002-12-19,372.763
2002-12-20,378.42
2002-12-23,384.506
2002-12-24,385.719
2002-12-25,385.719
2002-12-26,386.692
2002-12-27,376.184
2002-12-30,381.049
2002-12-31,383.572
2003-01-01,383.572
2003-01-02,396.075
2003-01-03,394.206
2003-01-06,399.855
2003-01-07,396.07
2003-01-08,388.061
2003-01-09,396.923
2003-01-10,400.249
2003-01-13,402.397
2003-01-14,402.098
2003-01-15,396.861
2003-01-16,395.648
2003-01-17,386.067
2003-01-20,377.549
2003-01-21,371.769
2003-01-22,363.193
2003-01-23,361.455
2003-01-24,360.542
2003-01-27,346.819
2003-01-28,349.045
2003-01-29,351.256
2003-01-30,359.532
2003-01-31,360.731
2003-02-03,364.957
2003-02-04,354.516
2003-02-05,360.553
2003-02-06,350.478
2003-02-07,343.228
2003-02-10,337.282
2003-02-11,345.686
2003-02-12,336.575
2003-02-13,338.986
2003-02-14,349.044
2003-02-17,355.027
2003-02-18,357.535
2003-02-19,350.947
2003-02-20,348.07
2003-02-21,350.812
2003-02-24,336.302
2003-02-25,324.388
2003-02-26,321.966
2003-02-27,326.745
2003-02-28,336.798
2003-03-03,339.647
2003-03-04,332.681
2003-03-05,330.821
2003-03-06,324.077
2003-03-07,312.889
2003-03-10,305.581
2003-03-11,307.528
2003-03-12,291.977
2003-03-13,312.336
2003-03-14,326.537
2003-03-17,338.187
2003-03-18,331.788
2003-03-19,334.658
2003-03-20,331.697
2003-03-21,343.473
2003-03-24,327.851
2003-03-25,338.991
2003-03-26,339.168
2003-03-27,333.303
2003-03-28,337.518
2003-03-31,326.661
2003-04-01,332.827
2003-04-02,341.34
2003-04-03,343.056
2003-04-04,343.41
2003-04-07,356.954
2003-04-08,351.266
2003-04-09,351.24
2003-04-10,348.055
2003-04-11,350.919
2003-04-14,354.88
2003-04-15,363.944
2003-04-16,363.545
2003-04-17,367.489
2003-04-18,367.489
2003-04-21,365.905
2003-04-22,369.074
2003-04-23,372.869
2003-04-24,365.392
2003-04-25,358.568
2003-04-28,369.077
2003-04-29,363.823
2003-04-30,365.922
2003-05-01,369.283
2003-05-02,364.449
2003-05-05,373.991
2003-05-06,382.225
2003-05-07,378.016
2003-05-08,371.907
2003-05-09,377.476
2003-05-12,381.58
2003-05-13,381.498
2003-05-14,380.522
2003-05-15,380.638
2003-05-16,384.978
2003-05-19,374.903
2003-05-20,375.998
2003-05-21,369.975
2003-05-22,375.604
2003-05-23,374.153
2003-05-26,375.874
2003-05-27,378.861
2003-05-28,384.052
2003-05-29,386.415
2003-05-30,385.445
2003-06-02,391.257
2003-06-03,388.588
2003-06-04,396.037
2003-06-05,400.071
2003-06-06,405.11
2003-06-09,399.807
2003-06-10,399.204
2003-06-11,411.068
2003-06-12,417.161
2003-06-13,407.7
2003-06-16,418.441
2003-06-17,416.676
2003-06-18,416.375
2003-06-19,408.458
2003-06-20,411.736
2003-06-23,393.738
2003-06-24,390.111
2003-06-25,396.929
2003-06-26,390.95
2003-06-27,393.896
2003-06-30,388.56
2003-07-01,384.193
2003-07-02,391.493
2003-07-03,392.361
2003-07-04,388.439
2003-07-07,398.973
2003-07-08,397.55
2003-07-09,392.792
2003-07-10,387.668
2003-07-11,391.912
2003-07-14,397.987
2003-07-15,395.767
2003-07-16,393.904
2003-07-17,388.433
2003-07-18,396.581
2003-07-21,396.181
2003-07-22,401.504
2003-07-23,401.717
2003-07-24,408.827
2003-07-25,405.481
2003-07-28,408.177
2003-07-29,404.02
2003-07-30,401.202
2003-07-31,405.034
2003-08-01,398.658
2003-08-04,398.505
2003-08-05,402.104
2003-08-06,397.584
2003-08-07,401.928
2003-08-08,406.058
2003-08-11,410.452
2003-08-12,411.353
2003-08-13,410.437
2003-08-14,415.839
2003-08-15,418.2
2003-08-18,418.511
2003-08-19,414.631
2003-08-20,413.963
2003-08-21,413.274
2003-08-22,413.011
2003-08-25,410.165
2003-08-26,404.923
2003-08-27,409.131
2003-08-28,410.236
2003-08-29,411.289
2003-09-01,420.23
2003-09-02,416.191
2003-09-03,419.428
2003-09-04,421.214
2003-09-05,423.753
2003-09-08,429.878
2003-09-09,427.55
2003-09-10,421.883
2003-09-11,421.947
2003-09-12,422.569
2003-09-15,425.071
2003-09-16,425.166
2003-09-17,428.66
2003-09-18,429.854
2003-09-19,428.817
2003-09-22,424.096
2003-09-23,419.351
2003-09-24,420.137
2003-09-25,418.022
2003-09-26,409.681
2003-09-29,410.749
2003-09-30,406.117
2003-10-01,415.999
2003-10-02,417.473
2003-10-03,426.649
2003-10-06,424.38
2003-10-07,425.152
2003-10-08,424.629
2003-10-09,431.364
2003-10-10,433.062
2003-10-13,437.159
2003-10-14,434.971
2003-10-15,438.179
2003-10-16,436.59
2003-10-17,436.679
2003-10-20,433.062
2003-10-21,435.593
2003-10-22,430.887
2003-10-23,423.661
2003-10-24,423.373
2003-10-27,425.573
2003-10-28,425.507
2003-10-29,427.677
2003-10-30,430.78
2003-10-31,432.186
2003-11-03,437.889
2003-11-04,437.341
2003-11-05,434.069
2003-11-06,436.024
2003-11-07,443.172
