Date,FINLAND IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,139.961
1994-06-30,131.756
1994-07-29,143.99
1994-08-31,151.984
1994-09-30,151.25
1994-10-31,154.657
1994-11-30,138.224
1994-12-30,141.013
1995-01-31,137.056
1995-02-28,140.179
1995-03-31,132.853
1995-04-28,151.11
1995-05-31,149.047
1995-06-30,149.0
1995-07-31,158.076
1995-08-31,150.499
1995-09-29,154.839
1995-10-31,142.564
1995-11-30,143.643
1995-12-29,138.77
1996-01-31,137.368
1996-02-29,149.794
1996-03-29,149.301
1996-04-30,152.68
1996-05-31,157.907
1996-06-28,164.316
1996-07-31,169.493
1996-08-30,180.252
1996-09-30,173.988
1996-10-31,174.683
1996-11-29,178.845
1996-12-31,186.28
1997-01-31,184.482
1997-02-28,195.789
1997-03-31,197.844
1997-04-30,192.545
1997-05-30,200.262
1997-06-30,202.807
1997-07-31,208.249
1997-08-29,196.411
1997-09-30,220.182
1997-10-31,211.542
1997-11-28,207.061
1997-12-31,202.976
1998-01-30,210.173
1998-02-27,231.51
1998-03-31,238.949
1998-04-30,263.775
1998-05-29,263.922
1998-06-30,258.756
1998-07-31,249.32
1998-08-31,217.055
1998-09-30,201.501
1998-10-30,213.626
1998-11-30,223.595
1998-12-31,232.197
1999-01-29,219.033
1999-02-26,215.166
1999-03-31,227.517
1999-04-30,248.578
1999-05-31,234.9
1999-06-30,238.781
1999-07-30,251.759
1999-08-31,257.328
1999-09-30,253.247
1999-10-29,248.55
1999-11-30,250.433
1999-12-31,287.486
2000-01-31,280.112
2000-02-29,252.943
2000-03-31,258.525
2000-04-28,238.157
2000-05-31,226.429
2000-06-30,238.188
2000-07-31,230.964
2000-08-31,225.244
2000-09-29,215.172
2000-10-31,211.161
2000-11-30,211.824
2000-12-29,241.391
2001-01-31,227.316
2001-02-28,227.365
2001-03-30,212.622
2001-04-30,237.799
2001-05-31,235.056
2001-06-29,220.506
2001-07-31,217.077
2001-08-31,239.635
2001-09-28,218.015
2001-10-31,237.094
2001-11-30,242.486
2001-12-31,242.781
2002-01-31,249.222
2002-02-28,260.738
2002-03-29,268.643
2002-04-30,276.118
2002-05-31,299.77
2002-06-28,298.403
2002-07-31,259.052
2002-08-30,253.953
2002-09-30,225.268
2002-10-31,241.642
2002-11-29,269.374
2002-12-31,258.807
2003-01-31,244.101
2003-02-28,240.116
2003-03-31,235.347
2003-04-30,264.164
2003-05-30,267.042
2003-06-30,273.142
2003-07-31,293.343
2003-08-29,307.208
2003-09-30,310.487
2003-10-31,341.699
2003-11-28,358.369
2003-12-31,368.255
2004-01-30,366.297
2004-02-27,386.657
2004-03-31,380.531
2004-04-30,387.749
2004-05-31,382.659
2004-06-30,400.223
2004-07-30,373.549
2004-08-31,376.094
2004-09-30,403.033
2004-10-29,433.007
2004-11-30,475.684
2004-12-31,481.184
2005-01-31,466.687
2005-02-28,501.992
2005-03-31,499.306
2005-04-29,482.844
2005-05-31,488.281
2005-06-30,500.095
2005-07-29,524.984
2005-08-31,537.625
2005-09-30,551.525
2005-10-31,513.971
2005-11-30,514.082
2005-12-30,541.771
2006-01-31,595.379
2006-02-28,627.893
2006-03-31,685.523
2006-04-28,717.977
2006-05-31,675.442
2006-06-30,675.532
2006-07-31,686.711
2006-08-31,715.263
2006-09-29,717.689
2006-10-31,773.415
2006-11-30,814.19
2006-12-29,847.796
2007-01-31,857.157
2007-02-28,867.361
2007-03-30,915.369
2007-04-30,971.692
2007-05-31,1000.0
2007-06-29,974.071
2007-07-31,954.25
2007-08-31,932.671
2007-09-28,997.299
2007-10-31,1007.7
2007-11-30,940.953
2007-12-31,905.278
2008-01-31,829.131
2008-02-29,850.86
2008-03-31,886.293
