Date,FINLAND IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,219.663
2001-01-02,222.438
2001-01-03,214.763
2001-01-04,218.667
2001-01-05,220.713
2001-01-08,219.536
2001-01-09,212.68
2001-01-10,209.142
2001-01-11,207.759
2001-01-12,207.883
2001-01-15,205.396
2001-01-16,202.094
2001-01-17,204.38
2001-01-18,208.25
2001-01-19,206.986
2001-01-22,208.285
2001-01-23,210.737
2001-01-24,207.537
2001-01-25,204.556
2001-01-26,203.369
2001-01-29,200.768
2001-01-30,203.404
2001-01-31,206.855
2001-02-01,210.421
2001-02-02,211.031
2001-02-05,211.648
2001-02-06,210.907
2001-02-07,207.613
2001-02-08,204.744
2001-02-09,202.725
2001-02-12,202.58
2001-02-13,200.904
2001-02-14,197.997
2001-02-15,197.655
2001-02-16,200.878
2001-02-19,203.153
2001-02-20,201.302
2001-02-21,201.416
2001-02-22,198.82
2001-02-23,198.681
2001-02-26,200.299
2001-02-27,205.565
2001-02-28,206.916
2001-03-01,208.282
2001-03-02,209.794
2001-03-05,211.286
2001-03-06,212.802
2001-03-07,211.378
2001-03-08,212.929
2001-03-09,213.608
2001-03-12,212.633
2001-03-13,207.22
2001-03-14,203.796
2001-03-15,203.85
2001-03-16,201.38
2001-03-19,201.553
2001-03-20,200.639
2001-03-21,196.911
2001-03-22,188.702
2001-03-23,190.091
2001-03-26,195.108
2001-03-27,199.762
2001-03-28,198.986
2001-03-29,194.919
2001-03-30,194.931
2001-04-02,196.53
2001-04-03,195.92
2001-04-04,195.052
2001-04-05,196.646
2001-04-06,197.971
2001-04-09,198.933
2001-04-10,199.31
2001-04-11,201.817
2001-04-12,203.824
2001-04-13,203.824
2001-04-16,201.737
2001-04-17,201.31
2001-04-18,200.804
2001-04-19,207.786
2001-04-20,210.014
2001-04-23,210.071
2001-04-24,210.701
2001-04-25,212.06
2001-04-26,216.448
2001-04-27,214.899
2001-04-30,219.702
2001-05-01,220.867
2001-05-02,220.486
2001-05-03,218.713
2001-05-04,217.572
2001-05-07,218.001
2001-05-08,215.273
2001-05-09,215.416
2001-05-10,218.998
2001-05-11,218.025
2001-05-14,217.237
2001-05-15,221.135
2001-05-16,222.771
2001-05-17,228.491
2001-05-18,228.39
2001-05-21,225.672
2001-05-22,223.554
2001-05-23,219.693
2001-05-24,218.863
2001-05-25,219.203
2001-05-28,221.933
2001-05-29,218.154
2001-05-30,216.986
2001-05-31,217.17
2001-06-01,217.316
2001-06-04,217.11
2001-06-05,219.023
2001-06-06,219.267
2001-06-07,219.994
2001-06-08,220.297
2001-06-11,216.975
2001-06-12,214.787
2001-06-13,209.401
2001-06-14,206.193
2001-06-15,202.346
2001-06-18,204.182
2001-06-19,206.201
2001-06-20,201.147
2001-06-21,205.052
2001-06-22,205.272
2001-06-25,209.864
2001-06-26,207.066
2001-06-27,206.609
2001-06-28,204.511
2001-06-29,203.728
2001-07-02,204.983
2001-07-03,205.926
2001-07-04,207.613
2001-07-05,206.926
2001-07-06,205.929
2001-07-09,209.38
2001-07-10,211.909
2001-07-11,211.209
2001-07-12,207.002
2001-07-13,207.885
2001-07-16,207.846
2001-07-17,205.455
2001-07-18,209.234
2001-07-19,211.363
2001-07-20,212.131
2001-07-23,208.866
2001-07-24,207.675
2001-07-25,204.264
2001-07-26,201.873
2001-07-27,202.967
2001-07-30,203.84
2001-07-31,200.559
2001-08-01,207.187
2001-08-02,210.637
2001-08-03,214.056
2001-08-06,213.304
2001-08-07,210.641
