Date,FINLAND IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,241.391
2001-01-02,244.44
2001-01-03,236.005
2001-01-04,240.295
2001-01-05,242.544
2001-01-08,241.251
2001-01-09,233.717
2001-01-10,229.828
2001-01-11,228.309
2001-01-12,228.445
2001-01-15,225.712
2001-01-16,222.083
2001-01-17,224.596
2001-01-18,228.849
2001-01-19,227.459
2001-01-22,228.886
2001-01-23,231.581
2001-01-24,228.065
2001-01-25,224.789
2001-01-26,223.485
2001-01-29,220.626
2001-01-30,223.523
2001-01-31,227.316
2001-02-01,231.234
2001-02-02,231.905
2001-02-05,232.583
2001-02-06,231.768
2001-02-07,228.149
2001-02-08,224.995
2001-02-09,222.776
2001-02-12,222.618
2001-02-13,220.776
2001-02-14,217.581
2001-02-15,217.205
2001-02-16,220.747
2001-02-19,223.247
2001-02-20,221.213
2001-02-21,221.338
2001-02-22,218.485
2001-02-23,218.332
2001-02-26,220.094
2001-02-27,225.88
2001-02-28,227.365
2001-03-01,228.865
2001-03-02,230.527
2001-03-05,232.166
2001-03-06,233.832
2001-03-07,232.268
2001-03-08,233.942
2001-03-09,234.676
2001-03-12,233.604
2001-03-13,227.657
2001-03-14,223.86
2001-03-15,223.919
2001-03-16,221.206
2001-03-19,221.369
2001-03-20,220.365
2001-03-21,215.742
2001-03-22,206.634
2001-03-23,207.707
2001-03-26,213.189
2001-03-27,218.247
2001-03-28,217.398
2001-03-29,212.854
2001-03-30,212.622
2001-04-02,214.367
2001-04-03,213.701
2001-04-04,212.63
2001-04-05,214.139
2001-04-06,215.048
2001-04-09,216.092
2001-04-10,216.395
2001-04-11,218.505
2001-04-12,220.678
2001-04-13,220.678
2001-04-16,218.418
2001-04-17,217.957
2001-04-18,217.409
2001-04-19,224.968
2001-04-20,227.339
2001-04-23,227.39
2001-04-24,228.065
2001-04-25,229.536
2001-04-26,234.286
2001-04-27,232.601
2001-04-30,237.799
2001-05-01,239.06
2001-05-02,238.648
2001-05-03,236.729
2001-05-04,235.494
2001-05-07,235.958
2001-05-08,233.005
2001-05-09,233.16
2001-05-10,237.038
2001-05-11,235.984
2001-05-14,235.131
2001-05-15,239.351
2001-05-16,241.118
2001-05-17,247.309
2001-05-18,247.199
2001-05-21,244.258
2001-05-22,241.966
2001-05-23,237.786
2001-05-24,236.888
2001-05-25,237.257
2001-05-28,240.21
2001-05-29,236.121
2001-05-30,234.856
2001-05-31,235.056
2001-06-01,235.213
2001-06-04,234.99
2001-06-05,237.061
2001-06-06,237.325
2001-06-07,238.112
2001-06-08,238.44
2001-06-11,234.845
2001-06-12,232.476
2001-06-13,226.647
2001-06-14,223.174
2001-06-15,219.011
2001-06-18,220.998
2001-06-19,223.183
2001-06-20,217.713
2001-06-21,221.94
2001-06-22,222.177
2001-06-25,227.148
2001-06-26,224.12
2001-06-27,223.625
2001-06-28,221.355
2001-06-29,220.506
2001-07-02,221.865
2001-07-03,222.886
2001-07-04,224.711
2001-07-05,223.968
2001-07-06,222.889
2001-07-09,226.624
2001-07-10,229.361
2001-07-11,228.604
2001-07-12,224.05
2001-07-13,225.006
2001-07-16,224.964
2001-07-17,222.375
2001-07-18,226.467
2001-07-19,228.77
2001-07-20,229.602
2001-07-23,226.068
2001-07-24,224.779
2001-07-25,221.087
2001-07-26,218.499
2001-07-27,219.683
2001-07-30,220.628
2001-07-31,217.077
2001-08-01,224.251
2001-08-02,227.985
2001-08-03,231.685
2001-08-06,230.871
2001-08-07,227.989
2001-08-08,226.7
2001-08-09,228.826
2001-08-10,229.426
2001-08-13,234.6
2001-08-14,235.05
2001-08-15,237.807
2001-08-16,239.149
2001-08-17,237.962
2001-08-20,234.486
2001-08-21,235.24
2001-08-22,241.462
2001-08-23,240.552
2001-08-24,242.957
2001-08-27,242.428
2001-08-28,242.564
2001-08-29,240.387
2001-08-30,238.184
2001-08-31,239.635
2001-09-03,236.577
2001-09-04,235.139
2001-09-05,237.94
2001-09-06,239.115
2001-09-07,240.116
2001-09-10,233.505
2001-09-11,226.602
2001-09-12,226.649
2001-09-13,226.034
2001-09-14,223.449
2001-09-17,216.522
2001-09-18,217.502
2001-09-19,220.78
2001-09-20,214.173
2001-09-21,210.962
2001-09-24,212.631
2001-09-25,216.246
2001-09-26,215.5
2001-09-27,217.593
2001-09-28,218.015
2001-10-01,218.697
2001-10-02,220.769
2001-10-03,220.746
2001-10-04,226.18
2001-10-05,227.452
2001-10-08,228.527
2001-10-09,230.033
2001-10-10,229.945
2001-10-11,232.948
2001-10-12,233.675
2001-10-15,230.88
2001-10-16,232.464
2001-10-17,232.388
2001-10-18,229.634
2001-10-19,228.477
2001-10-22,226.473
2001-10-23,228.793
2001-10-24,233.389
2001-10-25,237.228
2001-10-26,233.411
2001-10-29,235.811
2001-10-30,234.189
2001-10-31,237.094
2001-11-01,234.574
2001-11-02,233.338
2001-11-05,233.704
2001-11-06,232.16
2001-11-07,234.931
2001-11-08,237.821
2001-11-09,236.78
2001-11-12,237.153
2001-11-13,235.845
2001-11-14,238.063
2001-11-15,240.191
2001-11-16,240.72
2001-11-19,239.94
2001-11-20,237.966
2001-11-21,235.525
2001-11-22,239.061
2001-11-23,236.715
2001-11-26,239.395
2001-11-27,240.01
2001-11-28,239.415
2001-11-29,237.428
2001-11-30,242.486
2001-12-03,238.684
2001-12-04,239.568
2001-12-05,240.901
2001-12-06,241.728
2001-12-07,239.876
2001-12-10,237.774
2001-12-11,237.953
2001-12-12,238.98
2001-12-13,238.653
2001-12-14,240.095
2001-12-17,240.538
2001-12-18,242.707
2001-12-19,240.203
2001-12-20,238.309
2001-12-21,237.041
2001-12-24,234.675
2001-12-25,234.675
2001-12-26,234.876
2001-12-27,240.466
2001-12-28,240.436
2001-12-31,242.781
2002-01-01,242.781
2002-01-02,248.701
2002-01-03,252.925
2002-01-04,254.326
2002-01-07,259.147
2002-01-08,257.516
2002-01-09,256.297
2002-01-10,257.81
2002-01-11,257.626
2002-01-14,252.758
2002-01-15,249.363
2002-01-16,245.107
2002-01-17,248.488
2002-01-18,250.068
2002-01-21,249.1
2002-01-22,250.427
2002-01-23,247.712
2002-01-24,247.517
2002-01-25,244.831
2002-01-28,245.802
2002-01-29,247.216
2002-01-30,245.552
2002-01-31,249.222
2002-02-01,252.266
2002-02-04,256.183
2002-02-05,255.463
2002-02-06,255.009
2002-02-07,255.67
2002-02-08,253.916
