Date,FINLAND IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,122.656
1994-06-30,115.466
1994-07-29,126.187
1994-08-31,133.193
1994-09-30,132.55
1994-10-31,135.536
1994-11-30,121.135
1994-12-30,123.579
1995-01-31,120.111
1995-02-28,122.848
1995-03-31,116.559
1995-04-28,133.146
1995-05-31,131.329
1995-06-30,131.287
1995-07-31,139.285
1995-08-31,132.62
1995-09-29,136.444
1995-10-31,125.627
1995-11-30,126.578
1995-12-29,122.284
1996-01-31,121.048
1996-02-29,131.998
1996-03-29,131.676
1996-04-30,135.271
1996-05-31,139.902
1996-06-28,145.581
1996-07-31,150.167
1996-08-30,159.721
1996-09-30,154.17
1996-10-31,154.787
1996-11-29,158.474
1996-12-31,165.062
1997-01-31,163.47
1997-02-28,173.489
1997-03-31,175.495
1997-04-30,171.381
1997-05-30,178.25
1997-06-30,180.515
1997-07-31,185.359
1997-08-29,174.843
1997-09-30,196.003
1997-10-31,188.313
1997-11-28,184.324
1997-12-31,180.687
1998-01-30,187.094
1998-02-27,206.134
1998-03-31,213.692
1998-04-30,236.681
1998-05-29,236.813
1998-06-30,232.178
1998-07-31,223.711
1998-08-31,194.795
1998-09-30,180.837
1998-10-30,191.718
1998-11-30,200.665
1998-12-31,208.385
1999-01-29,196.571
1999-02-26,193.1
1999-03-31,205.4
1999-04-30,224.832
1999-05-31,212.461
1999-06-30,215.971
1999-07-30,227.71
1999-08-31,232.746
1999-09-30,229.055
1999-10-29,224.807
1999-11-30,226.51
1999-12-31,260.024
2000-01-31,253.354
2000-02-29,228.805
2000-03-31,234.986
2000-04-28,216.696
2000-05-31,206.024
2000-06-30,216.724
2000-07-31,210.151
2000-08-31,204.97
2000-09-29,195.805
2000-10-31,192.154
2000-11-30,192.758
2000-12-29,219.663
2001-01-31,206.855
2001-02-28,206.916
2001-03-30,194.931
2001-04-30,219.702
2001-05-31,217.17
2001-06-29,203.728
2001-07-31,200.559
2001-08-31,221.401
2001-09-28,201.426
2001-10-31,219.054
2001-11-30,224.035
2001-12-31,224.307
2002-01-31,230.259
2002-02-28,240.955
2002-03-29,250.124
2002-04-30,258.238
2002-05-31,280.358
2002-06-28,279.079
2002-07-31,242.276
2002-08-30,237.507
2002-09-30,210.68
2002-10-31,225.994
2002-11-29,251.93
2002-12-31,242.047
2003-01-31,228.294
2003-02-28,224.689
2003-03-31,222.757
2003-04-30,251.013
2003-05-30,253.748
2003-06-30,259.545
2003-07-31,278.739
2003-08-29,291.914
2003-09-30,295.03
2003-10-31,324.688
