Date,ACWI MID CAP Mid Cap
1994-05-31,280.13
1994-06-30,280.947
1994-07-29,285.703
1994-08-31,294.638
1994-09-30,288.75
1994-10-31,291.721
1994-11-30,276.705
1994-12-30,279.726
1995-01-31,273.616
1995-02-28,275.045
1995-03-31,285.445
1995-04-28,292.739
1995-05-31,292.194
1995-06-30,293.777
1995-07-31,308.919
1995-08-31,305.207
1995-09-29,308.7
1995-10-31,300.696
1995-11-30,306.606
1995-12-29,314.178
1996-01-31,320.641
1996-02-29,325.659
1996-03-29,331.545
1996-04-30,345.227
1996-05-31,344.538
1996-06-28,341.748
1996-07-31,325.891
1996-08-30,332.462
1996-09-30,340.733
1996-10-31,337.388
1996-11-29,347.766
1996-12-31,344.048
1997-01-31,345.79
1997-02-28,348.381
1997-03-31,337.684
1997-04-30,338.675
1997-05-30,362.533
1997-06-30,374.738
1997-07-31,385.151
1997-08-29,370.276
1997-09-30,383.385
1997-10-31,362.913
1997-11-28,356.06
1997-12-31,356.487
1998-01-30,357.805
1998-02-27,385.068
1998-03-31,403.006
1998-04-30,406.48
1998-05-29,395.92
1998-06-30,389.811
1998-07-31,381.497
1998-08-31,320.019
1998-09-30,324.962
1998-10-30,351.965
1998-11-30,367.495
1998-12-31,382.104
1999-01-29,382.118
1999-02-26,369.106
1999-03-31,384.795
1999-04-30,412.647
1999-05-31,408.281
1999-06-30,426.833
1999-07-30,429.118
1999-08-31,431.116
1999-09-30,426.288
1999-10-29,436.864
1999-11-30,460.378
1999-12-31,504.625
2000-01-31,488.675
2000-02-29,531.447
2000-03-31,534.021
2000-04-28,495.414
2000-05-31,479.485
2000-06-30,502.431
2000-07-31,488.481
2000-08-31,516.953
2000-09-29,494.712
2000-10-31,468.365
2000-11-30,432.042
2000-12-29,451.516
2001-01-31,465.608
2001-02-28,436.817
2001-03-30,404.682
2001-04-30,437.198
2001-05-31,440.318
2001-06-29,432.131
2001-07-31,418.526
2001-08-31,407.147
2001-09-28,354.605
2001-10-31,369.18
2001-11-30,392.007
2001-12-31,402.223
2002-01-31,397.689
2002-02-28,397.229
2002-03-29,421.994
2002-04-30,421.592
2002-05-31,423.979
2002-06-28,397.837
2002-07-31,359.511
2002-08-30,360.097
2002-09-30,326.703
2002-10-31,341.754
2002-11-29,362.254
2002-12-31,348.676
2003-01-31,341.266
2003-02-28,335.196
2003-03-31,335.599
2003-04-30,362.698
2003-05-30,393.097
2003-06-30,398.402
2003-07-31,410.456
2003-08-29,428.057
2003-09-30,430.98
2003-10-31,464.304
2003-11-28,472.675
2003-12-31,495.892
2004-01-30,508.474
2004-02-27,522.377
2004-03-31,527.095
2004-04-30,510.451
2004-05-31,519.373
2004-06-30,535.636
2004-07-30,514.692
2004-08-31,517.315
2004-09-30,536.378
2004-10-29,554.039
2004-11-30,593.704
2004-12-31,619.849
2005-01-31,608.485
2005-02-28,632.555
2005-03-31,621.827
2005-04-29,601.459
2005-05-31,618.106
2005-06-30,632.556
2005-07-29,661.719
2005-08-31,668.011
2005-09-30,689.448
2005-10-31,667.742
2005-11-30,699.313
2005-12-30,724.497
2006-01-31,770.503
2006-02-28,767.279
2006-03-31,790.065
2006-04-28,814.89
2006-05-31,780.524
2006-06-30,779.181
2006-07-31,771.959
2006-08-31,793.555
2006-09-29,804.614
2006-10-31,837.589
2006-11-30,870.658
2006-12-29,885.8
2007-01-31,901.926
2007-02-28,909.484
2007-03-30,928.638
2007-04-30,966.908
2007-05-31,1000.0
2007-06-29,991.477
2007-07-31,971.233
2007-08-31,958.305
2007-09-28,997.92
2007-10-31,1033.527
2007-11-30,970.231
2007-12-31,960.704
2008-01-31,879.721
2008-02-29,889.186
2008-03-31,874.864
2008-04-30,921.204
2008-05-30,949.449
2008-06-30,865.829
2008-07-31,828.051
2008-08-29,817.601
2008-09-30,697.152
2008-10-31,531.7
2008-11-28,498.801
2008-12-31,528.196
2009-01-30,489.373
2009-02-27,441.056
2009-03-31,478.624
2009-04-30,550.568
2009-05-29,602.809
2009-06-30,600.957
2009-07-31,656.558
2009-08-31,687.972
2009-09-30,727.502
2009-10-30,705.428
2009-11-30,730.074
2009-12-31,758.992
2010-01-29,729.9
2010-02-26,745.843
2010-03-31,798.362
2010-04-30,813.053
2010-05-31,737.832
2010-06-30,717.375
2010-07-30,776.348
