Date,ACWI MID CAP Mid Cap
2001-12-19,395.407
2001-12-20,393.288
2001-12-21,393.533
2001-12-24,393.887
2001-12-25,394.171
2001-12-26,395.635
2001-12-27,399.437
2001-12-28,402.503
2001-12-31,402.223
2002-01-01,402.253
2002-01-02,402.98
2002-01-03,406.781
2002-01-04,410.569
2002-01-07,409.32
2002-01-08,406.712
2002-01-09,406.052
2002-01-10,404.778
2002-01-11,402.511
2002-01-14,399.131
2002-01-15,399.093
2002-01-16,393.505
2002-01-17,395.915
2002-01-18,395.077
2002-01-21,395.532
2002-01-22,392.984
2002-01-23,396.202
2002-01-24,398.275
2002-01-25,397.751
2002-01-28,398.869
2002-01-29,394.158
2002-01-30,394.361
2002-01-31,397.689
2002-02-01,396.423
2002-02-04,391.283
2002-02-05,388.728
2002-02-06,387.122
2002-02-07,385.573
2002-02-08,389.452
2002-02-11,393.921
2002-02-12,394.92
2002-02-13,397.392
2002-02-14,398.006
2002-02-15,396.532
2002-02-18,396.161
2002-02-19,389.867
2002-02-20,390.547
2002-02-21,389.932
2002-02-22,390.734
2002-02-25,393.336
2002-02-26,395.377
2002-02-27,397.824
2002-02-28,397.229
2002-03-01,402.89
2002-03-04,413.879
2002-03-05,412.987
2002-03-06,417.353
2002-03-07,420.25
2002-03-08,422.098
2002-03-11,423.546
2002-03-12,419.978
2002-03-13,417.626
2002-03-14,419.565
2002-03-15,422.429
2002-03-18,423.793
2002-03-19,425.887
2002-03-20,423.122
2002-03-21,423.347
2002-03-22,421.325
2002-03-25,416.938
2002-03-26,418.109
2002-03-27,420.944
2002-03-28,422.561
2002-03-29,421.994
2002-04-01,421.998
2002-04-02,420.091
2002-04-03,418.08
2002-04-04,418.588
2002-04-05,419.243
2002-04-08,419.337
2002-04-09,418.293
2002-04-10,422.524
2002-04-11,418.926
2002-04-12,420.053
2002-04-15,420.557
2002-04-16,425.767
2002-04-17,427.925
2002-04-18,428.04
2002-04-19,428.554
2002-04-22,426.239
2002-04-23,425.649
2002-04-24,424.459
2002-04-25,424.099
2002-04-26,421.595
2002-04-29,418.965
2002-04-30,421.592
2002-05-01,423.597
2002-05-02,423.253
2002-05-03,422.927
2002-05-06,419.492
2002-05-07,416.784
2002-05-08,424.006
2002-05-09,421.294
2002-05-10,418.649
2002-05-13,420.858
2002-05-14,424.193
2002-05-15,426.115
2002-05-16,426.319
2002-05-17,429.444
2002-05-20,427.296
2002-05-21,424.522
2002-05-22,425.372
2002-05-23,426.909
2002-05-24,426.121
2002-05-27,425.839
2002-05-28,425.481
2002-05-29,423.929
2002-05-30,423.518
2002-05-31,423.979
2002-06-03,418.149
2002-06-04,416.054
2002-06-05,416.564
2002-06-06,412.825
2002-06-07,412.271
2002-06-10,412.623
2002-06-11,408.872
2002-06-12,407.443
2002-06-13,403.54
2002-06-14,400.148
2002-06-17,407.101
2002-06-18,407.688
2002-06-19,403.396
2002-06-20,399.828
2002-06-21,396.594
2002-06-24,394.86
2002-06-25,391.734
2002-06-26,388.983
2002-06-27,392.513
2002-06-28,397.837
2002-07-01,391.929
2002-07-02,383.394
2002-07-03,381.196
2002-07-04,381.805
2002-07-05,392.741
2002-07-08,390.85
2002-07-09,386.321
2002-07-10,376.69
2002-07-11,373.856
2002-07-12,373.521
2002-07-15,369.945
2002-07-16,366.567
2002-07-17,368.648
2002-07-18,365.543
2002-07-19,355.995
2002-07-22,345.11
2002-07-23,336.501
2002-07-24,343.863
2002-07-25,345.134
2002-07-26,343.191
2002-07-29,356.508
2002-07-30,359.774
2002-07-31,359.511
2002-08-01,350.847
2002-08-02,345.124
2002-08-05,335.835
2002-08-06,340.583
2002-08-07,344.05
2002-08-08,351.119
2002-08-09,354.015
2002-08-12,352.878
2002-08-13,349.088
2002-08-14,356.527
2002-08-15,361.527
2002-08-16,362.467
2002-08-19,366.792
2002-08-20,363.439
2002-08-21,367.749
2002-08-22,372.647
2002-08-23,367.64
2002-08-26,369.826
