Date,ACWI MID CAP Mid Cap
2002-02-08,397.578
2002-02-11,402.133
2002-02-12,403.151
2002-02-13,405.668
2002-02-14,406.293
2002-02-15,404.786
2002-02-18,404.407
2002-02-19,397.982
2002-02-20,398.67
2002-02-21,398.041
2002-02-22,398.86
2002-02-25,401.512
2002-02-26,403.594
2002-02-27,406.085
2002-02-28,405.472
2002-03-01,411.25
2002-03-04,422.458
2002-03-05,421.547
2002-03-06,425.992
2002-03-07,428.941
2002-03-08,430.822
2002-03-11,432.299
2002-03-12,428.653
2002-03-13,426.244
2002-03-14,428.218
2002-03-15,431.138
2002-03-18,432.523
2002-03-19,434.657
2002-03-20,431.831
2002-03-21,432.054
2002-03-22,429.985
2002-03-25,425.508
2002-03-26,426.65
2002-03-27,429.532
2002-03-28,431.182
2002-03-29,430.603
2002-04-01,430.608
2002-04-02,428.654
2002-04-03,426.597
2002-04-04,427.113
2002-04-05,427.781
2002-04-08,427.871
2002-04-09,426.804
2002-04-10,431.118
2002-04-11,427.435
2002-04-12,428.585
2002-04-15,429.095
2002-04-16,434.407
2002-04-17,436.607
2002-04-18,436.723
2002-04-19,437.241
2002-04-22,434.877
2002-04-23,434.27
2002-04-24,433.052
2002-04-25,432.679
2002-04-26,430.109
2002-04-29,427.419
2002-04-30,430.09
2002-05-01,432.133
2002-05-02,431.772
2002-05-03,431.431
2002-05-06,427.918
2002-05-07,425.151
2002-05-08,432.511
2002-05-09,429.733
2002-05-10,427.03
2002-05-13,429.273
2002-05-14,432.671
2002-05-15,434.622
2002-05-16,434.825
2002-05-17,438.005
2002-05-20,435.767
2002-05-21,432.93
2002-05-22,433.787
2002-05-23,435.351
2002-05-24,434.54
2002-05-27,434.246
2002-05-28,433.877
2002-05-29,432.284
2002-05-30,431.862
2002-05-31,432.326
2002-06-03,426.358
2002-06-04,424.215
2002-06-05,424.716
2002-06-06,420.892
2002-06-07,420.326
2002-06-10,420.679
2002-06-11,416.853
2002-06-12,415.381
2002-06-13,411.396
2002-06-14,407.932
2002-06-17,415.02
2002-06-18,415.613
2002-06-19,411.232
2002-06-20,407.592
2002-06-21,404.296
2002-06-24,402.517
2002-06-25,399.329
2002-06-26,396.514
2002-06-27,400.104
2002-06-28,405.529
2002-07-01,399.499
2002-07-02,390.798
2002-07-03,388.555
2002-07-04,389.175
2002-07-05,400.322
2002-07-08,398.387
2002-07-09,393.77
2002-07-10,383.949
2002-07-11,381.061
2002-07-12,380.719
2002-07-15,377.074
2002-07-16,373.627
2002-07-17,375.747
2002-07-18,372.582
2002-07-19,362.849
2002-07-22,351.754
2002-07-23,342.979
2002-07-24,350.481
2002-07-25,351.774
2002-07-26,349.792
2002-07-29,363.362
2002-07-30,366.687
2002-07-31,366.412
2002-08-01,357.576
2002-08-02,351.741
2002-08-05,342.268
2002-08-06,347.103
2002-08-07,350.635
2002-08-08,357.831
2002-08-09,360.778
2002-08-12,359.598
2002-08-13,355.735
2002-08-14,363.305
2002-08-15,368.392
2002-08-16,369.345
2002-08-19,373.749
2002-08-20,370.33
2002-08-21,374.71
2002-08-22,379.701
2002-08-23,374.598
2002-08-26,376.825
2002-08-27,374.875
2002-08-28,367.965
2002-08-29,366.701
2002-08-30,366.889
2002-09-02,365.707
2002-09-03,356.186
2002-09-04,358.216
2002-09-05,354.525
2002-09-06,359.056
2002-09-09,359.839
2002-09-10,362.06
2002-09-11,363.31
2002-09-12,356.959
2002-09-13,355.879
2002-09-16,353.564
2002-09-17,349.755
2002-09-18,347.057
2002-09-19,340.827
2002-09-20,340.464
2002-09-23,334.478
2002-09-24,328.516
2002-09-25,334.209
2002-09-26,340.546
2002-09-27,336.961
2002-09-30,332.725
2002-10-01,336.876
2002-10-02,332.312
2002-10-03,328.474
2002-10-04,322.71
2002-10-07,315.463
2002-10-08,316.92
2002-10-09,310.184
2002-10-10,317.282
2002-10-11,327.9
2002-10-14,328.902
2002-10-15,341.735
2002-10-16,336.082
2002-10-17,344.174
