Date,ACWI MID CAP Mid Cap
1994-05-31,289.917
1994-06-30,290.68
1994-07-29,295.547
1994-08-31,304.773
1994-09-30,298.648
1994-10-31,301.694
1994-11-30,286.151
1994-12-30,289.26
1995-01-31,282.924
1995-02-28,284.387
1995-03-31,295.077
1995-04-28,302.574
1995-05-31,301.92
1995-06-30,303.457
1995-07-31,319.031
1995-08-31,315.176
1995-09-29,318.738
1995-10-31,310.449
1995-11-30,316.534
1995-12-29,324.333
1996-01-31,330.986
1996-02-29,336.144
1996-03-29,342.158
1996-04-30,356.211
1996-05-31,355.407
1996-06-28,352.44
1996-07-31,336.018
1996-08-30,342.775
1996-09-30,351.258
1996-10-31,347.786
1996-11-29,358.473
1996-12-31,354.622
1997-01-31,356.398
1997-02-28,359.039
1997-03-31,347.963
1997-04-30,348.914
1997-05-30,373.386
1997-06-30,385.855
1997-07-31,396.514
1997-08-29,381.189
1997-09-30,394.637
1997-10-31,373.542
1997-11-28,366.476
1997-12-31,366.896
1998-01-30,368.234
1998-02-27,396.278
1998-03-31,414.667
1998-04-30,418.158
1998-05-29,407.195
1998-06-30,400.796
1998-07-31,392.196
1998-08-31,328.98
1998-09-30,334.023
1998-10-30,361.762
1998-11-30,377.708
1998-12-31,392.7
1999-01-29,392.683
1999-02-26,379.265
1999-03-31,395.272
1999-04-30,423.811
1999-05-31,419.231
1999-06-30,438.19
1999-07-30,440.491
1999-08-31,442.478
1999-09-30,437.446
1999-10-29,448.27
1999-11-30,472.343
1999-12-31,517.685
2000-01-31,501.288
2000-02-29,545.103
2000-03-31,547.587
2000-04-28,507.896
2000-05-31,491.443
2000-06-30,514.869
2000-07-31,500.496
2000-08-31,529.589
2000-09-29,506.702
2000-10-31,479.671
2000-11-30,442.409
2000-12-29,462.286
2001-01-31,476.664
2001-02-28,447.131
2001-03-30,414.081
2001-04-30,447.217
2001-05-31,450.184
2001-06-29,441.679
2001-07-31,427.706
2001-08-31,416.001
2001-09-28,362.218
2001-10-31,377.066
2001-11-30,400.315
2001-12-31,410.679
2002-01-31,406.005
2002-02-28,405.472
2002-03-29,430.603
2002-04-30,430.09
2002-05-31,432.326
2002-06-28,405.529
2002-07-31,366.412
2002-08-30,366.889
2002-09-30,332.725
2002-10-31,347.988
2002-11-29,368.745
2002-12-31,354.791
2003-01-31,347.201
2003-02-28,340.895
2003-03-31,341.085
2003-04-30,368.458
2003-05-30,399.1
2003-06-30,404.306
2003-07-31,416.456
2003-08-29,434.183
2003-09-30,436.993
2003-10-31,470.728
2003-11-28,479.084
2003-12-31,502.439
2004-01-30,515.114
2004-02-27,529.053
2004-03-31,533.597
2004-04-30,516.538
2004-05-31,525.261
2004-06-30,541.514
2004-07-30,520.256
2004-08-31,522.72
2004-09-30,541.811
2004-10-29,559.58
2004-11-30,599.465
2004-12-31,625.64
2005-01-31,614.088
2005-02-28,638.186
2005-03-31,627.117
2005-04-29,606.354
2005-05-31,622.721
2005-06-30,637.041
2005-07-29,666.301
2005-08-31,672.44
2005-09-30,693.784
2005-10-31,671.859
2005-11-30,703.401
2005-12-30,728.485
2006-01-31,774.617
2006-02-28,771.167
2006-03-31,793.753
2006-04-28,818.441
2006-05-31,783.407
2006-06-30,781.769
2006-07-31,774.387
2006-08-31,795.819
2006-09-29,806.647
2006-10-31,839.593
2006-11-30,872.523
2006-12-29,887.353
2007-01-31,903.403
2007-02-28,910.724
2007-03-30,929.492
2007-04-30,967.472
2007-05-31,1000.0
2007-06-29,991.158
2007-07-31,970.733
2007-08-31,957.515
2007-09-28,996.813
2007-10-31,1032.203
2007-11-30,968.73
2007-12-31,958.917
2008-01-31,877.965
2008-02-29,887.132
2008-03-31,872.303
2008-04-30,918.011
2008-05-30,945.474
2008-06-30,861.833
2008-07-31,824.022
2008-08-29,813.335
2008-09-30,693.195
2008-10-31,528.552
2008-11-28,495.634
2008-12-31,524.532
2009-01-30,485.891
2009-02-27,437.738
2009-03-31,474.69
2009-04-30,545.766
2009-05-29,597.048
2009-06-30,594.937
2009-07-31,649.862
2009-08-31,680.755
2009-09-30,719.672
2009-10-30,697.78
2009-11-30,721.913
2009-12-31,750.303
2010-01-29,721.472
2010-02-26,737.029
2010-03-31,788.581
2010-04-30,802.805
2010-05-31,728.086
2010-06-30,707.643
2010-07-30,765.676
2010-08-31,740.318
2010-09-30,821.82
2010-10-29,851.001
2010-11-30,841.191
2010-12-31,905.237
2011-01-31,916.152
2011-02-28,942.105
2011-03-31,950.724
2011-04-29,989.102
2011-05-31,973.673
2011-06-30,954.109
2011-07-29,934.552
2011-08-31,866.069
2011-09-30,769.607
2011-10-31,855.54
2011-11-30,826.208
2011-12-30,818.305
2012-01-31,873.519
2012-02-29,918.419
2012-03-30,922.883
2012-04-30,911.58
2012-05-31,824.677
2012-06-29,857.359
2012-07-31,864.647
2012-08-31,889.244
2012-09-28,917.318
2012-10-31,911.975
2012-11-30,926.788
2012-12-31,956.052
2013-01-31,1001.279
2013-02-28,1007.994
2013-03-29,1031.888
2013-04-30,1060.158
2013-05-31,1059.435
2013-06-28,1030.144
2013-07-31,1084.277
2013-08-30,1061.75
2013-09-30,1124.528
2013-10-31,1159.308
