Date,USA LARGE VALUE Large Cap
2002-02-08,595.254
2002-02-11,601.552
2002-02-12,599.802
2002-02-13,604.527
2002-02-14,604.869
2002-02-15,600.252
2002-02-18,600.252
2002-02-19,589.95
2002-02-20,598.022
2002-02-21,591.948
2002-02-22,597.983
2002-02-25,608.277
2002-02-26,608.625
2002-02-27,610.685
2002-02-28,611.073
2002-03-01,623.446
2002-03-04,634.831
2002-03-05,630.226
2002-03-06,640.602
2002-03-07,637.806
2002-03-08,638.375
2002-03-11,642.064
2002-03-12,642.891
2002-03-13,638.06
2002-03-14,637.512
2002-03-15,644.621
2002-03-18,643.967
2002-03-19,647.21
2002-03-20,639.481
2002-03-21,639.41
2002-03-22,636.744
2002-03-25,628.956
2002-03-26,633.003
2002-03-27,637.133
2002-03-28,637.133
2002-03-29,637.133
2002-04-01,635.008
2002-04-02,634.498
2002-04-03,628.401
2002-04-04,628.094
2002-04-05,628.054
2002-04-08,629.408
2002-04-09,626.789
2002-04-10,632.601
2002-04-11,619.951
2002-04-12,622.304
2002-04-15,617.947
2002-04-16,632.392
2002-04-17,632.345
2002-04-18,630.703
2002-04-19,631.629
2002-04-22,622.318
2002-04-23,620.34
2002-04-24,616.088
2002-04-25,614.735
2002-04-26,609.456
2002-04-29,602.641
2002-04-30,609.566
2002-05-01,616.531
2002-05-02,619.696
2002-05-03,615.595
2002-05-06,604.24
2002-05-07,602.579
2002-05-08,617.657
2002-05-09,612.402
2002-05-10,604.808
2002-05-13,614.976
2002-05-14,624.331
2002-05-15,621.167
2002-05-16,624.524
2002-05-17,626.604
2002-05-20,620.018
2002-05-21,616.665
2002-05-22,620.331
2002-05-23,626.139
2002-05-24,619.304
2002-05-27,619.304
2002-05-28,614.781
2002-05-29,612.224
2002-05-30,609.378
2002-05-31,612.489
2002-06-03,597.164
2002-06-04,595.105
2002-06-05,598.006
2002-06-06,584.767
2002-06-07,586.762
2002-06-10,587.96
2002-06-11,577.905
2002-06-12,582.937
2002-06-13,577.949
2002-06-14,576.669
2002-06-17,591.964
2002-06-18,594.99
2002-06-19,585.431
2002-06-20,578.049
2002-06-21,570.342
2002-06-24,569.378
2002-06-25,561.731
2002-06-26,557.024
2002-06-27,566.04
2002-06-28,570.08
2002-07-01,560.403
2002-07-02,550.978
2002-07-03,550.484
2002-07-04,550.484
2002-07-05,568.988
2002-07-08,565.707
2002-07-09,552.482
2002-07-10,534.618
2002-07-11,535.312
2002-07-12,530.865
2002-07-15,527.395
2002-07-16,517.869
2002-07-17,520.134
2002-07-18,506.015
2002-07-19,488.092
2002-07-22,469.465
2002-07-23,455.652
2002-07-24,480.647
2002-07-25,482.479
2002-07-26,493.129
2002-07-29,519.417
2002-07-30,523.215
2002-07-31,531.93
2002-08-01,516.475
2002-08-02,505.181
2002-08-05,487.728
2002-08-06,500.452
2002-08-07,509.524
2002-08-08,527.934
2002-08-09,531.742
2002-08-12,529.204
2002-08-13,517.591
2002-08-14,535.137
2002-08-15,539.132
2002-08-16,536.866
2002-08-19,550.182
2002-08-20,541.372
2002-08-21,548.532
2002-08-22,555.011
2002-08-23,542.462
2002-08-26,548.265
2002-08-27,545.068
2002-08-28,535.591
2002-08-29,535.401
2002-08-30,535.39
2002-09-02,535.39
2002-09-03,511.825
2002-09-04,519.459
2002-09-05,513.102
2002-09-06,519.917
2002-09-09,525.022
2002-09-10,526.828
2002-09-11,528.049
2002-09-12,515.759
2002-09-13,516.272
2002-09-16,517.121
2002-09-17,506.359
2002-09-18,504.405
2002-09-19,488.291
2002-09-20,490.011
2002-09-23,486.602
2002-09-24,476.287
2002-09-25,485.917
2002-09-26,497.108
2002-09-27,480.103
2002-09-30,475.089
2002-10-01,494.075
2002-10-02,480.548
2002-10-03,475.55
2002-10-04,463.807
2002-10-07,454.407
2002-10-08,458.276
2002-10-09,445.62
2002-10-10,462.68
2002-10-11,480.539
2002-10-14,483.523
2002-10-15,506.176
2002-10-16,498.152
2002-10-17,508.318
2002-10-18,509.942
2002-10-21,519.125
2002-10-22,516.304
2002-10-23,518.54
2002-10-24,512.014
2002-10-25,518.677
2002-10-28,517.676
2002-10-29,511.245
2002-10-30,518.391
2002-10-31,514.147
2002-11-01,523.635
2002-11-04,526.15
2002-11-05,532.413
2002-11-06,535.962
2002-11-07,522.669
2002-11-08,520.805
2002-11-11,509.949
2002-11-12,510.61
2002-11-13,507.149
2002-11-14,517.855
2002-11-15,523.527
2002-11-18,519.512
2002-11-19,520.059
2002-11-20,528.709
2002-11-21,540.878
2002-11-22,539.056
2002-11-25,541.597
2002-11-26,529.951
2002-11-27,544.389
2002-11-28,544.389
2002-11-29,543.462
2002-12-02,542.078
2002-12-03,533.862
2002-12-04,532.039
2002-12-05,526.653
2002-12-06,531.313
2002-12-09,520.542
2002-12-10,527.218
2002-12-11,527.401
2002-12-12,525.058
2002-12-13,520.79
2002-12-16,534.014
2002-12-17,530.368
2002-12-18,524.495
2002-12-19,521.193
2002-12-20,528.82
2002-12-23,528.021
2002-12-24,524.398
2002-12-25,524.398
2002-12-26,524.401
2002-12-27,515.063
2002-12-30,517.185
2002-12-31,517.836
2003-01-01,517.836
2003-01-02,534.383
2003-01-03,534.793
2003-01-06,549.912
2003-01-07,544.536
2003-01-08,536.74
2003-01-09,545.639
2003-01-10,544.758
2003-01-13,544.519
2003-01-14,547.743
2003-01-15,539.989
2003-01-16,538.2
2003-01-17,533.619
2003-01-20,533.619
2003-01-21,522.866
2003-01-22,515.778
2003-01-23,517.742
2003-01-24,502.988
2003-01-27,494.753
2003-01-28,501.087
2003-01-29,505.143
2003-01-30,493.971
2003-01-31,502.698
2003-02-03,506.304
2003-02-04,499.561
2003-02-05,496.31
2003-02-06,492.559
2003-02-07,488.335
2003-02-10,490.906
2003-02-11,485.389
2003-02-12,478.74
2003-02-13,478.231
2003-02-14,487.781
2003-02-17,487.781
2003-02-18,495.843
2003-02-19,492.937
2003-02-20,486.967
2003-02-21,492.932
2003-02-24,483.997
2003-02-25,488.212
2003-02-26,481.884
2003-02-27,488.46
2003-02-28,489.831
2003-03-03,488.417
2003-03-04,481.017
2003-03-05,486.224
2003-03-06,479.762
2003-03-07,483.524
2003-03-10,470.244
2003-03-11,465.659
2003-03-12,466.403
2003-03-13,480.528
2003-03-14,482.679
2003-03-17,497.228
2003-03-18,498.464
2003-03-19,504.943
2003-03-20,505.69
2003-03-21,517.51
2003-03-24,499.835
2003-03-25,505.092
2003-03-26,502.419
2003-03-27,501.823
2003-03-28,499.27
2003-03-31,489.208
2003-04-01,497.359
2003-04-02,508.978
2003-04-03,505.256
2003-04-04,508.366
2003-04-07,509.126
2003-04-08,509.231
2003-04-09,502.718
2003-04-10,505.422
2003-04-11,503.494
2003-04-14,513.401
2003-04-15,517.493
2003-04-16,509.977
2003-04-17,516.758
2003-04-18,516.758
2003-04-21,515.798
2003-04-22,528.527
2003-04-23,536.377
2003-04-24,531.782
2003-04-25,524.697
2003-04-28,533.605
2003-04-29,534.207
2003-04-30,536.424
2003-05-01,535.983
2003-05-02,543.365
2003-05-05,539.221
2003-05-06,542.585
2003-05-07,540.909
2003-05-08,534.686
2003-05-09,540.613
2003-05-12,547.156
2003-05-13,546.045
2003-05-14,545.281
2003-05-15,548.782
2003-05-16,548.106
2003-05-19,535.846
2003-05-20,535.349
2003-05-21,539.819
2003-05-22,544.951
