Date,USA LARGE VALUE Large Cap
1994-05-31,224.582
1994-06-30,219.959
1994-07-29,227.012
1994-08-31,235.144
1994-09-30,228.107
1994-10-31,233.264
1994-11-30,224.166
1994-12-30,227.13
1995-01-31,234.645
1995-02-28,244.064
1995-03-31,250.365
1995-04-28,259.088
1995-05-31,270.182
1995-06-30,272.725
1995-07-31,281.421
1995-08-31,285.151
1995-09-29,298.702
1995-10-31,296.49
1995-11-30,311.124
1995-12-29,321.041
1996-01-31,332.787
1996-02-29,335.242
1996-03-29,339.46
1996-04-30,340.429
1996-05-31,346.278
1996-06-28,348.128
1996-07-31,336.732
1996-08-30,342.378
1996-09-30,357.034
1996-10-31,372.503
1996-11-29,399.551
1996-12-31,396.573
1997-01-31,414.658
1997-02-28,422.838
1997-03-31,404.74
1997-04-30,420.657
1997-05-30,445.575
1997-06-30,462.245
1997-07-31,494.991
1997-08-29,472.919
1997-09-30,498.804
1997-10-31,486.255
1997-11-28,508.722
1997-12-31,524.152
1998-01-30,518.621
1998-02-27,552.492
1998-03-31,582.582
1998-04-30,582.376
1998-05-29,576.123
1998-06-30,584.495
1998-07-31,574.504
1998-08-31,495.251
1998-09-30,524.204
1998-10-30,564.937
1998-11-30,591.572
1998-12-31,605.423
1999-01-29,608.638
1999-02-26,598.453
1999-03-31,610.42
1999-04-30,665.97
1999-05-31,653.465
1999-06-30,670.275
1999-07-30,647.29
1999-08-31,621.948
1999-09-30,597.784
1999-10-29,632.082
1999-11-30,625.69
1999-12-31,627.242
2000-01-31,606.741
2000-02-29,559.262
2000-03-31,616.429
2000-04-28,612.848
2000-05-31,622.102
2000-06-30,602.646
2000-07-31,608.944
2000-08-31,642.974
2000-09-29,650.208
2000-10-31,668.025
2000-11-30,639.897
2000-12-29,670.766
2001-01-31,675.431
2001-02-28,649.242
2001-03-30,624.463
2001-04-30,650.803
2001-05-31,664.172
2001-06-29,645.234
2001-07-31,647.139
2001-08-31,621.814
2001-09-28,588.207
2001-10-31,581.767
2001-11-30,610.468
2001-12-31,619.437
2002-01-31,611.535
2002-02-28,611.073
2002-03-29,637.133
2002-04-30,609.566
2002-05-31,612.489
2002-06-28,570.08
2002-07-31,531.93
2002-08-30,535.39
2002-09-30,475.089
2002-10-31,514.147
2002-11-29,543.462
2002-12-31,517.836
2003-01-31,502.698
2003-02-28,489.831
2003-03-31,489.208
2003-04-30,536.424
2003-05-30,562.831
2003-06-30,572.54
2003-07-31,572.816
2003-08-29,579.329
2003-09-30,573.926
2003-10-31,598.567
2003-11-28,602.913
2003-12-31,648.237
2004-01-30,658.272
2004-02-27,668.24
2004-03-31,655.06
2004-04-30,643.888
2004-05-31,646.809
2004-06-30,661.772
2004-07-30,654.543
2004-08-31,664.208
2004-09-30,667.512
2004-10-29,674.315
2004-11-30,702.006
2004-12-31,719.878
2005-01-31,706.937
2005-02-28,729.645
2005-03-31,715.134
2005-04-29,708.418
2005-05-31,720.018
2005-06-30,723.07
2005-07-29,738.74
2005-08-31,733.356
2005-09-30,743.842
2005-10-31,728.009
2005-11-30,752.262
2005-12-30,757.126
2006-01-31,777.98
2006-02-28,783.67
2006-03-31,793.456
2006-04-28,816.68
2006-05-31,797.747
2006-06-30,802.095
2006-07-31,828.711
2006-08-31,841.344
2006-09-29,860.53
2006-10-31,886.625
2006-11-30,901.708
2006-12-29,928.106
2007-01-31,936.132
2007-02-28,915.495
2007-03-30,928.071
2007-04-30,967.52
2007-05-31,1000.0
2007-06-29,980.265
2007-07-31,938.7
2007-08-31,952.576
2007-09-28,986.978
2007-10-31,987.916
2007-11-30,942.71
2007-12-31,932.018
2008-01-31,892.665
2008-02-29,850.231
2008-03-31,845.787
2008-04-30,879.907
2008-05-30,871.324
2008-06-30,788.252
2008-07-31,784.034
2008-08-29,793.1
2008-09-30,741.285
2008-10-31,629.75
2008-11-28,594.845
2008-12-31,598.167
2009-01-30,526.378
2009-02-27,454.055
2009-03-31,494.866
2009-04-30,540.44
2009-05-29,577.816
