Date,USA LARGE VALUE Large Cap
1994-05-31,211.443
1994-06-30,207.09
1994-07-29,213.731
1994-08-31,221.386
1994-09-30,214.762
1994-10-31,219.617
1994-11-30,211.051
1994-12-30,213.842
1995-01-31,220.917
1995-02-28,229.785
1995-03-31,235.717
1995-04-28,243.93
1995-05-31,254.374
1995-06-30,256.769
1995-07-31,264.957
1995-08-31,268.468
1995-09-29,281.226
1995-10-31,279.143
1995-11-30,292.922
1995-12-29,302.258
1996-01-31,313.317
1996-02-29,315.628
1996-03-29,319.6
1996-04-30,320.512
1996-05-31,326.019
1996-06-28,327.761
1996-07-31,317.031
1996-08-30,322.346
1996-09-30,336.146
1996-10-31,350.71
1996-11-29,376.175
1996-12-31,373.371
1997-01-31,390.398
1997-02-28,398.1
1997-03-31,381.06
1997-04-30,396.047
1997-05-30,419.507
1997-06-30,435.201
1997-07-31,466.031
1997-08-29,445.25
1997-09-30,469.621
1997-10-31,457.806
1997-11-28,478.959
1997-12-31,493.486
1998-01-30,488.278
1998-02-27,520.168
1998-03-31,548.497
1998-04-30,548.304
1998-05-29,542.417
1998-06-30,550.299
1998-07-31,540.892
1998-08-31,466.276
1998-09-30,493.535
1998-10-30,531.885
1998-11-30,556.961
1998-12-31,570.002
1999-01-29,573.214
1999-02-26,563.933
1999-03-31,575.474
1999-04-30,628.046
1999-05-31,616.553
1999-06-30,632.663
1999-07-30,611.148
1999-08-31,587.52
1999-09-30,564.945
1999-10-29,597.554
1999-11-30,591.826
1999-12-31,593.542
2000-01-31,574.32
2000-02-29,529.674
2000-03-31,584.07
2000-04-28,580.875
2000-05-31,589.99
2000-06-30,571.681
2000-07-31,577.879
2000-08-31,610.539
2000-09-29,617.618
2000-10-31,634.781
2000-11-30,608.432
2000-12-29,638.0
2001-01-31,642.702
2001-02-28,618.143
2001-03-30,594.744
2001-04-30,620.078
2001-05-31,633.227
2001-06-29,615.365
2001-07-31,617.443
2001-08-31,593.673
2001-09-28,561.816
2001-10-31,555.954
2001-11-30,583.795
2001-12-31,592.658
2002-01-31,585.412
2002-02-28,585.343
2002-03-29,610.534
2002-04-30,584.368
2002-05-31,587.574
2002-06-28,547.256
2002-07-31,510.944
2002-08-30,514.607
2002-09-30,456.94
2002-10-31,494.939
2002-11-29,523.551
2002-12-31,499.263
2003-01-31,484.958
2003-02-28,472.983
2003-03-31,472.653
2003-04-30,518.622
2003-05-30,544.54
2003-06-30,554.316
2003-07-31,555.007
2003-08-29,561.673
2003-09-30,556.833
2003-10-31,581.178
2003-11-28,585.808
2003-12-31,630.327
2004-01-30,640.469
2004-02-27,650.638
2004-03-31,638.18
2004-04-30,627.674
2004-05-31,630.902
2004-06-30,645.977
2004-07-30,639.347
2004-08-31,649.172
2004-09-30,652.892
2004-10-29,659.981
2004-11-30,687.561
2004-12-31,705.551
2005-01-31,693.188
2005-02-28,716.137
2005-03-31,702.323
2005-04-29,696.151
2005-05-31,708.035
2005-06-30,711.562
2005-07-29,727.439
2005-08-31,722.763
2005-09-30,733.475
2005-10-31,718.243
2005-11-30,743.012
2005-12-30,748.211
2006-01-31,769.174
2006-02-28,775.621
2006-03-31,785.751
2006-04-28,809.242
2006-05-31,791.245
2006-06-30,795.969
2006-07-31,822.786
2006-08-31,836.247
2006-09-29,855.726
2006-10-31,882.091
2006-11-30,898.1
2006-12-29,924.904
2007-01-31,933.402
2007-02-28,913.786
2007-03-30,926.756
2007-04-30,966.592
2007-05-31,1000.0
2007-06-29,980.783
2007-07-31,939.613
2007-08-31,954.361
2007-09-28,989.519
2007-10-31,990.928
2007-11-30,946.601
2007-12-31,936.518
2008-01-31,897.522
2008-02-29,855.762
2008-03-31,851.869
2008-04-30,886.684
2008-05-30,878.872
2008-06-30,795.745
2008-07-31,792.034
2008-08-29,801.946
2008-09-30,750.199
2008-10-31,637.824
2008-11-28,603.278
2008-12-31,607.308
2009-01-30,534.787
2009-02-27,462.137
2009-03-31,504.007
2009-04-30,550.811
2009-05-29,589.547
2009-06-30,583.904
2009-07-31,627.811
2009-08-31,657.289
2009-09-30,675.74
2009-10-30,660.585
2009-11-30,701.048
2009-12-31,703.659
2010-01-29,689.01
2010-02-26,703.166
2010-03-31,744.748
2010-04-30,753.452
2010-05-31,693.968
2010-06-30,661.058
2010-07-30,705.133
2010-08-31,677.102
2010-09-30,725.525
2010-10-29,743.43
2010-11-30,738.488
2010-12-31,796.15
2011-01-31,819.236
2011-02-28,853.252
2011-03-31,851.176
2011-04-29,876.709
2011-05-31,862.819
2011-06-30,846.741
2011-07-29,818.911
2011-08-31,773.839
2011-09-30,722.56
2011-10-31,793.319
2011-11-30,789.776
2011-12-30,810.733
2012-01-31,834.513
2012-02-29,867.665
2012-03-30,894.698
2012-04-30,885.973
2012-05-31,836.369
2012-06-29,877.892
2012-07-31,888.971
2012-08-31,899.673
2012-09-28,927.05
2012-10-31,920.921
2012-11-30,913.244
2012-12-31,929.735
2013-01-31,986.426
2013-02-28,1001.931
2013-03-29,1039.124
2013-04-30,1066.645
2013-05-31,1092.593
2013-06-28,1085.448
2013-07-31,1133.22
2013-08-30,1090.815
2013-09-30,1112.275
2013-10-31,1164.502
2013-11-29,1198.118
2013-12-31,1225.637
2014-01-31,1180.725
2014-02-28,1225.31
2014-03-31,1260.604
2014-04-30,1277.368
2014-05-30,1295.398
2014-06-30,1321.139
2014-07-31,1301.767
2014-08-29,1345.766
2014-09-30,1329.513
2014-10-31,1353.536
2014-11-28,1377.47
2014-12-31,1374.631
2015-01-30,1315.227
2015-02-27,1381.254
2015-03-31,1348.867
2015-04-30,1379.773
2015-05-29,1391.164
2015-06-30,1356.381
2015-07-31,1368.395
2015-08-31,1288.463
2015-09-30,1262.282
2015-10-30,1365.925
2015-11-30,1370.221
2015-12-31,1351.915
2016-01-29,1296.42
2016-02-29,1292.97
2016-03-31,1377.023
2016-04-29,1391.755
2016-05-31,1416.202
2016-06-30,1433.348
2016-07-29,1473.164
2016-08-31,1482.779
2016-09-30,1479.063
2016-10-31,1459.142
2016-11-30,1525.918
2016-12-30,1571.988
2017-01-31,1574.729
2017-02-28,1634.473
2017-03-31,1623.191
2017-04-28,1620.577
2017-05-31,1623.001
2017-06-30,1653.776
2017-07-31,1677.142
2017-08-31,1664.03
2017-09-29,1713.653
2017-10-31,1736.089
2017-11-30,1785.777
2017-12-29,1809.322
2018-01-31,1880.535
2018-02-28,1784.767
2018-03-30,1741.515
2018-04-30,1744.728
2018-05-31,1755.19
2018-06-29,1763.609
2018-07-31,1844.221
2018-08-31,1870.694
2018-09-28,1882.412
2018-10-31,1803.821
2018-11-30,1861.437
2018-12-31,1691.472
2019-01-31,1805.695
2019-02-28,1863.179
2019-03-29,1880.738
2019-04-30,1939.695
2019-05-31,1813.148
2019-06-28,1939.16
2019-07-31,1957.498
2019-08-30,1909.467
2019-09-30,1972.168
2019-10-31,2003.31
2019-11-29,2065.532
2019-12-31,2124.35
2020-01-31,2069.426
2020-02-28,1871.35
2020-03-31,1605.195
2020-04-30,1769.639
2020-05-29,1816.824
2020-06-30,1796.307
2020-07-31,1859.618
2020-08-31,1935.439
2020-09-30,1892.701
2020-10-30,1840.221
2020-11-30,2074.678
2020-12-31,2137.653
2021-01-29,2107.195
2021-02-26,2194.522
2021-03-31,2348.547
2021-04-30,2426.256
2021-05-31,2490.684
2021-06-30,2469.695
2021-07-30,2499.33
2021-08-31,2544.979
2021-09-30,2454.116
2021-10-29,2596.132
2021-11-30,2525.746
2021-12-31,2702.861
2022-01-31,2646.204
2022-02-28,2590.404
2022-03-31,2670.709
2022-04-29,2543.554
2022-05-31,2595.944
2022-06-30,2397.941
2022-07-29,2521.463
2022-08-31,2449.054
2022-09-30,2257.787
2022-10-31,2515.652
2022-11-30,2669.229
2022-12-30,2576.056
2023-01-31,2636.711
2023-02-28,2547.572
2023-03-31,2548.227
2023-04-28,2586.918
2023-05-31,2483.602
2023-06-30,2626.295
2023-07-31,2718.349
2023-08-31,2655.403
2023-09-29,2566.361
2023-10-31,2501.032
2023-11-30,2670.109
2023-12-29,2804.505
2024-01-31,2832.717
2024-02-29,2925.959
2024-03-29,3063.485
2024-04-30,2937.15
2024-05-31,3021.966
2024-06-28,3034.301
2024-07-31,3171.737
2024-08-30,3265.058
2024-09-30,3318.149
2024-10-31,3280.673
2024-11-29,3446.401
2024-12-31,3211.013
2025-01-31,3361.722
2025-02-28,3418.698
2025-03-31,3345.136
2025-04-30,3220.501
2025-05-30,3296.707
2025-06-30,3454.982
2025-07-31,3463.363
2025-08-29,3557.044
2025-09-30,3630.982
2025-10-31,3598.241
2025-11-28,3658.487
2025-12-31,3690.917
2026-01-30,3863.67
