Date,USA LARGE VALUE Large Cap
2001-01-01,638.0
2001-01-02,630.919
2001-01-03,642.767
2001-01-04,635.957
2001-01-05,625.353
2001-01-08,625.986
2001-01-09,625.591
2001-01-10,629.497
2001-01-11,628.482
2001-01-12,624.673
2001-01-15,624.673
2001-01-16,631.224
2001-01-17,628.402
2001-01-18,629.769
2001-01-19,625.01
2001-01-22,626.413
2001-01-23,630.954
2001-01-24,631.858
2001-01-25,635.108
2001-01-26,633.239
2001-01-29,636.521
2001-01-30,643.253
2001-01-31,642.702
2001-02-01,647.425
2001-02-02,641.722
2001-02-05,645.999
2001-02-06,644.107
2001-02-07,641.372
2001-02-08,642.213
2001-02-09,640.073
2001-02-12,646.448
2001-02-13,643.17
2001-02-14,635.622
2001-02-15,636.21
2001-02-16,635.516
2001-02-19,635.516
2001-02-20,628.849
2001-02-21,618.167
2001-02-22,618.241
2001-02-23,614.001
2001-02-26,624.308
2001-02-27,625.237
2001-02-28,618.143
2001-03-01,615.201
2001-03-02,619.161
2001-03-05,620.287
2001-03-06,622.243
2001-03-07,627.142
2001-03-08,632.484
2001-03-09,623.907
2001-03-12,603.572
2001-03-13,607.132
2001-03-14,589.741
2001-03-15,597.257
2001-03-16,586.869
2001-03-19,595.199
2001-03-20,582.736
2001-03-21,570.384
2001-03-22,561.784
2001-03-23,571.618
2001-03-26,581.022
2001-03-27,595.784
2001-03-28,587.084
2001-03-29,587.188
2001-03-30,594.744
2001-04-02,589.976
2001-04-03,573.378
2001-04-04,572.968
2001-04-05,590.722
2001-04-06,580.892
2001-04-09,585.383
2001-04-10,597.257
2001-04-11,592.771
2001-04-12,598.426
2001-04-13,598.426
2001-04-16,600.587
2001-04-17,605.514
2001-04-18,619.338
2001-04-19,620.071
2001-04-20,612.726
2001-04-23,609.72
2001-04-24,604.731
2001-04-25,613.297
2001-04-26,617.692
2001-04-27,625.013
2001-04-30,620.078
2001-05-01,626.363
2001-05-02,624.096
2001-05-03,620.047
2001-05-04,626.656
2001-05-07,626.003
2001-05-08,621.541
2001-05-09,622.096
2001-05-10,623.041
2001-05-11,619.201
2001-05-14,623.744
2001-05-15,624.387
2001-05-16,639.999
2001-05-17,639.618
2001-05-18,640.713
2001-05-21,644.702
2001-05-22,643.953
2001-05-23,637.535
2001-05-24,638.454
2001-05-25,632.988
2001-05-28,632.988
2001-05-29,633.826
2001-05-30,628.685
2001-05-31,633.227
2001-06-01,633.157
2001-06-04,636.856
2001-06-05,641.258
2001-06-06,634.046
2001-06-07,632.719
2001-06-08,628.893
2001-06-11,626.324
2001-06-12,625.933
2001-06-13,621.645
2001-06-14,611.477
2001-06-15,609.193
2001-06-18,607.158
2001-06-19,609.143
2001-06-20,611.734
2001-06-21,619.734
2001-06-22,616.871
2001-06-25,611.796
2001-06-26,610.789
2001-06-27,607.368
2001-06-28,613.493
2001-06-29,615.365
2001-07-02,620.431
2001-07-03,619.188
2001-07-04,619.188
2001-07-05,616.268
2001-07-06,606.79
2001-07-09,609.67
2001-07-10,604.276
2001-07-11,604.832
2001-07-12,613.263
2001-07-13,615.998
2001-07-16,612.368
2001-07-17,618.643
2001-07-18,618.213
2001-07-19,619.865
2001-07-20,617.259
2001-07-23,609.89
2001-07-24,598.705
2001-07-25,608.545
2001-07-26,614.04
2001-07-27,614.443
2001-07-30,614.285
2001-07-31,617.443
2001-08-01,619.0
2001-08-02,620.267
2001-08-03,617.522
2001-08-06,611.997
2001-08-07,615.13
2001-08-08,607.502
2001-08-09,607.058
2001-08-10,612.217
2001-08-13,612.152
2001-08-14,611.861
2001-08-15,609.889
2001-08-16,610.472
2001-08-17,603.084
2001-08-20,608.074
2001-08-21,604.316
2001-08-22,607.564
2001-08-23,607.206
2001-08-24,613.137
2001-08-27,609.537
2001-08-28,602.798
2001-08-29,597.45
2001-08-30,592.409
2001-08-31,593.673
2001-09-03,593.673
2001-09-04,596.939
2001-09-05,596.536
2001-09-06,586.55
2001-09-07,577.917
2001-09-10,580.72
2001-09-11,580.72
2001-09-12,580.72
2001-09-13,580.72
2001-09-14,580.72
2001-09-17,557.273
2001-09-18,555.91
2001-09-19,547.951
2001-09-20,532.164
2001-09-21,522.039
2001-09-24,536.995
2001-09-25,542.59
2001-09-26,541.718
2001-09-27,550.366
2001-09-28,561.816
2001-10-01,560.59
2001-10-02,566.911
2001-10-03,572.759
2001-10-04,570.328
2001-10-05,567.727
2001-10-08,563.191
2001-10-09,563.618
2001-10-10,573.993
2001-10-11,576.565
2001-10-12,570.74
2001-10-15,570.34
2001-10-16,574.58
2001-10-17,568.928
2001-10-18,563.695
2001-10-19,564.922
2001-10-22,572.11
2001-10-23,568.119
2001-10-24,565.693
2001-10-25,571.948
2001-10-26,575.855
2001-10-29,566.469
2001-10-30,557.232
2001-10-31,555.954
2001-11-01,566.374
2001-11-02,567.592
2001-11-05,572.722
2001-11-06,578.629
2001-11-07,577.761
2001-11-08,578.744
2001-11-09,579.879
2001-11-12,577.866
2001-11-13,586.322
2001-11-14,586.917
2001-11-15,586.506
2001-11-16,585.763
2001-11-19,590.539
2001-11-20,589.147
2001-11-21,585.519
2001-11-22,585.519
2001-11-23,592.596
2001-11-26,593.599
2001-11-27,589.03
2001-11-28,579.178
2001-11-29,584.54
2001-11-30,583.795
2001-12-03,580.318
2001-12-04,586.08
2001-12-05,595.406
2001-12-06,594.066
2001-12-07,591.189
