Date,KOKUSAI INDEX (WORLD ex JP) Standard (Large+Mid Cap)
2001-01-01,2696.331
2001-01-02,2649.342
2001-01-03,2712.493
2001-01-04,2714.866
2001-01-05,2674.694
2001-01-08,2663.655
2001-01-09,2653.607
2001-01-10,2662.152
2001-01-11,2697.3
2001-01-12,2694.177
2001-01-15,2690.794
2001-01-16,2687.801
2001-01-17,2702.424
2001-01-18,2734.274
2001-01-19,2721.486
2001-01-22,2721.336
2001-01-23,2743.352
2001-01-24,2742.357
2001-01-25,2734.163
2001-01-26,2731.025
2001-01-29,2740.263
2001-01-30,2757.73
2001-01-31,2758.272
2001-02-01,2768.215
2001-02-02,2724.994
2001-02-05,2735.409
2001-02-06,2731.132
2001-02-07,2705.13
2001-02-08,2680.628
2001-02-09,2647.367
2001-02-12,2680.328
2001-02-13,2658.026
2001-02-14,2639.733
2001-02-15,2648.775
2001-02-16,2611.156
2001-02-19,2613.168
2001-02-20,2567.268
2001-02-21,2534.193
2001-02-22,2522.344
2001-02-23,2498.836
2001-02-26,2535.527
2001-02-27,2534.16
2001-02-28,2512.301
2001-03-01,2514.158
2001-03-02,2507.956
2001-03-05,2521.329
2001-03-06,2548.517
2001-03-07,2555.009
2001-03-08,2556.394
2001-03-09,2509.103
2001-03-12,2418.285
2001-03-13,2419.253
2001-03-14,2363.333
2001-03-15,2380.862
2001-03-16,2320.334
2001-03-19,2340.511
2001-03-20,2323.505
2001-03-21,2275.85
2001-03-22,2221.536
2001-03-23,2274.369
2001-03-26,2323.057
2001-03-27,2380.374
2001-03-28,2325.09
2001-03-29,2314.708
2001-03-30,2335.848
2001-04-02,2314.312
2001-04-03,2243.084
2001-04-04,2256.559
2001-04-05,2329.381
2001-04-06,2305.358
2001-04-09,2328.836
2001-04-10,2375.472
2001-04-11,2370.306
2001-04-12,2398.112
2001-04-13,2398.112
2001-04-16,2387.234
2001-04-17,2395.881
2001-04-18,2466.798
2001-04-19,2502.513
2001-04-20,2494.836
2001-04-23,2460.112
2001-04-24,2441.593
2001-04-25,2467.331
2001-04-26,2484.428
2001-04-27,2509.659
2001-04-30,2509.728
2001-05-01,2533.257
2001-05-02,2532.452
2001-05-03,2493.906
2001-05-04,2522.662
2001-05-07,2522.335
2001-05-08,2513.116
2001-05-09,2500.374
2001-05-10,2516.526
2001-05-11,2493.571
2001-05-14,2479.935
2001-05-15,2494.226
2001-05-16,2543.109
2001-05-17,2554.337
2001-05-18,2558.227
2001-05-21,2584.76
2001-05-22,2579.533
2001-05-23,2543.11
2001-05-24,2546.157
2001-05-25,2522.996
2001-05-28,2526.716
2001-05-29,2504.09
2001-05-30,2471.896
2001-05-31,2473.706
2001-06-01,2478.47
2001-06-04,2491.846
2001-06-05,2520.105
2001-06-06,2497.528
2001-06-07,2506.734
2001-06-08,2490.003
2001-06-11,2464.094
2001-06-12,2454.376
2001-06-13,2447.89
2001-06-14,2418.795
2001-06-15,2405.733
2001-06-18,2389.737
2001-06-19,2394.093
2001-06-20,2400.976
2001-06-21,2418.462
2001-06-22,2408.493
2001-06-25,2404.678
2001-06-26,2388.14
2001-06-27,2380.06
2001-06-28,2399.701
2001-06-29,2404.598
2001-07-02,2432.356
2001-07-03,2419.944
2001-07-04,2413.672
2001-07-05,2379.25
2001-07-06,2333.712
2001-07-09,2348.006
2001-07-10,2329.583
2001-07-11,2321.837
2001-07-12,2358.854
2001-07-13,2372.455
