Date,KOKUSAI INDEX (WORLD ex JP) Standard (Large+Mid Cap)
2001-01-01,3678.905
2001-01-02,3614.82
2001-01-03,3701.08
2001-01-04,3704.329
2001-01-05,3649.517
2001-01-08,3634.546
2001-01-09,3620.859
2001-01-10,3632.562
2001-01-11,3680.55
2001-01-12,3676.289
2001-01-15,3671.674
2001-01-16,3667.647
2001-01-17,3687.646
2001-01-18,3731.118
2001-01-19,3713.67
2001-01-22,3713.471
2001-01-23,3743.514
2001-01-24,3742.161
2001-01-25,3730.982
2001-01-26,3726.699
2001-01-29,3739.35
2001-01-30,3763.239
2001-01-31,3764.096
2001-02-01,3777.734
2001-02-02,3718.752
2001-02-05,3732.984
2001-02-06,3727.161
2001-02-07,3691.827
2001-02-08,3658.398
2001-02-09,3613.03
2001-02-12,3658.029
2001-02-13,3627.656
2001-02-14,3602.834
2001-02-15,3615.223
2001-02-16,3563.893
2001-02-19,3566.668
2001-02-20,3504.033
2001-02-21,3458.929
2001-02-22,3442.776
2001-02-23,3410.771
2001-02-26,3460.887
2001-02-27,3459.074
2001-02-28,3429.352
2001-03-01,3431.9
2001-03-02,3423.433
2001-03-05,3441.832
2001-03-06,3478.957
2001-03-07,3487.939
2001-03-08,3489.843
2001-03-09,3425.313
2001-03-12,3301.336
2001-03-13,3302.792
2001-03-14,3226.464
2001-03-15,3250.4
2001-03-16,3167.775
2001-03-19,3195.358
2001-03-20,3172.157
2001-03-21,3107.128
2001-03-22,3033.072
2001-03-23,3105.234
2001-03-26,3171.762
2001-03-27,3250.132
2001-03-28,3174.767
2001-03-29,3160.632
2001-03-30,3189.532
2001-04-02,3160.125
2001-04-03,3062.866
2001-04-04,3081.382
2001-04-05,3180.841
2001-04-06,3148.274
2001-04-09,3180.351
2001-04-10,3244.129
2001-04-11,3237.257
2001-04-12,3275.356
2001-04-13,3275.356
2001-04-16,3260.499
2001-04-17,3272.417
2001-04-18,3369.325
2001-04-19,3418.19
2001-04-20,3407.719
2001-04-23,3360.408
2001-04-24,3335.123
2001-04-25,3370.353
2001-04-26,3393.79
2001-04-27,3428.4
2001-04-30,3428.56
2001-05-01,3460.727
2001-05-02,3459.794
2001-05-03,3407.252
2001-05-04,3446.619
2001-05-07,3446.227
2001-05-08,3433.679
2001-05-09,3416.395
2001-05-10,3438.587
2001-05-11,3407.371
2001-05-14,3388.877
2001-05-15,3408.417
2001-05-16,3475.347
2001-05-17,3490.754
2001-05-18,3496.246
2001-05-21,3532.748
2001-05-22,3525.633
2001-05-23,3475.979
2001-05-24,3480.162
2001-05-25,3448.534
2001-05-28,3453.641
2001-05-29,3422.87
2001-05-30,3379.13
2001-05-31,3381.703
2001-06-01,3388.287
2001-06-04,3406.608
2001-06-05,3445.275
2001-06-06,3414.526
2001-06-07,3427.143
2001-06-08,3404.406
2001-06-11,3369.043
2001-06-12,3355.769
2001-06-13,3347.061
2001-06-14,3307.345
2001-06-15,3289.486
2001-06-18,3267.86
2001-06-19,3273.828
2001-06-20,3283.271
2001-06-21,3307.227
2001-06-22,3293.594
2001-06-25,3288.286
2001-06-26,3265.677
2001-06-27,3254.717
2001-06-28,3281.593
2001-06-29,3288.291
2001-07-02,3326.3
2001-07-03,3309.436
2001-07-04,3300.865
2001-07-05,3253.91
2001-07-06,3191.774
2001-07-09,3211.337
2001-07-10,3186.187
2001-07-11,3175.625
2001-07-12,3226.29
2001-07-13,3244.897
2001-07-16,3223.555
2001-07-17,3229.448
2001-07-18,3228.743
2001-07-19,3255.682
2001-07-20,3242.499
2001-07-23,3207.723
2001-07-24,3167.233
2001-07-25,3188.239
2001-07-26,3210.885
2001-07-27,3231.379
2001-07-30,3245.284
2001-07-31,3269.595
2001-08-01,3287.125
2001-08-02,3300.68
2001-08-03,3283.873
2001-08-06,3254.896
2001-08-07,3260.688
2001-08-08,3211.374
2001-08-09,3203.345
2001-08-10,3213.771
2001-08-13,3222.842
2001-08-14,3226.84
2001-08-15,3222.908
2001-08-16,3218.897
2001-08-17,3172.179
2001-08-20,3181.966
2001-08-21,3170.449
2001-08-22,3190.238
2001-08-23,3178.449
2001-08-24,3233.531
2001-08-27,3222.187
2001-08-28,3178.806
2001-08-29,3154.174
2001-08-30,3096.923
2001-08-31,3104.827
2001-09-03,3090.658
2001-09-04,3090.378
2001-09-05,3072.251
2001-09-06,3007.691
2001-09-07,2959.351
2001-09-10,2958.545
2001-09-11,2901.624
2001-09-12,2911.078
2001-09-13,2924.758
2001-09-14,2883.423
2001-09-17,2812.882
2001-09-18,2794.798
2001-09-19,2754.136
2001-09-20,2659.871
2001-09-21,2593.317
2001-09-24,2705.265
2001-09-25,2739.061
2001-09-26,2743.749
2001-09-27,2774.059
2001-09-28,2833.344
2001-10-01,2815.789
2001-10-02,2845.568
2001-10-03,2887.426
2001-10-04,2909.976
2001-10-05,2914.538
2001-10-08,2898.643
2001-10-09,2885.857
2001-10-10,2942.824
2001-10-11,2975.385
2001-10-12,2965.044
2001-10-15,2943.889
2001-10-16,2967.618
2001-10-17,2953.982
2001-10-18,2919.276
2001-10-19,2905.463
2001-10-22,2941.635
2001-10-23,2954.69
2001-10-24,2960.208
2001-10-25,2968.211
2001-10-26,2995.198
2001-10-29,2940.429
2001-10-30,2889.327
2001-10-31,2894.893
2001-11-01,2947.637
2001-11-02,2952.742
2001-11-05,2993.949
2001-11-06,3022.774
2001-11-07,3029.083
2001-11-08,3047.893
2001-11-09,3042.394
2001-11-12,3017.433
2001-11-13,3070.562
2001-11-14,3080.089
2001-11-15,3084.134
2001-11-16,3089.662
2001-11-19,3116.945
2001-11-20,3092.933
2001-11-21,3073.907
2001-11-22,3086.275
2001-11-23,3100.321
2001-11-26,3113.932
2001-11-27,3091.95
2001-11-28,3049.096
2001-11-29,3068.559
2001-11-30,3082.422
2001-12-03,3054.774
2001-12-04,3094.856
2001-12-05,3166.799
2001-12-06,3169.934
2001-12-07,3144.426
2001-12-10,3093.959
2001-12-11,3088.315
2001-12-12,3087.754
2001-12-13,3041.446
2001-12-14,3042.662
2001-12-17,3089.141
2001-12-18,3101.776
2001-12-19,3101.585
2001-12-20,3077.657
2001-12-21,3091.282
2001-12-24,3083.921
2001-12-25,3083.921
2001-12-26,3094.136
2001-12-27,3131.327
2001-12-28,3140.243
2001-12-31,3124.812
2002-01-01,3124.812
2002-01-02,3139.16
2002-01-03,3174.949
2002-01-04,3186.432
2002-01-07,3162.783
2002-01-08,3145.373
2002-01-09,3133.325
2002-01-10,3128.395
2002-01-11,3113.111
2002-01-14,3082.28
2002-01-15,3101.175
2002-01-16,3050.789
2002-01-17,3078.969
2002-01-18,3056.952
2002-01-21,3052.272
2002-01-22,3037.914
2002-01-23,3059.756
2002-01-24,3074.718
2002-01-25,3059.401
2002-01-28,3063.316
2002-01-29,2996.607
2002-01-30,3002.925
2002-01-31,3044.225
2002-02-01,3032.6
2002-02-04,2979.489
2002-02-05,2958.517
2002-02-06,2937.951
2002-02-07,2940.82
2002-02-08,2973.297
2002-02-11,3015.369
2002-02-12,3004.36
2002-02-13,3027.203
2002-02-14,3033.952
2002-02-15,3005.737
2002-02-18,2997.678
2002-02-19,2947.169
2002-02-20,2962.99
2002-02-21,2942.464
2002-02-22,2953.366
2002-02-25,2994.518
2002-02-26,2998.739
2002-02-27,3010.801
2002-02-28,3005.16
2002-03-01,3060.028
2002-03-04,3126.458
2002-03-05,3109.946
2002-03-06,3147.544
2002-03-07,3151.954
2002-03-08,3163.552
2002-03-11,3164.894
2002-03-12,3147.301
2002-03-13,3130.801
2002-03-14,3137.007
2002-03-15,3169.674
2002-03-18,3173.276
2002-03-19,3185.481
2002-03-20,3146.501
2002-03-21,3143.75
2002-03-22,3138.108
2002-03-25,3098.66
2002-03-26,3110.26
2002-03-27,3118.45
2002-03-28,3134.825
2002-03-29,3134.825
2002-04-01,3143.034
2002-04-02,3119.923
2002-04-03,3098.383
2002-04-04,3090.72
2002-04-05,3082.556
2002-04-08,3066.17
2002-04-09,3055.605
2002-04-10,3088.064
2002-04-11,3029.186
2002-04-12,3043.269
2002-04-15,3036.974
2002-04-16,3101.11
2002-04-17,3105.854
2002-04-18,3099.243
2002-04-19,3101.867
2002-04-22,3063.024
2002-04-23,3046.706
2002-04-24,3033.61
2002-04-25,3028.929
2002-04-26,2997.701
2002-04-29,2977.338
2002-04-30,3002.868
2002-05-01,3023.358
2002-05-02,3016.137
2002-05-03,2999.974
2002-05-06,2962.722
2002-05-07,2941.319
2002-05-08,3030.798
2002-05-09,2999.105
2002-05-10,2962.549
2002-05-13,3003.938
2002-05-14,3046.256
2002-05-15,3050.333
2002-05-16,3062.19
2002-05-17,3084.847
2002-05-20,3054.176
2002-05-21,3027.187
2002-05-22,3032.726
2002-05-23,3048.367
2002-05-24,3027.091
2002-05-27,3025.15
2002-05-28,3010.011
2002-05-29,2997.35
2002-05-30,2984.265
2002-05-31,2991.366
2002-06-03,2940.034
2002-06-04,2927.599
2002-06-05,2931.572
2002-06-06,2898.103
2002-06-07,2881.599
2002-06-10,2887.977
2002-06-11,2862.377
2002-06-12,2858.264
2002-06-13,2828.309
2002-06-14,2801.417
2002-06-17,2877.973
2002-06-18,2879.657
2002-06-19,2840.171
2002-06-20,2803.117
2002-06-21,2772.916
2002-06-24,2764.668
2002-06-25,2749.49
2002-06-26,2740.348
2002-06-27,2776.743
2002-06-28,2807.927
2002-07-01,2771.362
2002-07-02,2705.989
2002-07-03,2686.551
2002-07-04,2703.654
2002-07-05,2796.084
2002-07-08,2783.981
2002-07-09,2736.866
2002-07-10,2647.871
2002-07-11,2626.99
2002-07-12,2618.882
2002-07-15,2581.679
2002-07-16,2556.192
2002-07-17,2591.086
2002-07-18,2560.225
2002-07-19,2465.339
2002-07-22,2367.179
2002-07-23,2299.866
2002-07-24,2369.507
2002-07-25,2392.959
2002-07-26,2417.928
2002-07-29,2539.163
2002-07-30,2551.541
2002-07-31,2567.37
2002-08-01,2485.405
2002-08-02,2450.905
2002-08-05,2372.808
2002-08-06,2429.835
2002-08-07,2459.347
2002-08-08,2539.83
2002-08-09,2561.075
2002-08-12,2538.857
2002-08-13,2512.551
2002-08-14,2563.319
2002-08-15,2602.231
2002-08-16,2607.823
2002-08-19,2664.18
2002-08-20,2628.232
2002-08-21,2662.237
2002-08-22,2696.91
2002-08-23,2645.465
2002-08-26,2652.226
