Date,KOKUSAI INDEX (WORLD ex JP) Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,94.29
1970-02-27,97.317
1970-03-31,97.456
1970-04-30,88.473
1970-05-29,82.75
1970-06-30,80.556
1970-07-31,85.778
1970-08-31,88.779
1970-09-30,91.82
1970-10-30,90.358
1970-11-30,92.596
1970-12-31,97.373
1971-01-29,101.808
1971-02-26,102.713
1971-03-31,107.021
1971-04-30,110.415
1971-05-31,107.709
1971-06-30,108.34
1971-07-30,106.49
1971-08-31,109.306
1971-09-30,108.037
1971-10-29,103.945
1971-11-30,104.502
1971-12-31,113.698
1972-01-31,117.591
1972-02-29,121.758
1972-03-31,123.194
1972-04-28,124.556
1972-05-31,126.628
1972-06-30,123.188
1972-07-31,124.538
1972-08-31,128.108
1972-09-29,125.603
1972-10-31,126.419
1972-11-30,131.863
1972-12-29,133.461
1973-01-31,133.531
1973-02-28,133.249
1973-03-30,133.418
1973-04-30,127.737
1973-05-31,126.929
1973-06-29,127.561
1973-07-31,130.03
1973-08-31,124.714
1973-09-28,129.689
1973-10-31,131.232
1973-11-30,114.337
1973-12-31,114.056
1974-01-31,115.083
1974-02-28,116.57
1974-03-29,113.038
1974-04-30,110.734
1974-05-31,105.24
1974-06-28,101.988
1974-07-31,96.501
1974-08-30,87.358
1974-09-30,78.078
1974-10-31,87.724
1974-11-29,85.093
1974-12-31,83.973
1975-01-31,97.348
1975-02-28,105.226
1975-03-31,105.744
1975-04-30,110.688
1975-05-30,113.719
1975-06-30,115.175
1975-07-31,108.752
1975-08-29,107.469
1975-09-30,103.248
1975-10-31,109.875
1975-11-28,113.141
1975-12-31,113.096
1976-01-30,123.594
1976-02-27,122.465
1976-03-31,124.093
1976-04-30,122.983
1976-05-31,120.6
1976-06-30,124.023
1976-07-30,123.008
1976-08-31,122.144
1976-09-30,123.219
1976-10-29,119.196
1976-11-30,118.842
1976-12-31,126.589
1977-01-31,122.276
1977-02-28,120.772
1977-03-31,120.081
1977-04-29,121.259
1977-05-31,119.478
1977-06-30,123.943
1977-07-29,122.253
1977-08-31,121.777
1977-09-30,123.259
1977-10-31,120.412
1977-11-30,122.123
1977-12-30,124.812
1978-01-31,119.644
1978-02-28,117.728
1978-03-31,121.149
1978-04-28,127.905
1978-05-31,129.595
1978-06-30,128.714
1978-07-31,137.094
1978-08-31,141.402
1978-09-29,142.706
1978-10-31,136.907
1978-11-30,133.974
1978-12-29,137.848
1979-01-31,142.304
1979-02-28,140.255
1979-03-30,148.438
1979-04-30,149.092
1979-05-31,145.559
1979-06-29,150.409
1979-07-31,151.837
1979-08-31,158.999
1979-09-28,162.659
1979-10-31,150.638
1979-11-30,157.252
1979-12-31,160.438
1980-01-31,171.328
1980-02-29,172.642
1980-03-31,151.665
1980-04-30,161.105
1980-05-30,168.688
1980-06-30,177.046
1980-07-31,185.27
1980-08-29,187.31
1980-09-30,191.65
1980-10-31,197.386
1980-11-28,208.476
1980-12-31,200.443
1981-01-30,192.615
1981-02-27,193.856
1981-03-31,199.743
1981-04-30,196.692
1981-05-29,193.113
1981-06-30,191.116
1981-07-31,188.739
1981-08-31,182.434
1981-09-30,169.572
1981-10-30,176.025
1981-11-30,188.402
1981-12-31,182.727
1982-01-29,180.102
1982-02-26,169.993
1982-03-31,167.956
1982-04-30,174.771
1982-05-31,170.821
1982-06-30,163.613
1982-07-30,162.304
1982-08-31,176.239
1982-09-30,178.442
1982-10-29,192.747
1982-11-30,198.665
1982-12-31,204.904
1983-01-31,211.934
1983-02-28,216.527
1983-03-31,223.901
1983-04-29,242.003
1983-05-31,239.056
1983-06-30,246.504
1983-07-29,240.88
1983-08-31,242.953
1983-09-30,245.159
1983-10-31,241.897
1983-11-30,248.768
1983-12-30,248.666
1984-01-31,248.59
1984-02-29,243.683
1984-03-30,247.348
1984-04-30,247.65
1984-05-31,232.248
1984-06-29,234.484
1984-07-31,228.285
1984-08-31,251.955
1984-09-28,250.984
1984-10-31,251.266
1984-11-30,253.901
1984-12-31,257.48
1985-01-31,276.251
1985-02-28,274.627
1985-03-29,282.507
1985-04-30,283.964
1985-05-31,299.648
1985-06-28,302.891
1985-07-31,310.258
