Date,FRANCE LARGE VALUE Large Cap
2001-01-01,476.076
2001-01-02,477.409
2001-01-03,471.18
2001-01-04,473.076
2001-01-05,474.671
2001-01-08,476.083
2001-01-09,467.313
2001-01-10,462.935
2001-01-11,472.363
2001-01-12,472.683
2001-01-15,472.309
2001-01-16,465.544
2001-01-17,462.097
2001-01-18,464.914
2001-01-19,456.017
2001-01-22,461.115
2001-01-23,461.079
2001-01-24,458.659
2001-01-25,461.985
2001-01-26,461.812
2001-01-29,460.121
2001-01-30,464.248
2001-01-31,469.723
2001-02-01,468.728
2001-02-02,464.109
2001-02-05,470.12
2001-02-06,468.045
2001-02-07,465.311
2001-02-08,459.597
2001-02-09,461.238
2001-02-12,465.919
2001-02-13,459.993
2001-02-14,459.054
2001-02-15,450.542
2001-02-16,453.795
2001-02-19,458.414
2001-02-20,451.049
2001-02-21,448.496
2001-02-22,441.821
2001-02-23,438.047
2001-02-26,443.061
2001-02-27,448.628
2001-02-28,448.99
2001-03-01,457.764
2001-03-02,453.253
2001-03-05,452.388
2001-03-06,454.368
2001-03-07,457.317
2001-03-08,461.035
2001-03-09,459.176
2001-03-12,452.629
2001-03-13,440.279
2001-03-14,430.812
2001-03-15,432.335
2001-03-16,425.802
2001-03-19,423.441
2001-03-20,429.081
2001-03-21,422.109
2001-03-22,397.358
2001-03-23,406.222
2001-03-26,418.153
2001-03-27,428.624
2001-03-28,420.495
2001-03-29,421.401
2001-03-30,428.158
2001-04-02,429.42
2001-04-03,418.039
2001-04-04,429.385
2001-04-05,431.388
2001-04-06,434.419
2001-04-09,437.054
2001-04-10,438.893
2001-04-11,436.849
2001-04-12,444.544
2001-04-13,444.544
2001-04-16,439.991
2001-04-17,438.104
2001-04-18,440.183
2001-04-19,448.477
2001-04-20,452.065
2001-04-23,447.594
2001-04-24,449.247
2001-04-25,449.466
2001-04-26,455.974
2001-04-27,459.592
2001-04-30,456.748
2001-05-01,459.17
2001-05-02,453.22
2001-05-03,447.446
2001-05-04,449.489
2001-05-07,452.207
2001-05-08,450.055
2001-05-09,448.559
2001-05-10,458.352
2001-05-11,454.688
2001-05-14,451.856
2001-05-15,460.122
2001-05-16,463.973
2001-05-17,465.537
2001-05-18,471.0
2001-05-21,471.025
2001-05-22,464.396
2001-05-23,459.809
2001-05-24,460.976
2001-05-25,455.526
2001-05-28,457.987
2001-05-29,454.822
2001-05-30,450.197
2001-05-31,445.845
2001-06-01,441.565
2001-06-04,442.165
2001-06-05,449.151
2001-06-06,448.401
2001-06-07,445.507
2001-06-08,443.961
2001-06-11,439.917
2001-06-12,435.652
2001-06-13,440.561
2001-06-14,440.879
2001-06-15,440.49
2001-06-18,432.704
2001-06-19,434.782
2001-06-20,429.0
2001-06-21,429.876
2001-06-22,437.309
2001-06-25,443.983
2001-06-26,432.846
2001-06-27,431.242
2001-06-28,432.827
2001-06-29,437.537
2001-07-02,446.574
2001-07-03,441.804
2001-07-04,440.904
2001-07-05,433.882
2001-07-06,426.82
2001-07-09,429.5
2001-07-10,430.191
2001-07-11,426.175
2001-07-12,423.286
2001-07-13,429.098
2001-07-16,432.162
2001-07-17,425.105
2001-07-18,425.919
2001-07-19,426.675
2001-07-20,423.204
2001-07-23,425.739
2001-07-24,424.662
2001-07-25,418.341
2001-07-26,422.801
2001-07-27,431.176
2001-07-30,439.156
2001-07-31,442.035
2001-08-01,445.422
2001-08-02,446.862
2001-08-03,445.564
2001-08-06,445.743
2001-08-07,443.546
2001-08-08,438.856
2001-08-09,436.864
2001-08-10,435.548
2001-08-13,442.122
2001-08-14,446.899
2001-08-15,450.416
2001-08-16,445.899
2001-08-17,439.122
2001-08-20,438.963
2001-08-21,441.188
2001-08-22,441.795
2001-08-23,437.031
2001-08-24,446.804
2001-08-27,444.715
2001-08-28,437.4
2001-08-29,440.17
2001-08-30,427.695
2001-08-31,423.816
2001-09-03,414.616
2001-09-04,410.41
2001-09-05,399.174
2001-09-06,387.535
2001-09-07,385.635
2001-09-10,381.003
2001-09-11,350.767
2001-09-12,352.801
2001-09-13,356.04
2001-09-14,341.699
2001-09-17,353.015
2001-09-18,346.401
2001-09-19,345.337
2001-09-20,329.937
2001-09-21,321.445
2001-09-24,341.387
2001-09-25,349.765
2001-09-26,354.627
2001-09-27,357.643
2001-09-28,356.928
2001-10-01,350.814
2001-10-02,354.039
2001-10-03,351.632
2001-10-04,365.509
2001-10-05,364.982
2001-10-08,363.733
2001-10-09,363.177
2001-10-10,371.258
2001-10-11,372.036
2001-10-12,374.737
2001-10-15,362.008
2001-10-16,372.363
2001-10-17,381.528
2001-10-18,372.121
2001-10-19,363.742
2001-10-22,367.95
2001-10-23,377.423
2001-10-24,383.16
2001-10-25,374.21
2001-10-26,382.525
2001-10-29,378.917
2001-10-30,368.28
2001-10-31,374.763
2001-11-01,379.183
2001-11-02,380.273
2001-11-05,387.27
2001-11-06,388.177
2001-11-07,393.057
2001-11-08,399.634
2001-11-09,394.164
2001-11-12,382.222
2001-11-13,394.105
2001-11-14,399.192
2001-11-15,405.227
2001-11-16,408.271
2001-11-19,411.469
2001-11-20,404.438
2001-11-21,396.68
2001-11-22,401.603
2001-11-23,398.637
2001-11-26,399.74
2001-11-27,392.115
2001-11-28,389.537
2001-11-29,389.408
2001-11-30,396.569
2001-12-03,393.981
2001-12-04,400.136
2001-12-05,414.42
2001-12-06,416.703
2001-12-07,414.456
2001-12-10,405.21
2001-12-11,404.518
2001-12-12,404.696
2001-12-13,393.397
2001-12-14,388.721
2001-12-17,404.606
2001-12-18,403.006
2001-12-19,400.535
2001-12-20,395.311
2001-12-21,397.066
2001-12-24,393.084
2001-12-25,393.084
2001-12-26,393.419
2001-12-27,403.401
2001-12-28,403.844
2001-12-31,407.783
2002-01-01,407.783
2002-01-02,412.146
