Date,FRANCE LARGE VALUE Large Cap
2001-01-01,499.448
2001-01-02,500.846
2001-01-03,494.311
2001-01-04,496.3
2001-01-05,497.973
2001-01-08,499.454
2001-01-09,490.254
2001-01-10,485.662
2001-01-11,495.552
2001-01-12,495.888
2001-01-15,495.496
2001-01-16,488.399
2001-01-17,484.782
2001-01-18,487.738
2001-01-19,478.404
2001-01-22,483.752
2001-01-23,483.714
2001-01-24,481.175
2001-01-25,484.664
2001-01-26,484.483
2001-01-29,482.709
2001-01-30,487.039
2001-01-31,492.782
2001-02-01,491.738
2001-02-02,486.89
2001-02-05,493.196
2001-02-06,491.019
2001-02-07,488.151
2001-02-08,482.156
2001-02-09,483.878
2001-02-12,488.789
2001-02-13,482.572
2001-02-14,481.587
2001-02-15,472.657
2001-02-16,476.07
2001-02-19,480.915
2001-02-20,473.189
2001-02-21,470.511
2001-02-22,463.508
2001-02-23,459.548
2001-02-26,464.809
2001-02-27,470.65
2001-02-28,471.029
2001-03-01,480.234
2001-03-02,475.501
2001-03-05,474.594
2001-03-06,476.671
2001-03-07,479.765
2001-03-08,483.666
2001-03-09,481.714
2001-03-12,474.847
2001-03-13,461.89
2001-03-14,451.959
2001-03-15,453.557
2001-03-16,446.702
2001-03-19,444.226
2001-03-20,450.143
2001-03-21,442.828
2001-03-22,416.863
2001-03-23,426.162
2001-03-26,438.679
2001-03-27,449.664
2001-03-28,441.135
2001-03-29,442.086
2001-03-30,449.174
2001-04-02,450.498
2001-04-03,438.558
2001-04-04,450.462
2001-04-05,452.563
2001-04-06,455.743
2001-04-09,458.507
2001-04-10,460.436
2001-04-11,458.292
2001-04-12,466.364
2001-04-13,466.364
2001-04-16,461.588
2001-04-17,459.609
2001-04-18,461.79
2001-04-19,470.491
2001-04-20,474.255
2001-04-23,469.564
2001-04-24,471.298
2001-04-25,471.529
2001-04-26,478.356
2001-04-27,482.151
2001-04-30,479.168
2001-05-01,481.708
2001-05-02,475.466
2001-05-03,469.409
2001-05-04,471.552
2001-05-07,474.342
2001-05-08,472.086
2001-05-09,470.317
2001-05-10,480.496
2001-05-11,476.44
2001-05-14,473.182
2001-05-15,481.838
2001-05-16,485.87
2001-05-17,487.508
2001-05-18,493.229
2001-05-21,493.256
2001-05-22,486.314
2001-05-23,481.474
2001-05-24,482.696
2001-05-25,476.973
2001-05-28,479.55
2001-05-29,475.658
2001-05-30,470.82
2001-05-31,466.269
2001-06-01,461.771
2001-06-04,462.398
2001-06-05,469.544
2001-06-06,468.584
2001-06-07,465.56
2001-06-08,463.944
2001-06-11,459.391
2001-06-12,454.937
2001-06-13,460.064
2001-06-14,460.089
2001-06-15,459.683
2001-06-18,451.558
2001-06-19,453.727
2001-06-20,447.693
2001-06-21,448.607
2001-06-22,456.364
2001-06-25,463.328
2001-06-26,451.707
2001-06-27,450.033
2001-06-28,451.686
2001-06-29,456.602
2001-07-02,465.915
2001-07-03,460.939
2001-07-04,460.0
2001-07-05,452.674
2001-07-06,445.306
2001-07-09,448.102
2001-07-10,448.823
2001-07-11,444.633
2001-07-12,441.619
2001-07-13,447.683
2001-07-16,450.879
2001-07-17,443.517
2001-07-18,444.366
2001-07-19,445.155
2001-07-20,441.533
2001-07-23,444.178
2001-07-24,443.054
2001-07-25,436.46
2001-07-26,441.113
2001-07-27,449.85
2001-07-30,458.177
2001-07-31,461.18
2001-08-01,464.713
2001-08-02,466.216
2001-08-03,464.862
2001-08-06,465.049
2001-08-07,462.756
2001-08-08,457.863
2001-08-09,455.785
2001-08-10,454.412
2001-08-13,461.271
