Date,FRANCE LARGE VALUE Large Cap
2015-05-29,872.077
2015-06-30,858.803
2015-07-31,907.77
2015-08-31,847.211
2015-09-30,800.419
2015-10-30,868.146
2015-11-30,837.931
2015-12-31,808.885
2016-01-29,761.504
2016-02-29,754.42
2016-03-31,791.503
2016-04-29,818.408
2016-05-31,830.598
2016-06-30,771.807
2016-07-29,806.108
2016-08-31,800.349
2016-09-30,805.659
2016-10-31,818.422
2016-11-30,809.86
2016-12-30,861.794
2017-01-31,859.488
2017-02-28,850.902
2017-03-31,907.973
2017-04-28,944.921
2017-05-31,991.703
2017-06-30,977.604
2017-07-31,1014.711
2017-08-31,1016.703
2017-09-29,1056.67
2017-10-31,1052.025
2017-11-30,1051.826
2017-12-29,1040.479
2018-01-31,1115.742
2018-02-28,1057.757
2018-03-30,1030.222
2018-04-30,1074.401
2018-05-31,1003.172
2018-06-29,995.836
2018-07-31,1047.957
2018-08-31,1005.167
2018-09-28,1031.827
2018-10-31,947.553
2018-11-30,930.096
2018-12-31,869.014
2019-01-31,911.964
2019-02-28,932.75
2019-03-29,927.529
2019-04-30,962.515
2019-05-31,902.232
2019-06-28,963.609
2019-07-31,929.642
2019-08-30,908.749
2019-09-30,960.368
2019-10-31,981.647
2019-11-29,995.767
2019-12-31,1037.44
2020-01-31,977.127
2020-02-28,894.09
2020-03-31,723.365
2020-04-30,741.677
2020-05-29,785.124
2020-06-30,833.86
2020-07-31,838.352
2020-08-31,872.932
2020-09-30,818.724
2020-10-30,761.089
2020-11-30,963.495
2020-12-31,973.321
2021-01-29,948.31
2021-02-26,1018.202
2021-03-31,1045.427
2021-04-30,1087.251
2021-05-31,1141.665
2021-06-30,1110.257
2021-07-30,1116.115
2021-08-31,1146.081
2021-09-30,1127.036
2021-10-29,1168.109
2021-11-30,1086.015
2021-12-31,1179.345
2022-01-31,1213.789
2022-02-28,1142.955
2022-03-31,1135.483
2022-04-29,1102.585
2022-05-31,1179.698
2022-06-30,1048.654
2022-07-29,1042.115
2022-08-31,994.31
2022-09-30,919.107
2022-10-31,1028.729
2022-11-30,1136.966
2022-12-30,1169.198
2023-01-31,1245.959
2023-02-28,1253.395
2023-03-31,1247.324
2023-04-28,1321.781
2023-05-31,1225.794
2023-06-30,1293.366
2023-07-31,1340.784
2023-08-31,1326.049
2023-09-29,1316.894
2023-10-31,1260.584
2023-11-30,1349.58
2023-12-29,1403.241
2024-01-31,1398.072
2024-02-29,1365.587
2024-03-29,1447.975
2024-04-30,1459.907
2024-05-31,1525.997
2024-06-28,1391.779
2024-07-31,1474.731
2024-08-30,1540.829
2024-09-30,1548.976
2024-10-31,1479.182
2024-11-29,1381.041
2024-12-31,1369.772
2025-01-31,1479.853
2025-02-28,1553.897
2025-03-31,1626.332
2025-04-30,1692.634
2025-05-30,1732.165
2025-06-30,1783.458
2025-07-31,1767.493
