Date,FRANCE LARGE VALUE Large Cap
1994-05-31,178.36
1994-06-30,172.529
1994-07-29,189.238
1994-08-31,188.708
1994-09-30,173.213
1994-10-31,179.759
1994-11-30,179.827
1994-12-30,172.615
1995-01-31,166.048
1995-02-28,166.862
1995-03-31,184.66
1995-04-28,186.416
1995-05-31,190.202
1995-06-30,188.636
1995-07-31,197.588
1995-08-31,181.713
1995-09-29,174.626
1995-10-31,177.469
1995-11-30,178.97
1995-12-29,185.439
1996-01-31,186.797
1996-02-29,187.324
1996-03-29,188.33
1996-04-30,191.045
1996-05-31,190.086
1996-06-28,192.666
1996-07-31,187.657
1996-08-30,186.024
1996-09-30,194.571
1996-10-31,196.737
1996-11-29,206.983
1996-12-31,207.2
1997-01-31,217.0
1997-02-28,217.385
1997-03-31,225.423
1997-04-30,211.864
1997-05-30,214.869
1997-06-30,230.317
1997-07-31,241.766
1997-08-29,227.773
1997-09-30,251.978
1997-10-31,239.861
1997-11-28,241.025
1997-12-31,249.454
1998-01-30,258.85
1998-02-27,280.914
1998-03-31,315.834
1998-04-30,329.936
1998-05-29,347.146
1998-06-30,361.7
1998-07-31,368.833
1998-08-31,321.206
1998-09-30,300.955
1998-10-30,332.916
1998-11-30,355.474
1998-12-31,365.822
1999-01-29,383.202
1999-02-26,361.419
1999-03-31,361.977
1999-04-30,371.79
1999-05-31,361.248
1999-06-30,366.605
1999-07-30,373.624
1999-08-31,381.046
1999-09-30,394.441
1999-10-29,409.119
1999-11-30,428.9
1999-12-31,457.401
2000-01-31,428.842
2000-02-29,442.985
2000-03-31,462.409
2000-04-28,452.688
2000-05-31,467.383
2000-06-30,491.86
2000-07-31,488.971
2000-08-31,472.707
2000-09-29,457.02
2000-10-31,457.612
2000-11-30,462.871
2000-12-29,499.448
2001-01-31,492.782
2001-02-28,471.029
2001-03-30,449.174
2001-04-30,479.168
2001-05-31,466.269
2001-06-29,456.602
2001-07-31,461.18
2001-08-31,442.172
2001-09-28,372.387
2001-10-31,390.995
2001-11-30,413.745
2001-12-31,425.431
2002-01-31,391.492
2002-02-28,391.346
2002-03-29,422.729
2002-04-30,412.032
2002-05-31,417.527
2002-06-28,388.459
2002-07-31,326.293
2002-08-30,328.719
2002-09-30,252.649
2002-10-31,296.694
2002-11-29,321.397
2002-12-31,308.47
2003-01-31,313.212
2003-02-28,293.439
2003-03-31,279.799
2003-04-30,332.954
2003-05-30,354.574
2003-06-30,363.598
2003-07-31,379.868
2003-08-29,378.303
2003-09-30,372.726
2003-10-31,404.976
2003-11-28,425.412
2003-12-31,472.522
2004-01-30,470.02
2004-02-27,484.81
2004-03-31,470.533
2004-04-30,469.472
2004-05-31,482.011
2004-06-30,491.723
2004-07-30,478.561
2004-08-31,485.395
2004-09-30,505.057
2004-10-29,523.757
2004-11-30,547.593
2004-12-31,566.435
2005-01-31,561.571
2005-02-28,594.966
2005-03-31,583.276
2005-04-29,551.996
2005-05-31,562.53
2005-06-30,571.365
2005-07-29,606.373
2005-08-31,601.167
2005-09-30,621.505
2005-10-31,604.708
2005-11-30,622.657
2005-12-30,639.248
2006-01-31,704.872
2006-02-28,708.788
2006-03-31,743.922
2006-04-28,771.39
2006-05-31,764.375
2006-06-30,773.446
2006-07-31,783.654
2006-08-31,807.573
2006-09-29,812.871
2006-10-31,842.123
2006-11-30,864.139
2006-12-29,893.283
2007-01-31,889.985
2007-02-28,874.559
2007-03-30,887.235
2007-04-30,974.856
2007-05-31,1000.0
2007-06-29,996.729
2007-07-31,960.338
2007-08-31,929.114
2007-09-28,974.648
2007-10-31,1003.543
2007-11-30,989.584
2007-12-31,972.003
2008-01-31,857.816
2008-02-29,851.626
2008-03-31,865.566
2008-04-30,916.81
2008-05-30,922.361
2008-06-30,838.311
2008-07-31,828.749
2008-08-29,799.126
2008-09-30,689.497
2008-10-31,546.37
2008-11-28,510.808
2008-12-31,549.773
2009-01-30,468.558
2009-02-27,415.597
2009-03-31,459.741
2009-04-30,530.099
2009-05-29,598.535
2009-06-30,568.657
2009-07-31,630.738
2009-08-31,689.038
2009-09-30,732.543
2009-10-30,694.068
2009-11-30,725.471
2009-12-31,747.464
2010-01-29,681.251
2010-02-26,660.413
2010-03-31,700.922
2010-04-30,655.381
2010-05-31,566.117
2010-06-30,548.963
2010-07-30,621.317
2010-08-31,580.544
2010-09-30,660.661
2010-10-29,696.591
2010-11-30,613.065
2010-12-31,672.368
2011-01-31,735.802
2011-02-28,758.822
2011-03-31,751.121
2011-04-29,804.602
2011-05-31,770.965
2011-06-30,773.404
2011-07-29,702.321
2011-08-31,614.364
2011-09-30,531.897
2011-10-31,599.634
2011-11-30,562.311
2011-12-30,548.915
2012-01-31,571.467
2012-02-29,607.446
2012-03-30,589.682
2012-04-30,541.779
2012-05-31,476.957
2012-06-29,534.66
