Date,FRANCE SMID CAP SMID (Small+Mid Cap)
2001-01-01,389.606
2001-01-02,389.327
2001-01-03,378.662
2001-01-04,383.795
2001-01-05,384.67
2001-01-08,379.904
2001-01-09,376.006
2001-01-10,375.473
2001-01-11,382.767
2001-01-12,387.95
2001-01-15,386.355
2001-01-16,383.785
2001-01-17,385.488
2001-01-18,392.819
2001-01-19,394.742
2001-01-22,393.191
2001-01-23,393.397
2001-01-24,388.646
2001-01-25,388.66
2001-01-26,388.61
2001-01-29,387.074
2001-01-30,390.283
2001-01-31,396.618
2001-02-01,399.701
2001-02-02,396.739
2001-02-05,398.107
2001-02-06,396.966
2001-02-07,394.184
2001-02-08,390.771
2001-02-09,389.728
2001-02-12,391.968
2001-02-13,387.586
2001-02-14,383.817
2001-02-15,382.404
2001-02-16,384.61
2001-02-19,385.612
2001-02-20,379.788
2001-02-21,378.523
2001-02-22,375.056
2001-02-23,373.43
2001-02-26,376.084
2001-02-27,381.432
2001-02-28,378.559
2001-03-01,377.754
2001-03-02,379.264
2001-03-05,378.701
2001-03-06,385.091
2001-03-07,385.65
2001-03-08,387.318
2001-03-09,384.969
2001-03-12,376.876
2001-03-13,366.967
2001-03-14,358.366
2001-03-15,356.945
2001-03-16,349.128
2001-03-19,348.287
2001-03-20,350.959
2001-03-21,341.9
2001-03-22,325.302
2001-03-23,334.924
2001-03-26,342.125
2001-03-27,346.965
2001-03-28,342.79
2001-03-29,337.251
2001-03-30,340.162
2001-04-02,337.907
2001-04-03,331.139
2001-04-04,336.148
2001-04-05,337.697
2001-04-06,338.311
2001-04-09,338.947
2001-04-10,339.075
2001-04-11,339.492
2001-04-12,344.346
2001-04-13,344.346
2001-04-16,340.819
2001-04-17,337.326
2001-04-18,340.426
2001-04-19,348.672
2001-04-20,353.508
2001-04-23,350.338
2001-04-24,350.302
2001-04-25,351.815
2001-04-26,356.725
2001-04-27,357.272
2001-04-30,357.635
2001-05-01,359.533
2001-05-02,361.311
2001-05-03,360.626
2001-05-04,358.888
2001-05-07,359.667
2001-05-08,359.133
2001-05-09,357.173
2001-05-10,357.284
2001-05-11,355.84
2001-05-14,352.5
2001-05-15,355.588
2001-05-16,357.143
2001-05-17,359.251
2001-05-18,357.867
2001-05-21,358.293
2001-05-22,356.922
2001-05-23,354.324
2001-05-24,352.744
2001-05-25,352.29
2001-05-28,355.739
2001-05-29,351.675
2001-05-30,351.131
2001-05-31,345.887
2001-06-01,346.062
2001-06-04,346.546
2001-06-05,349.239
2001-06-06,347.161
2001-06-07,348.881
2001-06-08,348.243
2001-06-11,343.769
2001-06-12,340.316
2001-06-13,340.598
2001-06-14,339.138
2001-06-15,336.955
2001-06-18,334.918
2001-06-19,333.5
2001-06-20,327.091
2001-06-21,326.582
2001-06-22,328.624
2001-06-25,329.549
2001-06-26,325.812
2001-06-27,324.212
2001-06-28,321.628
2001-06-29,323.537
2001-07-02,324.78
2001-07-03,324.212
2001-07-04,324.339
2001-07-05,318.427
2001-07-06,317.222
2001-07-09,318.47
2001-07-10,322.545
2001-07-11,322.039
2001-07-12,320.523
2001-07-13,320.865
2001-07-16,323.003
2001-07-17,320.807
2001-07-18,326.09
2001-07-19,326.946
2001-07-20,326.467
2001-07-23,324.666
2001-07-24,325.659
2001-07-25,325.692
2001-07-26,325.438
2001-07-27,327.143
2001-07-30,329.138
2001-07-31,330.61
2001-08-01,333.876
2001-08-02,336.468
2001-08-03,335.73
2001-08-06,333.77
2001-08-07,331.188
2001-08-08,330.382
2001-08-09,331.738
2001-08-10,332.559
2001-08-13,334.853
2001-08-14,336.047
2001-08-15,340.541
2001-08-16,339.046
2001-08-17,337.897
2001-08-20,335.349
2001-08-21,336.733
2001-08-22,338.312
2001-08-23,336.016
2001-08-24,338.529
2001-08-27,337.243
2001-08-28,335.677
2001-08-29,335.913
2001-08-30,331.964
2001-08-31,331.378
2001-09-03,326.124
2001-09-04,319.953
2001-09-05,315.597
2001-09-06,309.715
2001-09-07,311.816
2001-09-10,305.351
2001-09-11,290.404
2001-09-12,284.794
2001-09-13,284.96
2001-09-14,277.68
2001-09-17,275.714
2001-09-18,275.427
2001-09-19,275.308
2001-09-20,264.224
2001-09-21,252.726
2001-09-24,261.239
2001-09-25,269.747
2001-09-26,274.687
2001-09-27,273.053
2001-09-28,273.1
2001-10-01,274.506
2001-10-02,272.099
2001-10-03,271.42
2001-10-04,274.7
2001-10-05,278.54
2001-10-08,279.154
2001-10-09,281.448
2001-10-10,283.681
2001-10-11,286.628
2001-10-12,288.968
2001-10-15,286.39
2001-10-16,289.51
2001-10-17,293.38
2001-10-18,288.412
2001-10-19,287.049
2001-10-22,286.582
2001-10-23,289.888
2001-10-24,293.319
2001-10-25,293.459
2001-10-26,296.223
2001-10-29,297.84
2001-10-30,294.351
2001-10-31,294.058
2001-11-01,296.58
2001-11-02,295.338
2001-11-05,296.297
2001-11-06,295.258
2001-11-07,296.87
2001-11-08,297.415
2001-11-09,296.707
2001-11-12,294.053
2001-11-13,295.499
2001-11-14,300.7
2001-11-15,303.537
2001-11-16,305.389
2001-11-19,308.108
2001-11-20,305.94
2001-11-21,301.181
2001-11-22,303.126
2001-11-23,302.252
2001-11-26,304.46
2001-11-27,305.801
2001-11-28,304.918
2001-11-29,305.202
2001-11-30,308.464
2001-12-03,305.599
2001-12-04,307.843
2001-12-05,314.329
2001-12-06,316.882
2001-12-07,316.576
2001-12-10,313.886
2001-12-11,313.591
2001-12-12,314.43
2001-12-13,310.469
2001-12-14,310.929
2001-12-17,314.262
2001-12-18,312.446
2001-12-19,310.402
2001-12-20,308.596
2001-12-21,306.074
2001-12-24,302.994
2001-12-25,302.994
2001-12-26,303.253
2001-12-27,308.151
2001-12-28,310.04
2001-12-31,313.064
2002-01-01,313.064
2002-01-02,318.169
2002-01-03,321.635
2002-01-04,323.076
2002-01-07,322.317
2002-01-08,320.308
2002-01-09,321.644
2002-01-10,321.301
2002-01-11,321.794
2002-01-14,321.151
2002-01-15,320.653
2002-01-16,316.022
2002-01-17,315.3
2002-01-18,315.853
2002-01-21,314.611
2002-01-22,314.825
2002-01-23,314.641
2002-01-24,314.002
2002-01-25,309.763
2002-01-28,310.111
2002-01-29,309.341
2002-01-30,307.173
2002-01-31,309.202
2002-02-01,309.566
2002-02-04,310.7
2002-02-05,308.232
2002-02-06,308.017
2002-02-07,307.842
2002-02-08,308.613
2002-02-11,311.968
2002-02-12,310.898
2002-02-13,310.016
2002-02-14,311.641
2002-02-15,311.695
2002-02-18,309.791
2002-02-19,308.425
2002-02-20,306.153
2002-02-21,308.252
2002-02-22,308.352
2002-02-25,308.749
2002-02-26,311.163
2002-02-27,312.22
2002-02-28,313.72
