Date,FRANCE SMID CAP SMID (Small+Mid Cap)
1994-05-31,184.718
1994-06-30,181.304
1994-07-29,191.69
1994-08-31,194.266
1994-09-30,188.817
1994-10-31,189.786
1994-11-30,183.406
1994-12-30,182.848
1995-01-31,178.472
1995-02-28,183.212
1995-03-31,197.556
1995-04-28,196.735
1995-05-31,201.737
1995-06-30,205.285
1995-07-31,209.257
1995-08-31,197.309
1995-09-29,199.222
1995-10-31,196.372
1995-11-30,191.207
1995-12-29,194.038
1996-01-31,202.177
1996-02-29,216.441
1996-03-29,224.991
1996-04-30,226.223
1996-05-31,228.781
1996-06-28,233.436
1996-07-31,232.026
1996-08-30,227.977
1996-09-30,225.219
1996-10-31,230.45
1996-11-29,233.748
1996-12-31,239.328
1997-01-31,242.786
1997-02-28,244.371
1997-03-31,249.079
1997-04-30,237.469
1997-05-30,235.136
1997-06-30,242.837
1997-07-31,241.491
1997-08-29,238.467
1997-09-30,248.697
1997-10-31,242.494
1997-11-28,239.721
1997-12-31,245.209
1998-01-30,251.025
1998-02-27,271.5
1998-03-31,291.976
1998-04-30,309.374
1998-05-29,333.487
1998-06-30,329.374
1998-07-31,329.448
1998-08-31,300.56
1998-09-30,284.045
1998-10-30,301.17
1998-11-30,307.768
1998-12-31,316.058
1999-01-29,308.876
1999-02-26,293.42
1999-03-31,292.309
1999-04-30,305.021
1999-05-31,307.482
1999-06-30,315.854
1999-07-30,319.897
1999-08-31,332.552
1999-09-30,336.648
1999-10-29,339.226
1999-11-30,350.51
1999-12-31,400.397
2000-01-31,400.327
2000-02-29,447.264
2000-03-31,432.927
2000-04-28,393.185
2000-05-31,395.987
2000-06-30,409.721
2000-07-31,403.101
2000-08-31,412.668
2000-09-29,383.035
2000-10-31,360.437
2000-11-30,356.553
2000-12-29,389.606
2001-01-31,396.618
2001-02-28,378.559
2001-03-30,340.162
2001-04-30,357.635
2001-05-31,345.887
2001-06-29,323.537
2001-07-31,330.61
2001-08-31,331.378
2001-09-28,273.1
2001-10-31,294.058
2001-11-30,308.464
2001-12-31,313.064
2002-01-31,309.202
2002-02-28,313.72
2002-03-29,335.528
2002-04-30,338.873
2002-05-31,343.46
2002-06-28,329.589
2002-07-31,291.802
2002-08-30,285.59
2002-09-30,243.191
2002-10-31,267.298
2002-11-29,291.26
2002-12-31,273.262
2003-01-31,266.467
2003-02-28,250.486
2003-03-31,239.109
2003-04-30,280.042
2003-05-30,309.803
2003-06-30,314.795
2003-07-31,326.13
2003-08-29,331.227
2003-09-30,341.219
2003-10-31,364.331
2003-11-28,383.257
2003-12-31,400.447
2004-01-30,414.093
2004-02-27,425.659
2004-03-31,413.986
2004-04-30,406.442
2004-05-31,411.033
2004-06-30,426.353
2004-07-30,408.922
2004-08-31,407.923
2004-09-30,423.299
2004-10-29,440.291
2004-11-30,476.402
2004-12-31,507.435
2005-01-31,510.913
2005-02-28,536.461
2005-03-31,524.298
2005-04-29,505.375
2005-05-31,515.906
2005-06-30,526.554
2005-07-29,554.953
2005-08-31,566.535
2005-09-30,582.343
2005-10-31,553.349
2005-11-30,568.067
2005-12-30,593.738
2006-01-31,649.919
2006-02-28,654.679
2006-03-31,697.555
2006-04-28,731.117
2006-05-31,701.609
2006-06-30,699.597
2006-07-31,682.291
2006-08-31,716.297
2006-09-29,729.373
2006-10-31,765.285
2006-11-30,820.66
2006-12-29,856.166
2007-01-31,859.048
2007-02-28,878.06
2007-03-30,931.199
2007-04-30,974.839
2007-05-31,1000.0
2007-06-29,990.901
2007-07-31,964.977
2007-08-31,941.619
2007-09-28,969.821
2007-10-31,1005.78
2007-11-30,951.666
2007-12-31,926.098
2008-01-31,812.185
2008-02-29,856.136
2008-03-31,874.165
2008-04-30,906.539
2008-05-30,923.772
2008-06-30,828.273
2008-07-31,803.116
2008-08-29,808.206
2008-09-30,669.065
2008-10-31,492.594
2008-11-28,465.85
2008-12-31,507.545
2009-01-30,462.96
2009-02-27,421.066
2009-03-31,446.329
2009-04-30,519.598
2009-05-29,575.721
2009-06-30,567.542
2009-07-31,629.096
2009-08-31,684.818
2009-09-30,753.716
2009-10-30,716.098
2009-11-30,719.128
2009-12-31,735.799
2010-01-29,719.971
2010-02-26,711.184
2010-03-31,764.26
2010-04-30,762.244
2010-05-31,664.981
2010-06-30,657.769
2010-07-30,725.631
2010-08-31,680.891
2010-09-30,788.037
2010-10-29,838.742
2010-11-30,767.057
2010-12-31,852.63
2011-01-31,888.304
2011-02-28,931.358
2011-03-31,957.839
2011-04-29,1035.713
2011-05-31,1009.939
2011-06-30,1012.702
2011-07-29,933.062
2011-08-31,844.224
2011-09-30,702.695
2011-10-31,769.835
2011-11-30,713.274
2011-12-30,687.766
2012-01-31,744.367
2012-02-29,812.529
2012-03-30,826.117
2012-04-30,783.794
2012-05-31,680.62
2012-06-29,731.458
2012-07-31,728.104
2012-08-31,757.203
2012-09-28,791.161
2012-10-31,792.174
2012-11-30,830.045
2012-12-31,856.345
2013-01-31,914.954
2013-02-28,911.095
2013-03-29,890.458
2013-04-30,918.369
2013-05-31,948.624
2013-06-28,917.899
2013-07-31,1009.003
