Date,FRANCE SMID CAP SMID (Small+Mid Cap)
1994-05-31,196.023
1994-06-30,192.053
1994-07-29,202.727
1994-08-31,205.429
1994-09-30,199.658
1994-10-31,200.671
1994-11-30,193.92
1994-12-30,193.304
1995-01-31,188.664
1995-02-28,193.668
1995-03-31,208.815
1995-04-28,207.934
1995-05-31,213.109
1995-06-30,216.368
1995-07-31,220.207
1995-08-31,207.623
1995-09-29,209.63
1995-10-31,206.627
1995-11-30,201.192
1995-12-29,204.137
1996-01-31,212.688
1996-02-29,227.67
1996-03-29,236.649
1996-04-30,237.925
1996-05-31,240.515
1996-06-28,244.915
1996-07-31,243.009
1996-08-30,238.758
1996-09-30,235.85
1996-10-31,241.32
1996-11-29,244.76
1996-12-31,250.561
1997-01-31,254.163
1997-02-28,255.815
1997-03-31,260.715
1997-04-30,248.541
1997-05-30,245.981
1997-06-30,253.527
1997-07-31,251.735
1997-08-29,248.561
1997-09-30,259.213
1997-10-31,252.74
1997-11-28,249.827
1997-12-31,255.504
1998-01-30,261.531
1998-02-27,282.851
1998-03-31,304.134
1998-04-30,322.212
1998-05-29,347.142
1998-06-30,342.254
1998-07-31,341.966
1998-08-31,311.966
1998-09-30,294.816
1998-10-30,312.588
1998-11-30,319.437
1998-12-31,328.041
1999-01-29,320.563
1999-02-26,304.522
1999-03-31,303.352
1999-04-30,316.538
1999-05-31,319.025
1999-06-30,327.443
1999-07-30,331.423
1999-08-31,344.535
1999-09-30,348.774
1999-10-29,351.445
1999-11-30,363.136
1999-12-31,414.8
2000-01-31,414.711
2000-02-29,463.326
2000-03-31,448.442
2000-04-28,407.244
2000-05-31,409.984
2000-06-30,423.708
2000-07-31,416.555
2000-08-31,426.41
2000-09-29,395.776
2000-10-31,372.425
2000-11-30,368.393
2000-12-29,402.493
2001-01-31,409.706
2001-02-28,391.021
2001-03-30,351.319
2001-04-30,369.294
2001-05-31,356.847
2001-06-29,333.213
2001-07-31,340.375
2001-08-31,341.156
2001-09-28,281.132
2001-10-31,302.667
2001-11-30,317.476
2001-12-31,322.176
2002-01-31,318.118
2002-02-28,322.751
2002-03-29,345.124
2002-04-30,348.498
2002-05-31,352.859
2002-06-28,338.098
2002-07-31,299.23
2002-08-30,292.859
2002-09-30,249.381
2002-10-31,274.087
2002-11-29,298.655
2002-12-31,280.162
2003-01-31,273.17
2003-02-28,256.781
2003-03-31,245.07
2003-04-30,286.814
2003-05-30,316.684
2003-06-30,321.1
2003-07-31,332.516
2003-08-29,337.713
2003-09-30,347.891
2003-10-31,371.436
2003-11-28,390.728
2003-12-31,408.215
2004-01-30,422.084
2004-02-27,433.866
2004-03-31,421.92
2004-04-30,414.037
2004-05-31,417.576
2004-06-30,432.586
2004-07-30,414.803
2004-08-31,413.789
2004-09-30,429.381
2004-10-29,446.547
2004-11-30,483.139
2004-12-31,514.449
2005-01-31,517.884
2005-02-28,543.765
2005-03-31,531.352
