Date,FRANCE SMID CAP SMID (Small+Mid Cap)
2001-01-01,402.493
2001-01-02,402.198
2001-01-03,391.18
2001-01-04,396.484
2001-01-05,397.388
2001-01-08,392.463
2001-01-09,388.436
2001-01-10,387.886
2001-01-11,395.404
2001-01-12,400.759
2001-01-15,399.11
2001-01-16,396.455
2001-01-17,398.215
2001-01-18,405.787
2001-01-19,407.774
2001-01-22,406.172
2001-01-23,406.385
2001-01-24,401.476
2001-01-25,401.491
2001-01-26,401.439
2001-01-29,399.848
2001-01-30,403.163
2001-01-31,409.706
2001-02-01,412.89
2001-02-02,409.831
2001-02-05,411.244
2001-02-06,410.065
2001-02-07,407.191
2001-02-08,403.665
2001-02-09,402.582
2001-02-12,404.897
2001-02-13,400.37
2001-02-14,396.471
2001-02-15,395.01
2001-02-16,397.29
2001-02-19,398.324
2001-02-20,392.309
2001-02-21,391.002
2001-02-22,387.42
2001-02-23,385.741
2001-02-26,388.482
2001-02-27,394.006
2001-02-28,391.021
2001-03-01,390.191
2001-03-02,391.75
2001-03-05,391.166
2001-03-06,397.735
2001-03-07,398.312
2001-03-08,400.034
2001-03-09,397.608
2001-03-12,389.249
2001-03-13,379.016
2001-03-14,370.132
2001-03-15,368.66
2001-03-16,360.586
2001-03-19,359.717
2001-03-20,362.471
2001-03-21,353.115
2001-03-22,335.972
2001-03-23,345.91
2001-03-26,353.347
2001-03-27,358.344
2001-03-28,354.032
2001-03-29,348.312
2001-03-30,351.319
2001-04-02,348.989
2001-04-03,341.999
2001-04-04,347.172
2001-04-05,348.767
2001-04-06,349.393
2001-04-09,350.049
2001-04-10,350.181
2001-04-11,350.613
2001-04-12,355.625
2001-04-13,355.625
2001-04-16,351.983
2001-04-17,348.375
2001-04-18,351.577
2001-04-19,360.091
2001-04-20,365.074
2001-04-23,361.782
2001-04-24,361.745
2001-04-25,363.308
2001-04-26,368.359
2001-04-27,368.924
2001-04-30,369.294
2001-05-01,371.254
2001-05-02,373.011
2001-05-03,372.304
2001-05-04,370.495
2001-05-07,371.299
2001-05-08,370.748
2001-05-09,368.721
2001-05-10,368.798
2001-05-11,367.3
2001-05-14,363.843
2001-05-15,367.006
2001-05-16,368.61
2001-05-17,370.785
2001-05-18,369.346
2001-05-21,369.77
2001-05-22,368.316
2001-05-23,365.635
2001-05-24,364.004
2001-05-25,363.535
2001-05-28,367.084
2001-05-29,362.883
2001-05-30,362.32
2001-05-31,356.847
2001-06-01,356.954
2001-06-04,357.454
2001-06-05,360.18
2001-06-06,357.986
2001-06-07,359.725
2001-06-08,359.033
2001-06-11,354.414
2001-06-12,350.809
2001-06-13,351.095
2001-06-14,349.582
2001-06-15,347.259
2001-06-18,345.147
2001-06-19,343.682
2001-06-20,337.011
2001-06-21,336.484
2001-06-22,338.585
2001-06-25,339.539
2001-06-26,335.672
2001-06-27,333.963
2001-06-28,331.271
2001-06-29,333.213
2001-07-02,334.458
2001-07-03,333.873
2001-07-04,333.996
2001-07-05,327.896
2001-07-06,326.653
2001-07-09,327.938
2001-07-10,332.113
2001-07-11,331.592
2001-07-12,330.031
2001-07-13,330.383
2001-07-16,332.575
2001-07-17,330.299
2001-07-18,335.738
2001-07-19,336.617
2001-07-20,336.113
2001-07-23,334.257
2001-07-24,335.28
2001-07-25,335.314
2001-07-26,335.052
2001-07-27,336.807
2001-07-30,338.862
2001-07-31,340.375
2001-08-01,343.733
2001-08-02,346.401
2001-08-03,345.641
2001-08-06,343.624
2001-08-07,340.965
2001-08-08,340.135
2001-08-09,341.531
2001-08-10,342.375
2001-08-13,344.736
2001-08-14,345.967
2001-08-15,350.593
2001-08-16,349.053
2001-08-17,347.871
2001-08-20,345.248
2001-08-21,346.672
2001-08-22,348.298
2001-08-23,345.934
2001-08-24,348.521
2001-08-27,347.197
2001-08-28,345.585
2001-08-29,345.827
2001-08-30,341.762
2001-08-31,341.156
2001-09-03,335.747
2001-09-04,329.394
2001-09-05,324.909
2001-09-06,318.854
2001-09-07,321.015
2001-09-10,314.357
2001-09-11,298.969
2001-09-12,293.193
2001-09-13,293.364
2001-09-14,285.87
2001-09-17,283.846
2001-09-18,283.551
2001-09-19,283.427
2001-09-20,272.014
2001-09-21,260.177
2001-09-24,268.925
2001-09-25,277.683
2001-09-26,282.766
2001-09-27,281.084
2001-09-28,281.132
2001-10-01,282.578
2001-10-02,280.086
2001-10-03,279.387
2001-10-04,282.752
2001-10-05,286.704
2001-10-08,287.337
2001-10-09,289.697
2001-10-10,291.996
2001-10-11,295.029
2001-10-12,297.429
2001-10-15,294.775
2001-10-16,297.986
2001-10-17,301.97
2001-10-18,296.856
2001-10-19,295.453
2001-10-22,294.972
2001-10-23,298.375
2001-10-24,301.907
2001-10-25,302.051
2001-10-26,304.896
2001-10-29,306.56
2001-10-30,302.969
2001-10-31,302.667
2001-11-01,305.263
2001-11-02,303.984
2001-11-05,304.972
2001-11-06,303.903
2001-11-07,305.556
2001-11-08,306.117
2001-11-09,305.389
2001-11-12,302.656
2001-11-13,304.145
2001-11-14,309.499
2001-11-15,312.418
2001-11-16,314.325
2001-11-19,317.124
2001-11-20,314.892
2001-11-21,309.994
2001-11-22,311.995
2001-11-23,311.096
2001-11-26,313.368
2001-11-27,314.748
2001-11-28,313.84
2001-11-29,314.133
2001-11-30,317.476
2001-12-03,314.527
2001-12-04,316.837
2001-12-05,323.513
2001-12-06,326.14
2001-12-07,325.817
2001-12-10,323.048
2001-12-11,322.745
2001-12-12,323.608
2001-12-13,319.532
2001-12-14,320.003
2001-12-17,323.433
2001-12-18,321.564
2001-12-19,319.461
2001-12-20,317.583
2001-12-21,314.982
2001-12-24,311.813
2001-12-25,311.813
2001-12-26,312.079
2001-12-27,317.12
2001-12-28,319.064
2001-12-31,322.176
2002-01-01,322.176
2002-01-02,327.429
2002-01-03,330.996
2002-01-04,332.456
2002-01-07,331.671
2002-01-08,329.603
2002-01-09,330.979
2002-01-10,330.61
2002-01-11,331.116
2002-01-14,330.454
2002-01-15,329.941
2002-01-16,325.176
2002-01-17,324.358
2002-01-18,324.96
2002-01-21,323.683
2002-01-22,323.903
2002-01-23,323.714
2002-01-24,323.056
2002-01-25,318.695
2002-01-28,319.053
2002-01-29,318.26
2002-01-30,316.03
2002-01-31,318.118
2002-02-01,318.492
2002-02-04,319.659
2002-02-05,317.12
2002-02-06,316.899
2002-02-07,316.718
2002-02-08,317.506
2002-02-11,320.952
2002-02-12,319.85
2002-02-13,318.943
2002-02-14,320.615
2002-02-15,320.67
2002-02-18,318.711
2002-02-19,317.306
2002-02-20,314.967
2002-02-21,317.126
2002-02-22,317.229
2002-02-25,317.637
2002-02-26,320.12
2002-02-27,321.208
2002-02-28,322.751
2002-03-01,324.573
2002-03-04,332.535
2002-03-05,331.95
2002-03-06,335.521
2002-03-07,341.865
2002-03-08,341.95
2002-03-11,341.08
2002-03-12,337.453
2002-03-13,339.166
2002-03-14,342.831
2002-03-15,344.278
2002-03-18,346.376
2002-03-19,347.58
2002-03-20,347.464
2002-03-21,345.485
2002-03-22,344.633
2002-03-25,343.187
2002-03-26,343.308
2002-03-27,342.529
2002-03-28,345.124
2002-03-29,345.124
2002-04-01,347.952
2002-04-02,347.934
2002-04-03,346.562
2002-04-04,345.158
2002-04-05,344.184
2002-04-08,339.831
2002-04-09,341.722
2002-04-10,344.895
2002-04-11,345.291
2002-04-12,344.865
2002-04-15,345.977
2002-04-16,348.386
2002-04-17,351.047
2002-04-18,352.762
2002-04-19,351.466
2002-04-22,349.653
2002-04-23,348.62
2002-04-24,348.029
2002-04-25,348.564
2002-04-26,349.314
2002-04-29,348.908
2002-04-30,348.498
2002-05-01,350.471
2002-05-02,347.867
2002-05-03,350.023
2002-05-06,351.242
2002-05-07,347.518
2002-05-08,349.828
2002-05-09,350.842
2002-05-10,351.404
2002-05-13,349.874
2002-05-14,349.721
2002-05-15,353.022
2002-05-16,354.037
2002-05-17,358.7
2002-05-20,358.468
2002-05-21,356.594
2002-05-22,355.743
2002-05-23,351.345
2002-05-24,350.246
2002-05-27,349.23
2002-05-28,352.615
2002-05-29,352.612
2002-05-30,352.586
2002-05-31,352.859
2002-06-03,352.342
2002-06-04,346.969
2002-06-05,344.895
2002-06-06,347.506
2002-06-07,341.487
2002-06-10,343.382
2002-06-11,344.016
2002-06-12,339.83
2002-06-13,333.357
2002-06-14,326.43
2002-06-17,332.091
2002-06-18,335.195
2002-06-19,333.744
2002-06-20,329.11
2002-06-21,329.64
2002-06-24,323.421
2002-06-25,324.472
2002-06-26,324.83
2002-06-27,327.292
2002-06-28,338.098
2002-07-01,339.217
2002-07-02,329.668
2002-07-03,319.283
2002-07-04,321.423
2002-07-05,329.538
2002-07-08,332.647
2002-07-09,331.821
2002-07-10,323.381
2002-07-11,314.707
2002-07-12,315.552
2002-07-15,312.352
2002-07-16,310.258
2002-07-17,316.623
2002-07-18,321.543
2002-07-19,316.364
2002-07-22,305.235
2002-07-23,295.429
2002-07-24,285.791
2002-07-25,294.018
2002-07-26,288.519
2002-07-29,295.724
2002-07-30,300.109
2002-07-31,299.23
2002-08-01,292.524
2002-08-02,291.868
2002-08-05,285.15
2002-08-06,278.909
2002-08-07,279.969
2002-08-08,280.806
2002-08-09,286.041
2002-08-12,284.342
2002-08-13,284.287
2002-08-14,281.689
2002-08-15,283.465
2002-08-16,285.183
2002-08-19,288.77
2002-08-20,289.543
2002-08-21,296.105
2002-08-22,301.643
2002-08-23,300.22
2002-08-26,297.254
2002-08-27,302.98
2002-08-28,297.093
2002-08-29,294.302
2002-08-30,292.859
2002-09-02,291.367
2002-09-03,286.98
2002-09-04,285.655
2002-09-05,281.651
2002-09-06,283.792
2002-09-09,280.753
2002-09-10,282.401
2002-09-11,288.096
2002-09-12,283.857
2002-09-13,279.963
2002-09-16,275.245
2002-09-17,274.027
2002-09-18,267.822
2002-09-19,262.489
2002-09-20,261.912
2002-09-23,254.769
2002-09-24,247.757
2002-09-25,248.76
2002-09-26,255.698
2002-09-27,255.304
2002-09-30,249.381
2002-10-01,246.554
2002-10-02,250.048
2002-10-03,247.601
2002-10-04,243.256
2002-10-07,238.746
2002-10-08,235.411
