Date,WORLD ex USA SMALL VALUE Small Cap
1994-05-31,281.331
1994-06-30,291.659
1994-07-29,291.44
1994-08-31,291.86
1994-09-30,284.02
1994-10-31,287.756
1994-11-30,270.12
1994-12-30,273.537
1995-01-31,269.464
1995-02-28,262.21
1995-03-31,273.403
1995-04-28,278.339
1995-05-31,271.496
1995-06-30,266.402
1995-07-31,278.877
1995-08-31,269.855
1995-09-29,270.45
1995-10-31,262.522
1995-11-30,265.032
1995-12-29,275.222
1996-01-31,279.946
1996-02-29,284.284
1996-03-29,288.687
1996-04-30,304.876
1996-05-31,303.482
1996-06-28,304.777
1996-07-31,295.244
1996-08-30,293.296
1996-09-30,290.72
1996-10-31,286.013
1996-11-29,287.343
1996-12-31,279.844
1997-01-31,271.589
1997-02-28,273.87
1997-03-31,270.214
1997-04-30,265.184
1997-05-30,285.035
1997-06-30,291.64
1997-07-31,280.902
1997-08-29,270.626
1997-09-30,268.728
1997-10-31,260.043
1997-11-28,244.75
1997-12-31,236.251
1998-01-30,250.919
1998-02-27,269.3
1998-03-31,277.868
1998-04-30,280.77
1998-05-29,283.438
1998-06-30,273.086
1998-07-31,267.953
1998-08-31,237.729
1998-09-30,231.977
1998-10-30,246.307
1998-11-30,254.435
1998-12-31,258.306
1999-01-29,254.181
1999-02-26,251.767
1999-03-31,264.154
1999-04-30,282.399
1999-05-31,277.907
1999-06-30,292.702
1999-07-30,305.133
1999-08-31,311.278
1999-09-30,312.246
1999-10-29,304.148
1999-11-30,300.27
1999-12-31,302.411
2000-01-31,297.383
2000-02-29,295.188
2000-03-31,303.657
2000-04-28,284.697
2000-05-31,288.348
2000-06-30,308.071
2000-07-31,295.515
2000-08-31,302.454
2000-09-29,293.554
2000-10-31,277.889
2000-11-30,278.223
2000-12-29,287.986
2001-01-31,291.61
2001-02-28,290.758
2001-03-30,273.839
2001-04-30,292.243
2001-05-31,294.643
2001-06-29,288.326
2001-07-31,282.612
2001-08-31,287.409
2001-09-28,256.629
2001-10-31,263.353
2001-11-30,268.564
2001-12-31,265.14
2002-01-31,260.153
2002-02-28,268.317
2002-03-29,281.428
2002-04-30,293.979
2002-05-31,311.31
2002-06-28,302.404
2002-07-31,279.05
2002-08-30,279.409
2002-09-30,258.205
2002-10-31,260.216
2002-11-29,269.063
2002-12-31,269.75
2003-01-31,264.905
2003-02-28,262.919
2003-03-31,261.585
2003-04-30,287.584
2003-05-30,314.178
2003-06-30,328.013
2003-07-31,339.19
2003-08-29,356.358
2003-09-30,375.728
2003-10-31,399.653
2003-11-28,404.131
2003-12-31,430.056
2004-01-30,446.923
2004-02-27,462.238
2004-03-31,481.592
2004-04-30,465.774
2004-05-31,464.225
2004-06-30,484.665
2004-07-30,471.258
2004-08-31,474.98
2004-09-30,490.119
2004-10-29,504.104
2004-11-30,544.829
2004-12-31,574.755
2005-01-31,582.855
2005-02-28,608.178
2005-03-31,598.648
2005-04-29,581.967
2005-05-31,582.473
2005-06-30,593.603
2005-07-29,612.822
2005-08-31,631.641
2005-09-30,655.786
2005-10-31,636.288
2005-11-30,655.516
2005-12-30,693.285
2006-01-31,743.613
2006-02-28,747.471
2006-03-31,776.116
2006-04-28,809.627
2006-05-31,774.531
2006-06-30,762.316
2006-07-31,759.885
2006-08-31,781.426
2006-09-29,787.098
2006-10-31,818.905
2006-11-30,855.414
2006-12-29,883.468
2007-01-31,899.636
2007-02-28,916.108
2007-03-30,947.682
2007-04-30,987.823
2007-05-31,1000.0
2007-06-29,987.19
2007-07-31,976.756
2007-08-31,940.269
2007-09-28,959.181
2007-10-31,999.436
2007-11-30,927.633
2007-12-31,901.138
2008-01-31,829.141
2008-02-29,856.628
2008-03-31,853.338
2008-04-30,867.522
2008-05-30,875.269
2008-06-30,795.333
2008-07-31,763.113
2008-08-29,742.483
2008-09-30,624.341
2008-10-31,476.469
2008-11-28,453.259
2008-12-31,487.161
2009-01-30,455.345
2009-02-27,407.635
2009-03-31,437.8
2009-04-30,517.524
2009-05-29,593.504
2009-06-30,599.976
2009-07-31,654.132
2009-08-31,717.132
2009-09-30,755.4
2009-10-30,737.435
2009-11-30,735.51
2009-12-31,743.165
2010-01-29,735.985
2010-02-26,729.999
2010-03-31,781.005
2010-04-30,794.741
2010-05-31,699.41
2010-06-30,691.572
2010-07-30,750.639
2010-08-31,728.743
2010-09-30,807.281
2010-10-29,835.725
2010-11-30,803.959
2010-12-31,896.703
2011-01-31,909.949
2011-02-28,935.801
2011-03-31,932.256
2011-04-29,974.672
2011-05-31,946.472
2011-06-30,926.192
2011-07-29,914.642
2011-08-31,837.255
2011-09-30,743.93
2011-10-31,802.355
2011-11-30,757.844
2011-12-30,746.005
2012-01-31,809.636
2012-02-29,861.689
2012-03-30,858.796
2012-04-30,844.734
2012-05-31,741.413
2012-06-29,771.595
2012-07-31,773.505
2012-08-31,793.465
2012-09-28,831.694
2012-10-31,839.028
2012-11-30,847.962
2012-12-31,891.539
2013-01-31,945.507
2013-02-28,950.632
2013-03-29,964.253
2013-04-30,1001.068
2013-05-31,975.283
