Date,WORLD ex USA SMALL VALUE Small Cap
2001-01-01,280.208
2001-01-02,281.203
2001-01-03,279.666
2001-01-04,279.6
2001-01-05,280.434
2001-01-08,279.798
2001-01-09,276.978
2001-01-10,276.469
2001-01-11,276.346
2001-01-12,276.524
2001-01-15,275.7
2001-01-16,276.847
2001-01-17,276.855
2001-01-18,280.197
2001-01-19,280.746
2001-01-22,280.74
2001-01-23,281.476
2001-01-24,278.499
2001-01-25,279.554
2001-01-26,279.351
2001-01-29,279.858
2001-01-30,281.438
2001-01-31,283.74
2001-02-01,287.124
2001-02-02,286.291
2001-02-05,287.182
2001-02-06,286.114
2001-02-07,285.056
2001-02-08,282.428
2001-02-09,282.275
2001-02-12,283.432
2001-02-13,282.916
2001-02-14,282.667
2001-02-15,281.961
2001-02-16,283.605
2001-02-19,283.732
2001-02-20,283.279
2001-02-21,281.699
2001-02-22,280.353
2001-02-23,281.181
2001-02-26,281.949
2001-02-27,284.224
2001-02-28,282.944
2001-03-01,283.246
2001-03-02,282.625
2001-03-05,281.735
2001-03-06,284.088
2001-03-07,283.156
2001-03-08,284.546
2001-03-09,284.607
2001-03-12,280.573
2001-03-13,275.492
2001-03-14,271.497
2001-03-15,270.273
2001-03-16,267.801
2001-03-19,268.31
2001-03-20,268.861
2001-03-21,268.148
2001-03-22,261.498
2001-03-23,265.472
2001-03-26,269.961
2001-03-27,271.099
2001-03-28,270.573
2001-03-29,267.969
2001-03-30,266.683
2001-04-02,265.772
2001-04-03,266.255
2001-04-04,268.76
2001-04-05,270.996
2001-04-06,272.74
2001-04-09,272.07
2001-04-10,272.087
2001-04-11,272.756
2001-04-12,276.025
2001-04-13,276.244
2001-04-16,274.856
2001-04-17,274.827
2001-04-18,276.074
2001-04-19,280.34
2001-04-20,281.939
2001-04-23,281.635
2001-04-24,281.944
2001-04-25,283.374
2001-04-26,285.672
2001-04-27,284.169
2001-04-30,284.736
2001-05-01,288.687
2001-05-02,289.524
2001-05-03,290.521
2001-05-04,290.549
2001-05-07,290.34
2001-05-08,288.427
2001-05-09,287.265
2001-05-10,287.973
2001-05-11,287.35
2001-05-14,285.664
2001-05-15,286.936
2001-05-16,287.341
2001-05-17,289.516
2001-05-18,289.164
2001-05-21,291.07
2001-05-22,290.318
2001-05-23,290.972
2001-05-24,290.1
2001-05-25,290.058
2001-05-28,290.056
2001-05-29,289.563
2001-05-30,288.48
2001-05-31,287.32
2001-06-01,287.893
2001-06-04,287.986
2001-06-05,287.725
2001-06-06,286.978
2001-06-07,288.037
2001-06-08,287.952
2001-06-11,285.88
2001-06-12,284.185
2001-06-13,285.497
2001-06-14,285.632
2001-06-15,283.852
2001-06-18,282.826
2001-06-19,282.185
2001-06-20,279.573
2001-06-21,280.688
2001-06-22,282.21
2001-06-25,283.756
2001-06-26,283.31
2001-06-27,282.454
2001-06-28,279.722
2001-06-29,281.321
2001-07-02,280.899
2001-07-03,281.059
2001-07-04,280.272
2001-07-05,277.716
2001-07-06,276.279
2001-07-09,274.945
2001-07-10,276.516
2001-07-11,276.143
2001-07-12,276.437
2001-07-13,275.762
2001-07-16,275.556
2001-07-17,273.816
2001-07-18,276.317
2001-07-19,276.814
2001-07-20,277.159
2001-07-23,273.882
2001-07-24,274.574
2001-07-25,275.197
2001-07-26,275.015
2001-07-27,275.391
2001-07-30,273.872
2001-07-31,275.784
2001-08-01,278.526
2001-08-02,281.69
2001-08-03,281.388
2001-08-06,280.293
2001-08-07,279.5
2001-08-08,279.34
2001-08-09,278.792
2001-08-10,280.756
2001-08-13,280.325
2001-08-14,281.922
2001-08-15,286.223
2001-08-16,285.582
2001-08-17,285.527
2001-08-20,283.151
2001-08-21,284.912
2001-08-22,286.609
2001-08-23,285.028
2001-08-24,285.384
2001-08-27,285.455
2001-08-28,284.734
