Date,WORLD ex USA SMALL VALUE Small Cap
2001-01-01,288.001
2001-01-02,289.021
2001-01-03,287.441
2001-01-04,287.369
2001-01-05,288.226
2001-01-08,287.571
2001-01-09,284.672
2001-01-10,284.149
2001-01-11,284.021
2001-01-12,284.204
2001-01-15,283.356
2001-01-16,284.534
2001-01-17,284.543
2001-01-18,287.978
2001-01-19,288.542
2001-01-22,288.533
2001-01-23,289.29
2001-01-24,286.23
2001-01-25,287.314
2001-01-26,287.105
2001-01-29,287.626
2001-01-30,289.244
2001-01-31,291.61
2001-02-01,295.087
2001-02-02,294.231
2001-02-05,295.146
2001-02-06,294.048
2001-02-07,292.961
2001-02-08,290.259
2001-02-09,290.102
2001-02-12,291.287
2001-02-13,290.757
2001-02-14,290.499
2001-02-15,289.771
2001-02-16,291.457
2001-02-19,291.584
2001-02-20,291.118
2001-02-21,289.494
2001-02-22,288.111
2001-02-23,288.953
2001-02-26,289.741
2001-02-27,292.076
2001-02-28,290.758
2001-03-01,291.068
2001-03-02,290.43
2001-03-05,289.511
2001-03-06,291.927
2001-03-07,290.965
2001-03-08,292.389
2001-03-09,292.444
2001-03-12,288.298
2001-03-13,283.075
2001-03-14,278.965
2001-03-15,277.707
2001-03-16,275.164
2001-03-19,275.674
2001-03-20,276.236
2001-03-21,275.498
2001-03-22,268.653
2001-03-23,272.731
2001-03-26,277.329
2001-03-27,278.392
2001-03-28,277.849
2001-03-29,275.168
2001-03-30,273.839
2001-04-02,272.902
2001-04-03,273.394
2001-04-04,275.953
2001-04-05,278.238
2001-04-06,280.023
2001-04-09,279.327
2001-04-10,279.344
2001-04-11,280.028
2001-04-12,283.383
2001-04-13,283.608
2001-04-16,282.183
2001-04-17,282.143
2001-04-18,283.42
2001-04-19,287.791
2001-04-20,289.426
2001-04-23,289.105
2001-04-24,289.419
2001-04-25,290.877
2001-04-26,293.234
2001-04-27,291.667
2001-04-30,292.243
2001-05-01,296.292
2001-05-02,297.142
2001-05-03,298.157
2001-05-04,298.179
2001-05-07,297.936
2001-05-08,295.968
2001-05-09,294.773
2001-05-10,295.489
2001-05-11,294.848
2001-05-14,293.105
2001-05-15,294.404
2001-05-16,294.771
