Date,ACWI SMID CAP SMID (Small+Mid Cap)
2001-01-01,436.898
2001-01-02,427.802
2001-01-03,434.214
2001-01-04,432.525
2001-01-05,427.252
2001-01-08,425.257
2001-01-09,424.187
2001-01-10,427.989
2001-01-11,431.896
2001-01-12,433.878
2001-01-15,433.584
2001-01-16,435.525
2001-01-17,437.952
2001-01-18,441.471
2001-01-19,440.992
2001-01-22,441.947
2001-01-23,446.94
2001-01-24,445.862
2001-01-25,445.51
2001-01-26,445.117
2001-01-29,448.864
2001-01-30,451.607
2001-01-31,452.891
2001-02-01,454.504
2001-02-02,449.849
2001-02-05,448.709
2001-02-06,449.873
2001-02-07,447.298
2001-02-08,444.6
2001-02-09,442.509
2001-02-12,445.027
2001-02-13,443.266
2001-02-14,443.006
2001-02-15,445.049
2001-02-16,441.164
2001-02-19,440.355
2001-02-20,436.027
2001-02-21,430.629
2001-02-22,426.42
2001-02-23,426.135
2001-02-26,431.97
2001-02-27,430.046
2001-02-28,425.93
2001-03-01,424.482
2001-03-02,424.172
2001-03-05,423.837
2001-03-06,429.203
2001-03-07,430.454
2001-03-08,429.686
2001-03-09,424.681
2001-03-12,412.718
2001-03-13,409.09
2001-03-14,401.995
2001-03-15,401.612
2001-03-16,394.589
2001-03-19,397.955
2001-03-20,396.06
2001-03-21,391.287
2001-03-22,383.166
2001-03-23,391.5
2001-03-26,398.676
2001-03-27,401.781
2001-03-28,397.115
2001-03-29,393.669
2001-03-30,395.343
2001-04-02,389.547
2001-04-03,382.045
2001-04-04,382.866
2001-04-05,392.89
2001-04-06,390.238
2001-04-09,391.706
2001-04-10,397.271
2001-04-11,397.699
2001-04-12,403.157
2001-04-13,403.368
2001-04-16,400.713
2001-04-17,402.045
2001-04-18,411.776
2001-04-19,417.771
2001-04-20,416.797
2001-04-23,412.88
2001-04-24,412.293
2001-04-25,416.55
2001-04-26,420.251
2001-04-27,422.216
2001-04-30,425.004
2001-05-01,429.377
2001-05-02,431.214
2001-05-03,428.079
2001-05-04,430.812
2001-05-07,429.988
2001-05-08,429.026
2001-05-09,427.244
2001-05-10,427.801
2001-05-11,426.023
2001-05-14,423.688
2001-05-15,425.82
2001-05-16,430.488
2001-05-17,435.986
2001-05-18,436.488
2001-05-21,442.521
2001-05-22,442.998
2001-05-23,439.25
2001-05-24,439.677
2001-05-25,438.37
2001-05-28,438.203
