Date,ACWI SMID CAP SMID (Small+Mid Cap)
1994-05-31,282.648
1994-06-30,284.687
1994-07-29,288.119
1994-08-31,296.503
1994-09-30,291.578
1994-10-31,294.21
1994-11-30,278.495
1994-12-30,282.105
1995-01-31,275.259
1995-02-28,276.299
1995-03-31,285.929
1995-04-28,292.004
1995-05-31,291.105
1995-06-30,293.377
1995-07-31,308.685
1995-08-31,305.657
1995-09-29,308.852
1995-10-31,299.644
1995-11-30,305.536
1995-12-29,314.29
1996-01-31,319.518
1996-02-29,325.136
1996-03-29,331.295
1996-04-30,347.169
1996-05-31,348.173
1996-06-28,344.487
1996-07-31,326.561
1996-08-30,333.686
1996-09-30,340.463
1996-10-31,336.713
1996-11-29,344.988
1996-12-31,341.911
1997-01-31,343.377
1997-02-28,344.596
1997-03-31,333.812
1997-04-30,331.572
1997-05-30,356.746
1997-06-30,368.971
1997-07-31,375.896
1997-08-29,365.036
1997-09-30,377.811
1997-10-31,358.679
1997-11-28,348.151
1997-12-31,346.19
1998-01-30,348.64
1998-02-27,375.499
1998-03-31,391.993
1998-04-30,395.514
1998-05-29,384.79
1998-06-30,377.355
1998-07-31,366.176
1998-08-31,306.935
1998-09-30,311.87
1998-10-30,333.649
1998-11-30,349.835
1998-12-31,363.462
1999-01-29,364.347
1999-02-26,350.821
1999-03-31,365.05
1999-04-30,392.272
1999-05-31,389.053
1999-06-30,409.861
1999-07-30,413.341
1999-08-31,414.984
1999-09-30,413.429
1999-10-29,420.049
1999-11-30,440.316
1999-12-31,476.726
2000-01-31,467.472
2000-02-29,506.799
2000-03-31,507.285
2000-04-28,468.355
2000-05-31,453.889
2000-06-30,480.463
2000-07-31,464.103
2000-08-31,489.183
2000-09-29,468.101
2000-10-31,441.079
2000-11-30,408.892
2000-12-29,427.255
2001-01-31,442.932
2001-02-28,416.61
2001-03-30,386.831
2001-04-30,415.963
2001-05-31,421.208
2001-06-29,415.222
2001-07-31,400.699
2001-08-31,392.069
2001-09-28,341.643
2001-10-31,357.16
2001-11-30,378.448
2001-12-31,388.885
2002-01-31,384.899
2002-02-28,383.856
2002-03-29,408.761
2002-04-30,411.491
2002-05-31,413.162
2002-06-28,388.798
2002-07-31,350.834
2002-08-30,350.951
2002-09-30,320.093
