Date,ACWI SMID CAP SMID (Small+Mid Cap)
1994-05-31,291.814
1994-06-30,293.851
1994-07-29,297.345
1994-08-31,305.983
1994-09-30,300.867
1994-10-31,303.561
1994-11-30,287.336
1994-12-30,291.045
1995-01-31,283.969
1995-02-28,285.03
1995-03-31,294.902
1995-04-28,301.129
1995-05-31,300.124
1995-06-30,302.386
1995-07-31,318.107
1995-08-31,314.97
1995-09-29,318.221
1995-10-31,308.713
1995-11-30,314.768
1995-12-29,323.768
1996-01-31,329.14
1996-02-29,334.909
1996-03-29,341.192
1996-04-30,357.484
1996-05-31,358.432
1996-06-28,354.557
1996-07-31,336.049
1996-08-30,343.365
1996-09-30,350.298
1996-10-31,346.418
1996-11-29,354.919
1996-12-31,351.734
1997-01-31,353.225
1997-02-28,354.458
1997-03-31,343.308
1997-04-30,340.945
1997-05-30,366.739
1997-06-30,379.222
1997-07-31,386.286
1997-08-29,375.111
1997-09-30,388.193
1997-10-31,368.518
1997-11-28,357.687
1997-12-31,355.653
1998-01-30,358.155
1998-02-27,385.733
1998-03-31,402.609
1998-04-30,406.153
1998-05-29,395.048
1998-06-30,387.319
1998-07-31,375.797
1998-08-31,314.986
1998-09-30,320.015
1998-10-30,342.348
1998-11-30,358.942
1998-12-31,372.902
1999-01-29,373.784
1999-02-26,359.874
1999-03-31,374.372
1999-04-30,402.228
1999-05-31,398.852
1999-06-30,420.11
1999-07-30,423.64
1999-08-31,425.277
1999-09-30,423.614
1999-10-29,430.372
1999-11-30,451.097
1999-12-31,488.348
2000-01-31,478.838
2000-02-29,519.073
2000-03-31,519.438
2000-04-28,479.495
2000-05-31,464.579
2000-06-30,491.686
2000-07-31,474.886
2000-08-31,500.485
2000-09-29,478.825
2000-10-31,451.148
2000-11-30,418.176
2000-12-29,436.899
2001-01-31,452.891
2001-02-28,425.93
2001-03-30,395.343
2001-04-30,425.004
2001-05-31,430.176
2001-06-29,423.948
2001-07-31,409.063
2001-08-31,400.193
2001-09-28,348.633
2001-10-31,364.433
2001-11-30,386.1
2001-12-31,396.684
2002-01-31,392.585
2002-02-28,391.468
2002-03-29,416.722
2002-04-30,419.401
2002-05-31,420.938
2002-06-28,396.003
2002-07-31,357.287
2002-08-30,357.305
2002-09-30,325.756
2002-10-31,337.438
2002-11-29,358.155
2002-12-31,346.037
2003-01-31,339.143
2003-02-28,332.89
2003-03-31,333.205
2003-04-30,361.816
2003-05-30,393.723
2003-06-30,401.969
2003-07-31,416.25
2003-08-29,435.192
2003-09-30,439.923
2003-10-31,473.872
2003-11-28,483.651
2003-12-31,505.559
2004-01-30,521.139
2004-02-27,534.654
2004-03-31,542.556
2004-04-30,522.659
2004-05-31,528.246
2004-06-30,546.448
2004-07-30,522.749
2004-08-31,524.736
2004-09-30,543.98
2004-10-29,559.619
2004-11-30,601.113
2004-12-31,627.571
2005-01-31,618.947
2005-02-28,642.121
2005-03-31,628.928
2005-04-29,607.056
2005-05-31,625.199
2005-06-30,641.552
2005-07-29,672.011
2005-08-31,676.875
2005-09-30,695.681
2005-10-31,672.678
2005-11-30,703.153
2005-12-30,727.768
2006-01-31,777.748
2006-02-28,774.896
2006-03-31,801.711
2006-04-28,825.774
2006-05-31,787.198
2006-06-30,780.961
2006-07-31,769.689
2006-08-31,790.486
2006-09-29,798.934
2006-10-31,833.545
2006-11-30,868.013
2006-12-29,883.38
2007-01-31,900.27
2007-02-28,908.644
2007-03-30,929.786
2007-04-30,966.544
2007-05-31,1000.0
2007-06-29,992.107
2007-07-31,970.922
2007-08-31,955.47
2007-09-28,990.218
2007-10-31,1029.395
2007-11-30,961.412
2007-12-31,949.72
2008-01-31,869.98
2008-02-29,879.643
2008-03-31,865.4
2008-04-30,906.882
2008-05-30,934.006
2008-06-30,852.826
2008-07-31,825.472
2008-08-29,816.572
2008-09-30,698.891
2008-10-31,534.275
2008-11-28,495.846
2008-12-31,526.606
2009-01-30,487.461
2009-02-27,439.428
2009-03-31,477.318
2009-04-30,553.567
2009-05-29,607.958
2009-06-30,609.489
2009-07-31,665.813
2009-08-31,699.691
2009-09-30,741.092
2009-10-30,717.334
2009-11-30,739.465
2009-12-31,771.58
2010-01-29,746.484
2010-02-26,762.234
2010-03-31,818.587
2010-04-30,840.56
2010-05-31,760.741
2010-06-30,735.34
2010-07-30,793.872
2010-08-31,765.067
2010-09-30,851.378
2010-10-29,883.355
2010-11-30,878.545
2010-12-31,951.007
2011-01-31,958.826
2011-02-28,987.29
2011-03-31,999.279
2011-04-29,1038.815
2011-05-31,1019.56
2011-06-30,998.236
2011-07-29,978.8
2011-08-31,901.056
2011-09-30,797.95
2011-10-31,888.681
2011-11-30,859.852
2011-12-30,851.907
2012-01-31,914.085
2012-02-29,960.524
2012-03-30,965.121
2012-04-30,955.078
2012-05-31,866.821
2012-06-29,899.439
2012-07-31,902.876
2012-08-31,929.928
2012-09-28,962.035
2012-10-31,956.003
2012-11-30,969.045
2012-12-31,1000.47
2013-01-31,1051.234
2013-02-28,1059.185
2013-03-29,1087.829
2013-04-30,1110.352
2013-05-31,1114.304
2013-06-28,1082.779
2013-07-31,1142.493
2013-08-30,1118.811
2013-09-30,1189.961
2013-10-31,1226.984
2013-11-29,1237.936
2013-12-31,1264.305
2014-01-31,1232.854
2014-02-28,1299.875
2014-03-31,1297.746
2014-04-30,1289.82
2014-05-30,1312.632
2014-06-30,1351.568
2014-07-31,1313.686
2014-08-29,1349.853
2014-09-30,1283.213
2014-10-31,1297.751
2014-11-28,1310.393
2014-12-31,1304.377
2015-01-30,1289.899
2015-02-27,1363.673
2015-03-31,1358.544
2015-04-30,1387.456
2015-05-29,1396.627
2015-06-30,1370.028
2015-07-31,1364.917
2015-08-31,1285.41
