Date,ACWI SMID CAP SMID (Small+Mid Cap)
2001-01-01,427.255
2001-01-02,418.363
2001-01-03,424.634
2001-01-04,422.983
2001-01-05,417.827
2001-01-08,415.88
2001-01-09,414.835
2001-01-10,418.554
2001-01-11,422.378
2001-01-12,424.316
2001-01-15,424.03
2001-01-16,425.928
2001-01-17,428.303
2001-01-18,431.746
2001-01-19,431.278
2001-01-22,432.213
2001-01-23,437.096
2001-01-24,436.044
2001-01-25,435.702
2001-01-26,435.318
2001-01-29,438.987
2001-01-30,441.672
2001-01-31,442.932
2001-02-01,444.511
2001-02-02,439.959
2001-02-05,438.848
2001-02-06,439.988
2001-02-07,437.472
2001-02-08,434.833
2001-02-09,432.789
2001-02-12,435.256
2001-02-13,433.536
2001-02-14,433.287
2001-02-15,435.287
2001-02-16,431.488
2001-02-19,430.697
2001-02-20,426.465
2001-02-21,421.189
2001-02-22,417.075
2001-02-23,416.8
2001-02-26,422.509
2001-02-27,420.631
2001-02-28,416.61
2001-03-01,415.197
2001-03-02,414.894
2001-03-05,414.571
2001-03-06,419.822
2001-03-07,421.056
2001-03-08,420.309
2001-03-09,415.416
2001-03-12,403.715
2001-03-13,400.171
2001-03-14,393.234
2001-03-15,392.862
2001-03-16,385.996
2001-03-19,389.292
2001-03-20,387.441
2001-03-21,382.779
2001-03-22,374.839
2001-03-23,382.994
2001-03-26,390.022
2001-03-27,393.109
2001-03-28,388.553
2001-03-29,385.186
2001-03-30,386.831
2001-04-02,381.162
2001-04-03,373.822
2001-04-04,374.63
2001-04-05,384.444
2001-04-06,381.861
2001-04-09,383.301
2001-04-10,388.75
2001-04-11,389.18
2001-04-12,394.523
2001-04-13,394.73
2001-04-16,392.132
2001-04-17,393.438
2001-04-18,402.962
2001-04-19,408.832
2001-04-20,407.883
2001-04-23,404.054
2001-04-24,403.483
2001-04-25,407.662
2001-04-26,411.293
2001-04-27,413.232
2001-04-30,415.963
2001-05-01,420.245
2001-05-02,422.054
2001-05-03,418.994
2001-05-04,421.681
2001-05-07,420.888
2001-05-08,419.947
2001-05-09,418.206
2001-05-10,418.758
2001-05-11,417.023
2001-05-14,414.744
2001-05-15,416.836
2001-05-16,421.42
2001-05-17,426.81
2001-05-18,427.306
2001-05-21,433.239
2001-05-22,433.715
2001-05-23,430.055
2001-05-24,430.476
2001-05-25,429.204
2001-05-28,429.044
2001-05-29,425.616
2001-05-30,419.834
2001-05-31,421.208
2001-06-01,422.856
2001-06-04,424.17
2001-06-05,427.555
2001-06-06,425.518
2001-06-07,427.482
2001-06-08,426.194
2001-06-11,421.38
2001-06-12,419.161
2001-06-13,418.988
2001-06-14,413.479
2001-06-15,411.879
2001-06-18,408.063
2001-06-19,406.99
2001-06-20,407.149
2001-06-21,408.891
2001-06-22,407.726
2001-06-25,407.515
2001-06-26,408.045
2001-06-27,408.492
2001-06-28,409.284
2001-06-29,415.222
2001-07-02,413.127
2001-07-03,412.298
2001-07-04,410.926
2001-07-05,406.756
2001-07-06,400.702
2001-07-09,400.055
2001-07-10,398.301
2001-07-11,396.186
2001-07-12,401.682
2001-07-13,401.922
2001-07-16,398.789
2001-07-17,399.338
2001-07-18,398.897
2001-07-19,400.417
2001-07-20,400.007
2001-07-23,395.989
2001-07-24,392.624
2001-07-25,394.652
2001-07-26,398.007
2001-07-27,399.495
2001-07-30,398.736
2001-07-31,400.699
2001-08-01,403.957
2001-08-02,406.952
2001-08-03,406.04
2001-08-06,402.816
2001-08-07,401.878
2001-08-08,398.378
2001-08-09,397.03
2001-08-10,398.585
2001-08-13,399.536
2001-08-14,401.42
2001-08-15,402.972
2001-08-16,402.318
2001-08-17,399.616
2001-08-20,398.183
2001-08-21,397.334
2001-08-22,399.728
2001-08-23,398.004
2001-08-24,400.94
2001-08-27,400.75
2001-08-28,397.828
2001-08-29,396.573
2001-08-30,392.148
2001-08-31,392.069
2001-09-03,389.629
2001-09-04,388.554
2001-09-05,384.557
2001-09-06,379.832
2001-09-07,376.374
2001-09-10,371.417
2001-09-11,367.975
2001-09-12,362.16
2001-09-13,362.916
2001-09-14,361.586
2001-09-17,346.753
2001-09-18,344.189
2001-09-19,341.847
2001-09-20,332.26
2001-09-21,323.779
2001-09-24,331.124
2001-09-25,334.527
2001-09-26,333.358
2001-09-27,334.584
2001-09-28,341.643
2001-10-01,339.665
2001-10-02,341.76
2001-10-03,346.736
2001-10-04,350.512
2001-10-05,350.417
2001-10-08,348.346
2001-10-09,347.756
2001-10-10,351.83
2001-10-11,358.074
2001-10-12,357.758
2001-10-15,357.558
2001-10-16,360.703
2001-10-17,358.351
2001-10-18,354.483
2001-10-19,355.03
2001-10-22,356.872
2001-10-23,357.668
2001-10-24,358.941
2001-10-25,362.404
2001-10-26,364.017
2001-10-29,360.733
2001-10-30,355.909
2001-10-31,357.16
2001-11-01,360.281
2001-11-02,360.369
2001-11-05,363.996
2001-11-06,367.212
2001-11-07,367.387
2001-11-08,367.377
2001-11-09,366.775
2001-11-12,366.176
2001-11-13,369.294
2001-11-14,371.671
2001-11-15,372.339
2001-11-16,373.6
2001-11-19,377.064
2001-11-20,375.025
2001-11-21,373.296
2001-11-22,374.0
2001-11-23,376.104
2001-11-26,380.011
2001-11-27,379.658
2001-11-28,375.425
2001-11-29,377.328
2001-11-30,378.448
2001-12-03,375.532
2001-12-04,380.118
2001-12-05,387.636
2001-12-06,389.893
2001-12-07,388.456
2001-12-10,384.442
2001-12-11,383.866
2001-12-12,385.029
2001-12-13,380.257
2001-12-14,380.166
2001-12-17,382.184
2001-12-18,383.771
2001-12-19,381.886
2001-12-20,379.683
2001-12-21,380.692
2001-12-24,381.04
2001-12-25,381.396
2001-12-26,382.932
2001-12-27,386.284
2001-12-28,388.913
2001-12-31,388.885
2002-01-01,388.899
2002-01-02,389.538
2002-01-03,393.183
2002-01-04,396.538
2002-01-07,395.366
2002-01-08,393.838
2002-01-09,393.202
2002-01-10,392.396
2002-01-11,390.183
2002-01-14,386.931
2002-01-15,386.674
2002-01-16,381.569
2002-01-17,383.668
2002-01-18,382.627
2002-01-21,383.226
2002-01-22,380.571
2002-01-23,383.519
2002-01-24,385.164
2002-01-25,384.51
2002-01-28,385.582
2002-01-29,381.643
2002-01-30,382.057
2002-01-31,384.899
2002-02-01,383.762
2002-02-04,379.166
2002-02-05,376.7
2002-02-06,374.793
2002-02-07,373.199
2002-02-08,376.8
2002-02-11,380.729
2002-02-12,381.911
2002-02-13,384.105
2002-02-14,384.259
2002-02-15,383.202
2002-02-18,382.93
2002-02-19,377.455
2002-02-20,378.406
2002-02-21,377.234
2002-02-22,378.484
2002-02-25,380.289
2002-02-26,382.074
2002-02-27,384.358
2002-02-28,383.856
2002-03-01,388.967
2002-03-04,398.418
2002-03-05,397.901
2002-03-06,402.042
2002-03-07,405.268
2002-03-08,407.102
2002-03-11,408.84
2002-03-12,405.804
2002-03-13,403.608
2002-03-14,405.363
2002-03-15,407.611
2002-03-18,408.822
2002-03-19,410.617
2002-03-20,408.42
2002-03-21,409.346
2002-03-22,407.87
2002-03-25,404.144
2002-03-26,405.376
2002-03-27,408.059
2002-03-28,409.382
2002-03-29,408.761
