Date,ACWI LARGE GROWTH Large Cap
2001-01-01,880.008
2001-01-02,852.295
2001-01-03,887.319
2001-01-04,891.399
2001-01-05,873.133
2001-01-08,866.925
2001-01-09,864.308
2001-01-10,868.916
2001-01-11,884.865
2001-01-12,887.058
2001-01-15,886.362
2001-01-16,886.384
2001-01-17,899.44
2001-01-18,918.772
2001-01-19,919.727
2001-01-22,916.988
2001-01-23,924.636
2001-01-24,924.178
2001-01-25,914.837
2001-01-26,912.276
2001-01-29,914.995
2001-01-30,918.579
2001-01-31,915.889
2001-02-01,916.817
2001-02-02,895.33
2001-02-05,892.63
2001-02-06,891.045
2001-02-07,879.382
2001-02-08,867.189
2001-02-09,850.525
2001-02-12,860.969
2001-02-13,851.443
2001-02-14,848.023
2001-02-15,858.501
2001-02-16,834.645
2001-02-19,832.061
2001-02-20,815.881
2001-02-21,801.92
2001-02-22,796.299
2001-02-23,790.331
2001-02-26,802.323
2001-02-27,794.686
2001-02-28,783.878
2001-03-01,783.75
2001-03-02,770.845
2001-03-05,777.037
2001-03-06,794.868
2001-03-07,796.04
2001-03-08,790.538
2001-03-09,769.565
2001-03-12,733.258
2001-03-13,736.646
2001-03-14,722.189
2001-03-15,725.258
2001-03-16,708.899
2001-03-19,715.289
2001-03-20,708.008
2001-03-21,702.077
2001-03-22,691.457
2001-03-23,711.412
2001-03-26,725.951
2001-03-27,740.644
2001-03-28,720.296
2001-03-29,706.34
2001-03-30,707.499
2001-04-02,696.86
2001-04-03,672.877
2001-04-04,675.415
2001-04-05,705.022
2001-04-06,697.541
2001-04-09,699.059
2001-04-10,715.343
2001-04-11,722.489
2001-04-12,734.965
2001-04-13,735.035
2001-04-16,726.281
2001-04-17,727.861
2001-04-18,763.461
2001-04-19,784.096
2001-04-20,779.483
2001-04-23,763.578
2001-04-24,753.874
2001-04-25,762.313
2001-04-26,766.439
2001-04-27,775.005
2001-04-30,780.586
2001-05-01,793.874
2001-05-02,800.338
2001-05-03,786.79
2001-05-04,794.698
2001-05-07,796.158
2001-05-08,793.253
2001-05-09,783.929
2001-05-10,785.203
2001-05-11,777.083
2001-05-14,768.767
2001-05-15,772.65
2001-05-16,784.487
2001-05-17,792.893
2001-05-18,793.012
2001-05-21,807.733
2001-05-22,807.078
2001-05-23,794.004
2001-05-24,795.215
2001-05-25,784.502
2001-05-28,784.303
2001-05-29,773.206
2001-05-30,755.906
2001-05-31,755.144
2001-06-01,757.098
2001-06-04,759.603
2001-06-05,769.794
2001-06-06,764.745
2001-06-07,770.97
2001-06-08,764.686
2001-06-11,753.642
2001-06-12,747.238
2001-06-13,742.761
2001-06-14,733.935
2001-06-15,727.665
2001-06-18,720.982
2001-06-19,721.478
2001-06-20,724.607
2001-06-21,730.851
2001-06-22,728.017
2001-06-25,725.497
2001-06-26,721.067
2001-06-27,718.253
2001-06-28,723.157
2001-06-29,725.54
2001-07-02,733.244
2001-07-03,730.553
2001-07-04,726.509
2001-07-05,711.811
2001-07-06,695.118
2001-07-09,698.81
2001-07-10,691.488
2001-07-11,686.672
2001-07-12,702.917
2001-07-13,705.543
2001-07-16,697.771
2001-07-17,698.641
2001-07-18,694.477
2001-07-19,701.534
2001-07-20,699.589
2001-07-23,688.186
2001-07-24,682.731
2001-07-25,687.457
2001-07-26,693.213
2001-07-27,697.003
2001-07-30,697.133
2001-07-31,704.178
2001-08-01,710.467
2001-08-02,717.021
2001-08-03,712.548
2001-08-06,705.272
2001-08-07,705.259
2001-08-08,693.568
2001-08-09,688.327
2001-08-10,689.115
2001-08-13,689.951
2001-08-14,692.027
2001-08-15,689.363
2001-08-16,685.74
2001-08-17,673.502
2001-08-20,673.178
2001-08-21,669.87
2001-08-22,673.576
2001-08-23,668.582
2001-08-24,682.788
2001-08-27,682.727
2001-08-28,671.216
2001-08-29,664.798
2001-08-30,650.026
2001-08-31,651.948
2001-09-03,646.999
2001-09-04,646.442
2001-09-05,639.393
2001-09-06,624.185
2001-09-07,614.408
2001-09-10,613.137
2001-09-11,603.372
2001-09-12,601.707
2001-09-13,604.687
2001-09-14,600.335
2001-09-17,582.324
2001-09-18,580.188
2001-09-19,576.328
2001-09-20,560.024
2001-09-21,546.586
2001-09-24,569.628
2001-09-25,576.693
2001-09-26,574.308
2001-09-27,578.094
2001-09-28,590.457
2001-10-01,588.131
2001-10-02,594.057
2001-10-03,603.497
2001-10-04,609.925
2001-10-05,613.463
2001-10-08,611.148
2001-10-09,606.045
2001-10-10,617.017
2001-10-11,630.848
2001-10-12,631.555
2001-10-15,626.708
2001-10-16,631.6
2001-10-17,627.753
2001-10-18,620.718
2001-10-19,619.631
2001-10-22,628.121
2001-10-23,631.964
2001-10-24,635.726
2001-10-25,638.32
2001-10-26,641.658
2001-10-29,628.166
2001-10-30,616.219
2001-10-31,617.292
2001-11-01,629.656
2001-11-02,631.192
2001-11-05,641.458
2001-11-06,650.344
2001-11-07,648.817
2001-11-08,653.816
2001-11-09,651.528
2001-11-12,647.193
2001-11-13,659.053
2001-11-14,662.989
2001-11-15,667.755
2001-11-16,668.953
2001-11-19,675.824
2001-11-20,666.522
2001-11-21,662.51
2001-11-22,665.561
2001-11-23,668.236
2001-11-26,676.493
2001-11-27,671.925
2001-11-28,660.619
2001-11-29,663.189
2001-11-30,666.724
2001-12-03,659.383
2001-12-04,669.218
2001-12-05,688.14
2001-12-06,689.587
2001-12-07,682.605
2001-12-10,668.592
2001-12-11,668.345
2001-12-12,670.932
2001-12-13,657.181
2001-12-14,656.975
2001-12-17,665.589
2001-12-18,667.521
2001-12-19,666.128
2001-12-20,660.305
2001-12-21,662.071
2001-12-24,659.59
2001-12-25,659.304
2001-12-26,660.186
2001-12-27,668.294
2001-12-28,671.51
2001-12-31,668.47
2002-01-01,668.46
2002-01-02,671.768
2002-01-03,680.09
2002-01-04,683.61
2002-01-07,678.634
2002-01-08,673.732
2002-01-09,671.09
2002-01-10,667.969
2002-01-11,664.215
2002-01-14,658.192
2002-01-15,659.221
2002-01-16,648.733
2002-01-17,654.649
2002-01-18,649.72
2002-01-21,647.841
2002-01-22,642.124
2002-01-23,644.697
2002-01-24,647.972
2002-01-25,644.635
2002-01-28,645.912
2002-01-29,631.763
2002-01-30,631.667
2002-01-31,639.472
2002-02-01,635.191
2002-02-04,624.237
2002-02-05,619.176
2002-02-06,615.526
2002-02-07,616.392
2002-02-08,622.21
2002-02-11,631.32
2002-02-12,630.325
2002-02-13,635.227
2002-02-14,636.471
2002-02-15,629.105
2002-02-18,627.329
2002-02-19,615.427
2002-02-20,617.648
2002-02-21,613.347
2002-02-22,614.079
2002-02-25,621.814
2002-02-26,621.532
2002-02-27,625.472
2002-02-28,624.06
2002-03-01,636.479
2002-03-04,652.903
2002-03-05,651.169
2002-03-06,658.126
2002-03-07,662.916
2002-03-08,668.057
2002-03-11,667.702
2002-03-12,659.611
2002-03-13,653.291
2002-03-14,655.927
2002-03-15,662.149
2002-03-18,661.578
2002-03-19,664.029
2002-03-20,654.49
2002-03-21,654.261
2002-03-22,651.791
2002-03-25,642.888
2002-03-26,644.346
2002-03-27,645.612
2002-03-28,649.91
2002-03-29,648.82
2002-04-01,650.163
2002-04-02,645.122
2002-04-03,642.207
2002-04-04,641.872
2002-04-05,638.867
2002-04-08,635.294
2002-04-09,631.034
2002-04-10,636.756
2002-04-11,623.352
2002-04-12,625.535
2002-04-15,625.601
2002-04-16,639.088
2002-04-17,641.448
2002-04-18,640.295
2002-04-19,638.504
2002-04-22,631.501
2002-04-23,627.71
2002-04-24,624.926
2002-04-25,624.267
2002-04-26,615.73
2002-04-29,611.931
2002-04-30,614.899
2002-05-01,618.875
2002-05-02,613.221
2002-05-03,607.876
2002-05-06,600.664
2002-05-07,595.722
2002-05-08,616.826
2002-05-09,610.133
2002-05-10,600.926
2002-05-13,607.847
2002-05-14,617.585
2002-05-15,621.05
2002-05-16,624.494
2002-05-17,632.345
2002-05-20,626.7
2002-05-21,619.804
2002-05-22,621.123
2002-05-23,622.642
2002-05-24,618.278
2002-05-27,616.904
2002-05-28,614.062
2002-05-29,610.34
2002-05-30,608.297
2002-05-31,607.377
2002-06-03,598.887
2002-06-04,596.492
2002-06-05,598.29
2002-06-06,591.798
2002-06-07,585.498
2002-06-10,587.293
2002-06-11,581.926
2002-06-12,580.622
2002-06-13,574.321
2002-06-14,569.544
2002-06-17,583.371
2002-06-18,583.122
2002-06-19,573.915
2002-06-20,567.178
2002-06-21,559.124
2002-06-24,559.91
2002-06-25,556.077
2002-06-26,555.387
2002-06-27,564.146
2002-06-28,569.112
2002-07-01,560.766
2002-07-02,548.019
2002-07-03,547.827
2002-07-04,551.268
2002-07-05,570.629
2002-07-08,567.482
2002-07-09,559.606
2002-07-10,541.446
2002-07-11,539.089
2002-07-12,539.987
2002-07-15,533.324
2002-07-16,527.515
2002-07-17,534.729
2002-07-18,529.187
2002-07-19,509.612
2002-07-22,492.355
2002-07-23,480.404
2002-07-24,494.029
2002-07-25,495.641
2002-07-26,497.737
2002-07-29,520.58
2002-07-30,523.732
2002-07-31,524.165
2002-08-01,509.14
2002-08-02,503.396
2002-08-05,487.739
2002-08-06,497.895
2002-08-07,506.34
2002-08-08,521.546
2002-08-09,525.298
2002-08-12,520.245
2002-08-13,515.232
2002-08-14,526.942
2002-08-15,534.828
2002-08-16,537.065
2002-08-19,546.135
2002-08-20,539.206
2002-08-21,545.8
2002-08-22,552.419
2002-08-23,542.636
2002-08-26,543.531
2002-08-27,539.695
2002-08-28,527.662
2002-08-29,525.163
2002-08-30,524.722
2002-09-02,522.044
2002-09-03,503.742
2002-09-04,509.366
2002-09-05,504.176
2002-09-06,512.339
2002-09-09,514.501
2002-09-10,520.16
2002-09-11,523.114
2002-09-12,510.54
2002-09-13,508.108
2002-09-16,506.725
2002-09-17,500.913
2002-09-18,495.532
2002-09-19,485.332
2002-09-20,484.337
2002-09-23,474.561
2002-09-24,468.863
2002-09-25,478.082
2002-09-26,488.352
2002-09-27,479.399
2002-09-30,469.922
2002-10-01,482.021
2002-10-02,480.334
2002-10-03,476.117
2002-10-04,467.624
2002-10-07,458.812
2002-10-08,462.639
2002-10-09,455.038
2002-10-10,465.505
2002-10-11,483.408
2002-10-14,485.242
2002-10-15,508.277
2002-10-16,496.964
2002-10-17,507.06
2002-10-18,509.618
2002-10-21,513.183
2002-10-22,508.218
2002-10-23,506.896
2002-10-24,504.382
2002-10-25,511.744
2002-10-28,511.094
2002-10-29,503.698
2002-10-30,508.896
2002-10-31,510.192
2002-11-01,513.475
2002-11-04,521.935
2002-11-05,526.546
2002-11-06,527.7
2002-11-07,520.417
2002-11-08,515.243
2002-11-11,506.156
2002-11-12,511.784
2002-11-13,511.296
2002-11-14,521.708
2002-11-15,524.988
2002-11-18,521.332
2002-11-19,518.453
2002-11-20,524.009
2002-11-21,535.458
2002-11-22,534.256
2002-11-25,533.403
2002-11-26,523.806
2002-11-27,535.193
2002-11-28,537.683
2002-11-29,535.348
2002-12-02,534.802
2002-12-03,527.597
2002-12-04,525.905
2002-12-05,519.243
2002-12-06,521.36
2002-12-09,511.377
2002-12-10,516.034
2002-12-11,516.889
2002-12-12,514.93
2002-12-13,508.898
2002-12-16,517.514
2002-12-17,514.512
2002-12-18,506.171
2002-12-19,503.659
2002-12-20,507.931
2002-12-23,509.747
2002-12-24,509.394
