Date,ACWI LARGE GROWTH Large Cap
1994-05-31,406.798
1994-06-30,405.889
1994-07-29,412.124
1994-08-31,427.671
1994-09-30,418.884
1994-10-31,428.905
1994-11-30,409.37
1994-12-30,413.158
1995-01-31,405.509
1995-02-28,407.059
1995-03-31,426.258
1995-04-28,441.375
1995-05-31,445.087
1995-06-30,448.018
1995-07-31,470.855
1995-08-31,460.788
1995-09-29,474.171
1995-10-31,466.378
1995-11-30,480.822
1995-12-29,491.429
1996-01-31,498.923
1996-02-29,502.216
1996-03-29,510.431
1996-04-30,525.151
1996-05-31,528.519
1996-06-28,530.652
1996-07-31,505.073
1996-08-30,513.147
1996-09-30,535.537
1996-10-31,531.239
1996-11-29,557.535
1996-12-31,545.405
1997-01-31,554.459
1997-02-28,558.52
1997-03-31,547.099
1997-04-30,567.141
1997-05-30,606.69
1997-06-30,640.976
1997-07-31,674.562
1997-08-29,623.13
1997-09-30,657.166
1997-10-31,612.03
1997-11-28,623.91
1997-12-31,632.007
1998-01-30,651.717
1998-02-27,698.455
1998-03-31,722.697
1998-04-30,732.295
1998-05-29,717.903
1998-06-30,744.058
1998-07-31,750.78
1998-08-31,643.675
1998-09-30,659.885
1998-10-30,721.12
1998-11-30,771.288
1998-12-31,829.763
1999-01-29,866.043
1999-02-26,835.719
1999-03-31,880.364
1999-04-30,890.472
1999-05-31,856.474
1999-06-30,915.357
1999-07-30,913.543
1999-08-31,929.315
1999-09-30,932.974
1999-10-29,1001.495
1999-11-30,1078.126
1999-12-31,1227.561
2000-01-31,1159.999
2000-02-29,1227.044
2000-03-31,1259.744
2000-04-28,1157.935
2000-05-31,1076.609
2000-06-30,1156.95
2000-07-31,1101.57
2000-08-31,1158.603
2000-09-29,1049.86
2000-10-31,990.447
2000-11-30,880.259
2000-12-29,864.528
2001-01-31,899.69
2001-02-28,770.096
2001-03-30,695.268
2001-04-30,767.263
2001-05-31,742.456
2001-06-29,713.406
2001-07-31,692.486
2001-08-31,641.24
2001-09-28,580.877
2001-10-31,607.293
2001-11-30,655.978
2001-12-31,657.768
2002-01-31,629.287
2002-02-28,614.22
2002-03-29,638.755
2002-04-30,605.52
2002-05-31,598.321
2002-06-28,560.755
2002-07-31,516.514
2002-08-30,517.171
2002-09-30,463.281
2002-10-31,503.044
2002-11-29,527.974
2002-12-31,497.57
2003-01-31,481.487
2003-02-28,475.552
2003-03-31,477.88
2003-04-30,516.125
2003-05-30,540.483
2003-06-30,549.858
2003-07-31,563.436
2003-08-29,574.632
2003-09-30,577.823
2003-10-31,610.355
2003-11-28,618.686
2003-12-31,647.867
2004-01-30,661.744
2004-02-27,671.615
2004-03-31,664.707
2004-04-30,649.95
2004-05-31,655.106
2004-06-30,661.408
2004-07-30,631.239
2004-08-31,631.576
2004-09-30,641.87
2004-10-29,655.897
2004-11-30,686.178
2004-12-31,714.623
2005-01-31,695.569
2005-02-28,711.902
2005-03-31,697.024
2005-04-29,683.683
2005-05-31,702.906
2005-06-30,704.418
2005-07-29,733.986
2005-08-31,739.971
2005-09-30,759.297
2005-10-31,744.187
2005-11-30,769.961
2005-12-30,785.723
2006-01-31,820.652
2006-02-28,812.692
2006-03-31,829.046
2006-04-28,849.666
2006-05-31,813.266
2006-06-30,813.226
2006-07-31,812.294
2006-08-31,836.136
2006-09-29,844.15
2006-10-31,873.078
2006-11-30,894.803
2006-12-29,906.713
2007-01-31,918.477
2007-02-28,909.653
2007-03-30,927.705
2007-04-30,970.655
2007-05-31,1000.0
2007-06-29,1001.554
2007-07-31,1000.743
2007-08-31,1004.708
2007-09-28,1069.332
2007-10-31,1120.941
2007-11-30,1086.606
2007-12-31,1076.708
2008-01-31,979.045
2008-02-29,996.828
2008-03-31,980.337
2008-04-30,1036.269
2008-05-30,1069.582
2008-06-30,996.489
2008-07-31,970.957
2008-08-29,944.882
2008-09-30,817.429
2008-10-31,659.722
2008-11-28,608.442
2008-12-31,630.791
2009-01-30,591.338
2009-02-27,544.682
2009-03-31,586.877
2009-04-30,640.405
2009-05-29,702.131
2009-06-30,702.472
2009-07-31,760.734
2009-08-31,772.989
2009-09-30,810.917
2009-10-30,808.109
2009-11-30,843.752
2009-12-31,864.377
2010-01-29,821.259
2010-02-26,835.389
2010-03-31,889.071
2010-04-30,889.298
2010-05-31,805.663
2010-06-30,782.228
2010-07-30,843.388
2010-08-31,815.385
2010-09-30,900.095
2010-10-29,937.664
2010-11-30,923.777
2010-12-31,985.265
2011-01-31,989.908
2011-02-28,1013.205
2011-03-31,1014.058
2011-04-29,1058.354
2011-05-31,1039.959
2011-06-30,1024.325
2011-07-29,1022.008
2011-08-31,950.092
2011-09-30,856.048
2011-10-31,952.358
2011-11-30,928.198
2011-12-30,919.056
2012-01-31,976.887
2012-02-29,1029.694
2012-03-30,1042.738
2012-04-30,1038.9
2012-05-31,947.709
2012-06-29,986.835
2012-07-31,1005.429
2012-08-31,1028.436
2012-09-28,1057.352
2012-10-31,1042.057
2012-11-30,1065.996
2012-12-31,1079.371
2013-01-31,1119.962
2013-02-28,1125.175
2013-03-29,1148.049
2013-04-30,1175.801
2013-05-31,1172.172
2013-06-28,1135.738
2013-07-31,1188.457
2013-08-30,1169.212
2013-09-30,1232.53
2013-10-31,1281.993
2013-11-29,1307.068
2013-12-31,1331.328
2014-01-31,1274.162
2014-02-28,1339.19
2014-03-31,1332.494
2014-04-30,1340.483
2014-05-30,1379.251
2014-06-30,1402.304
2014-07-31,1387.696
