Date,ACWI LARGE GROWTH Large Cap
2001-01-01,864.413
2001-01-02,837.191
2001-01-03,871.603
2001-01-04,875.611
2001-01-05,857.668
2001-01-08,851.57
2001-01-09,849.0
2001-01-10,853.528
2001-01-11,869.196
2001-01-12,871.351
2001-01-15,870.667
2001-01-16,870.688
2001-01-17,883.514
2001-01-18,902.504
2001-01-19,903.442
2001-01-22,900.752
2001-01-23,908.264
2001-01-24,907.816
2001-01-25,898.641
2001-01-26,896.125
2001-01-29,898.796
2001-01-30,902.319
2001-01-31,899.69
2001-02-01,900.602
2001-02-02,879.496
2001-02-05,876.847
2001-02-06,875.29
2001-02-07,863.842
2001-02-08,851.864
2001-02-09,835.495
2001-02-12,845.754
2001-02-13,836.405
2001-02-14,833.066
2001-02-15,843.362
2001-02-16,819.927
2001-02-19,817.389
2001-02-20,801.504
2001-02-21,787.789
2001-02-22,782.268
2001-02-23,776.433
2001-02-26,788.214
2001-02-27,780.713
2001-02-28,770.096
2001-03-01,769.972
2001-03-02,757.294
2001-03-05,763.415
2001-03-06,780.936
2001-03-07,782.092
2001-03-08,776.688
2001-03-09,756.087
2001-03-12,720.416
2001-03-13,723.757
2001-03-14,709.555
2001-03-15,712.57
2001-03-16,696.498
2001-03-19,702.791
2001-03-20,695.637
2001-03-21,689.819
2001-03-22,679.413
2001-03-23,699.021
2001-03-26,713.321
2001-03-27,727.817
2001-03-28,707.824
2001-03-29,694.121
2001-03-30,695.268
2001-04-02,684.812
2001-04-03,661.244
2001-04-04,663.746
2001-04-05,692.842
2001-04-06,685.513
2001-04-09,687.004
2001-04-10,703.015
2001-04-11,710.072
2001-04-12,722.333
2001-04-13,722.402
2001-04-16,713.798
2001-04-17,715.376
2001-04-18,750.367
2001-04-19,770.651
2001-04-20,766.117
2001-04-23,750.526
2001-04-24,740.992
2001-04-25,749.289
2001-04-26,753.348
2001-04-27,761.774
2001-04-30,767.263
2001-05-01,780.332
2001-05-02,786.711
2001-05-03,773.403
2001-05-04,781.19
2001-05-07,782.636
2001-05-08,779.788
2001-05-09,770.627
2001-05-10,771.884
2001-05-11,763.917
2001-05-14,755.747
2001-05-15,759.567
2001-05-16,771.226
2001-05-17,779.497
2001-05-18,779.618
2001-05-21,794.129
2001-05-22,793.485
2001-05-23,780.638
2001-05-24,781.83
2001-05-25,771.31
2001-05-28,771.116
2001-05-29,760.205
2001-05-30,743.201
2001-05-31,742.456
2001-06-01,744.387
2001-06-04,746.852
2001-06-05,756.877
2001-06-06,751.93
2001-06-07,758.051
2001-06-08,751.884
2001-06-11,741.03
2001-06-12,734.734
2001-06-13,730.337
2001-06-14,721.665
2001-06-15,715.501
2001-06-18,708.934
2001-06-19,709.421
2001-06-20,712.507
2001-06-21,718.65
2001-06-22,715.864
2001-06-25,713.353
2001-06-26,708.999
2001-06-27,706.233
2001-06-28,711.061
2001-06-29,713.406
2001-07-02,720.985
2001-07-03,718.347
2001-07-04,714.371
2001-07-05,699.951
2001-07-06,683.537
2001-07-09,687.172
2001-07-10,679.974
2001-07-11,675.243
2001-07-12,691.226
2001-07-13,693.808
2001-07-16,686.166
2001-07-17,687.022
2001-07-18,682.927
2001-07-19,689.87
2001-07-20,687.957
2001-07-23,676.744
2001-07-24,671.384
2001-07-25,676.034
2001-07-26,681.694
2001-07-27,685.422
2001-07-30,685.554
2001-07-31,692.486
2001-08-01,698.675
2001-08-02,705.121
2001-08-03,700.724
