Date,ACWI LARGE GROWTH Large Cap
1994-05-31,417.195
1994-06-30,416.176
1994-07-29,422.514
1994-08-31,438.444
1994-09-30,429.395
1994-10-31,439.648
1994-11-30,419.591
1994-12-30,423.453
1995-01-31,415.599
1995-02-28,417.175
1995-03-31,436.787
1995-04-28,452.237
1995-05-31,455.895
1995-06-30,458.779
1995-07-31,482.116
1995-08-31,471.799
1995-09-29,485.453
1995-10-31,477.454
1995-11-30,492.212
1995-12-29,503.045
1996-01-31,510.702
1996-02-29,514.061
1996-03-29,522.413
1996-04-30,537.43
1996-05-31,540.783
1996-06-28,542.811
1996-07-31,516.601
1996-08-30,524.847
1996-09-30,547.703
1996-10-31,543.28
1996-11-29,570.146
1996-12-31,557.713
1997-01-31,566.954
1997-02-28,571.084
1997-03-31,559.349
1997-04-30,579.732
1997-05-30,620.046
1997-06-30,654.922
1997-07-31,689.173
1997-08-29,636.61
1997-09-30,671.334
1997-10-31,625.202
1997-11-28,637.328
1997-12-31,645.568
1998-01-30,665.687
1998-02-27,713.388
1998-03-31,738.079
1998-04-30,747.762
1998-05-29,732.953
1998-06-30,759.459
1998-07-31,766.27
1998-08-31,656.948
1998-09-30,673.442
1998-10-30,735.922
1998-11-30,787.11
1998-12-31,846.768
1999-01-29,883.743
1999-02-26,852.729
1999-03-31,898.083
1999-04-30,908.286
1999-05-31,873.377
1999-06-30,933.233
1999-07-30,931.252
1999-08-31,947.265
1999-09-30,950.843
1999-10-29,1020.634
1999-11-30,1098.647
1999-12-31,1250.866
2000-01-31,1181.973
2000-02-29,1250.222
2000-03-31,1283.397
2000-04-28,1179.55
2000-05-31,1096.522
2000-06-30,1178.262
2000-07-31,1121.779
2000-08-31,1179.79
2000-09-29,1068.967
2000-10-31,1008.445
2000-11-30,896.202
2000-12-29,880.125
2001-01-31,915.889
2001-02-28,783.878
2001-03-30,707.499
2001-04-30,780.586
2001-05-31,755.144
2001-06-29,725.54
2001-07-31,704.178
2001-08-31,651.948
2001-09-28,590.457
2001-10-31,617.292
2001-11-30,666.724
2001-12-31,668.47
2002-01-31,639.472
2002-02-28,624.06
2002-03-29,648.82
2002-04-30,614.899
2002-05-31,607.377
2002-06-28,569.112
2002-07-31,524.165
2002-08-30,524.722
2002-09-30,469.922
2002-10-31,510.192
2002-11-29,535.348
2002-12-31,504.442
2003-01-31,488.047
2003-02-28,481.917
2003-03-31,484.061
2003-04-30,522.561
2003-05-30,546.966
2003-06-30,556.352
2003-07-31,570.017
2003-08-29,581.218
2003-09-30,584.359
2003-10-31,617.137
2003-11-28,625.424
2003-12-31,654.84
2004-01-30,668.799
2004-02-27,678.588
2004-03-31,671.44
2004-04-30,656.251
2004-05-31,661.124
2004-06-30,667.388
2004-07-30,636.867
2004-08-31,637.004
2004-09-30,647.306
2004-10-29,661.372
2004-11-30,691.717
2004-12-31,720.306
2005-01-31,700.999
2005-02-28,717.274
2005-03-31,702.031
2005-04-29,688.167
2005-05-31,707.195
2005-06-30,708.545
2005-07-29,738.21
2005-08-31,744.0
2005-09-30,763.312
2005-10-31,748.052
