Date,SWITZERLAND VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,120.801
1975-02-28,121.532
1975-03-31,120.394
1975-04-30,127.942
1975-05-30,124.621
1975-06-30,121.464
1975-07-31,115.412
1975-08-29,110.266
1975-09-30,99.852
1975-10-31,117.108
1975-11-28,125.529
1975-12-31,130.885
1976-01-30,137.842
1976-02-27,135.018
1976-03-31,138.582
1976-04-30,137.381
1976-05-31,137.741
1976-06-30,139.966
1976-07-30,136.587
1976-08-31,132.758
1976-09-30,133.042
1976-10-29,127.817
1976-11-30,129.04
1976-12-31,139.446
1977-01-31,138.651
1977-02-28,134.3
1977-03-31,135.863
1977-04-29,146.099
1977-05-31,141.395
1977-06-30,146.783
1977-07-29,149.917
1977-08-31,154.394
1977-09-30,164.214
1977-10-31,167.807
1977-11-30,170.679
1977-12-30,179.344
1978-01-31,188.177
1978-02-28,194.767
1978-03-31,191.674
1978-04-28,176.637
1978-05-31,181.424
1978-06-30,187.436
1978-07-31,196.131
1978-08-31,201.569
1978-09-29,205.649
1978-10-31,208.587
1978-11-30,193.486
1978-12-29,212.871
1979-01-31,228.861
1979-02-28,226.517
1979-03-30,230.196
1979-04-30,233.318
1979-05-31,221.888
1979-06-29,227.155
1979-07-31,227.639
1979-08-31,233.758
1979-09-28,250.87
1979-10-31,227.29
1979-11-30,231.482
1979-12-31,229.482
1980-01-31,226.927
1980-02-29,211.072
1980-03-31,175.972
1980-04-30,203.217
1980-05-30,205.044
1980-06-30,223.328
1980-07-31,221.573
1980-08-29,222.714
1980-09-30,217.567
1980-10-31,210.949
1980-11-28,203.169
1980-12-31,202.847
1981-01-30,183.506
1981-02-27,185.501
1981-03-31,192.27
1981-04-30,180.026
1981-05-29,168.698
1981-06-30,176.831
1981-07-31,168.979
1981-08-31,162.744
1981-09-30,161.19
1981-10-30,173.493
1981-11-30,190.358
1981-12-31,188.69
1982-01-29,180.403
1982-02-26,177.292
1982-03-31,178.461
1982-04-30,178.473
1982-05-31,170.719
1982-06-30,157.791
1982-07-30,160.722
1982-08-31,161.844
1982-09-30,161.972
1982-10-29,166.57
1982-11-30,180.032
1982-12-31,205.302
1983-01-31,212.171
1983-02-28,216.229
1983-03-31,214.716
1983-04-29,229.797
1983-05-31,220.457
