Date,SWITZERLAND VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,120.698
1975-02-28,121.296
1975-03-31,120.055
1975-04-30,127.479
1975-05-30,124.053
1975-06-30,120.794
1975-07-31,114.675
1975-08-29,109.45
1975-09-30,99.022
1975-10-31,116.054
1975-11-28,124.319
1975-12-31,129.542
1976-01-30,136.331
1976-02-27,133.435
1976-03-31,136.859
1976-04-30,135.571
1976-05-31,135.818
1976-06-30,137.912
1976-07-30,134.479
1976-08-31,130.606
1976-09-30,130.78
1976-10-29,125.536
1976-11-30,126.634
1976-12-31,136.749
1977-01-31,135.871
1977-02-28,131.505
1977-03-31,132.934
1977-04-29,142.85
1977-05-31,138.137
1977-06-30,143.292
1977-07-29,146.237
1977-08-31,150.495
1977-09-30,159.954
1977-10-31,163.331
1977-11-30,165.998
1977-12-30,174.287
1978-01-31,182.738
1978-02-28,188.989
1978-03-31,185.84
1978-04-28,171.117
1978-05-31,175.613
1978-06-30,181.288
1978-07-31,189.539
1978-08-31,194.624
1978-09-29,198.379
1978-10-31,201.021
1978-11-30,186.321
1978-12-29,204.824
1979-01-31,220.063
1979-02-28,217.64
1979-03-30,221.012
1979-04-30,223.855
1979-05-31,212.721
1979-06-29,217.599
1979-07-31,217.895
1979-08-31,223.588
1979-09-28,239.777
1979-10-31,217.07
1979-11-30,220.898
1979-12-31,218.814
1980-01-31,216.208
1980-02-29,200.932
1980-03-31,167.35
1980-04-30,193.093
1980-05-30,194.654
1980-06-30,211.84
1980-07-31,209.999
1980-08-29,210.901
1980-09-30,205.844
1980-10-31,199.411
1980-11-28,191.883
1980-12-31,191.415
1981-01-30,173.007
1981-02-27,174.739
1981-03-31,180.954
1981-04-30,169.274
1981-05-29,158.464
1981-06-30,165.952
1981-07-31,158.435
1981-08-31,152.436
1981-09-30,150.808
1981-10-30,162.145
1981-11-30,177.738
1981-12-31,176.004
1982-01-29,168.098
1982-02-26,165.036
1982-03-31,165.968
1982-04-30,165.813
1982-05-31,158.441
1982-06-30,146.28
1982-07-30,148.841
1982-08-31,149.73
1982-09-30,149.695
1982-10-29,153.8
1982-11-30,166.079
1982-12-31,189.231
1983-01-31,195.4
1983-02-28,198.981
1983-03-31,197.429
1983-04-29,211.137
1983-05-31,202.387
1983-06-30,208.982
1983-07-29,214.793
1983-08-31,201.566
1983-09-30,210.723
1983-10-31,218.948
1983-11-30,232.152
1983-12-30,242.753
1984-01-31,231.865
1984-02-29,233.857
1984-03-30,237.46
1984-04-30,236.791
1984-05-31,225.064
1984-06-29,220.678
1984-07-31,208.252
1984-08-31,223.91
1984-09-28,215.344
1984-10-31,219.268
1984-11-30,213.452
1984-12-31,212.819
1985-01-31,221.491
1985-02-28,208.209
1985-03-29,226.072
1985-04-30,231.24
1985-05-31,238.211
1985-06-28,256.211
1985-07-31,288.953
1985-08-30,302.929
1985-09-30,306.733
1985-10-31,345.779
1985-11-29,389.382
1985-12-31,438.032
1986-01-31,419.99
1986-02-28,445.479
1986-03-31,459.478
1986-04-30,469.339
1986-05-30,433.099
1986-06-30,455.929
1986-07-31,438.807
1986-08-29,502.818
1986-09-30,479.169
1986-10-31,485.543
1986-11-28,516.182
1986-12-31,520.514
1987-01-30,537.775
1987-02-27,521.015
1987-03-31,544.712
1987-04-30,544.22
1987-05-29,530.109
1987-06-30,559.438
1987-07-31,609.338
1987-08-31,626.14
1987-09-30,648.305
1987-10-30,546.208
1987-11-30,512.424
1987-12-31,525.14
1988-01-29,496.082
1988-02-29,528.326
1988-03-31,516.602
1988-04-29,516.617
1988-05-31,507.488
1988-06-30,515.168
1988-07-29,502.296
1988-08-31,492.884
1988-09-30,510.325
1988-10-31,566.958
1988-11-30,601.257
1988-12-30,603.312
1989-01-31,592.355
1989-02-28,601.973
1989-03-31,604.562
1989-04-28,616.332
1989-05-31,577.459
1989-06-30,652.884
1989-07-31,733.118
1989-08-31,744.721
1989-09-29,733.141
1989-10-31,686.307
1989-11-30,726.93
1989-12-29,748.253
1990-01-31,734.929
1990-02-28,743.926
1990-03-30,703.084
1990-04-30,692.777
1990-05-31,815.34
1990-06-29,834.2
1990-07-31,847.53
1990-08-31,753.171
1990-09-28,671.553
1990-10-31,695.398
1990-11-30,690.051
1990-12-31,690.293
1991-01-31,734.81
1991-02-28,787.776
1991-03-29,748.817
1991-04-30,751.555
1991-05-31,782.058
1991-06-28,710.629
1991-07-31,755.912
1991-08-30,767.357
1991-09-30,782.249
1991-10-31,772.497
1991-11-29,765.168
1991-12-31,826.841
1992-01-31,828.597
1992-02-28,841.447
1992-03-31,826.736
1992-04-30,834.396
1992-05-29,890.003
1992-06-30,895.045
1992-07-31,919.446
1992-08-31,939.532
1992-09-30,1012.54
1992-10-30,915.491
1992-11-30,840.503
1992-12-31,908.895
1993-01-29,936.305
1993-02-26,940.466
1993-03-31,992.558
1993-04-30,1024.627
1993-05-31,1092.051
1993-06-30,1102.166
1993-07-30,1158.257
1993-08-31,1228.227
1993-09-30,1261.329
1993-10-29,1344.609
1993-11-30,1352.727
1993-12-31,1450.734
1994-01-31,1548.679
1994-02-28,1439.841
1994-03-31,1414.117
1994-04-29,1403.509
1994-05-31,1428.369
1994-06-30,1425.905
1994-07-29,1449.87
1994-08-31,1456.012
1994-09-30,1463.868
1994-10-31,1491.748
1994-11-30,1444.79
1994-12-30,1453.988
1995-01-31,1431.274
1995-02-28,1479.928
1995-03-31,1574.861
1995-04-28,1603.949
1995-05-31,1719.543
1995-06-30,1767.178
1995-07-31,1750.413
1995-08-31,1670.953
1995-09-29,1886.189
1995-10-31,1991.542
1995-11-30,1973.395
1995-12-29,2024.779
1996-01-31,1886.617
1996-02-29,1945.432
1996-03-29,2128.231
1996-04-30,2043.261
1996-05-31,1952.92
1996-06-28,2089.633
1996-07-31,2052.624
1996-08-30,2135.252
1996-09-30,2096.043
1996-10-31,2079.367
1996-11-29,2121.49
1996-12-31,2047.697
1997-01-31,2029.886
1997-02-28,2095.175
1997-03-31,2231.729
1997-04-30,2298.129
1997-05-30,2515.317
1997-06-30,2678.943
1997-07-31,2675.091
1997-08-29,2437.319
1997-09-30,2796.341
1997-10-31,2763.833
1997-11-28,2885.704
1997-12-31,3082.602
1998-01-30,3179.879
1998-02-27,3489.551
1998-03-31,3765.702
1998-04-30,3902.606
1998-05-29,4138.474
1998-06-30,4209.328
1998-07-31,4585.534
1998-08-31,3589.5
1998-09-30,2928.069
1998-10-30,3543.907
1998-11-30,3770.428
1998-12-31,3815.237
1999-01-29,3638.117
1999-02-26,3576.796
1999-03-31,3657.771
1999-04-30,3830.465
1999-05-31,3556.476
1999-06-30,3518.22
1999-07-30,3697.0
1999-08-31,3678.275
1999-09-30,3664.038
1999-10-29,3749.792
1999-11-30,3656.072
1999-12-31,3861.258
2000-01-31,3413.439
2000-02-29,3267.181
2000-03-31,3673.363
2000-04-28,3461.687
2000-05-31,3754.403
2000-06-30,3943.454
2000-07-31,4046.931
2000-08-31,4017.303
2000-09-29,3698.865
2000-10-31,3750.412
2000-11-30,3839.405
2000-12-29,4252.865
2001-01-31,4277.475
2001-02-28,3947.5
2001-03-30,3470.284
2001-04-30,3574.121
2001-05-31,3520.788
2001-06-29,3386.559
2001-07-31,3397.967
2001-08-31,3374.538
2001-09-28,3070.072
2001-10-31,3100.084
2001-11-30,3258.381
2001-12-31,3301.732
2002-01-31,3013.413
2002-02-28,3002.045
2002-03-29,3281.088
2002-04-30,3282.317
2002-05-31,3450.422
2002-06-28,3226.437
