Date,SWITZERLAND VALUE Standard (Large+Mid Cap)
2001-01-01,5340.847
2001-01-02,5383.369
2001-01-03,5375.17
2001-01-04,5447.526
2001-01-05,5380.295
2001-01-08,5413.347
2001-01-09,5343.296
2001-01-10,5274.958
2001-01-11,5319.582
2001-01-12,5275.224
2001-01-15,5244.651
2001-01-16,5253.516
2001-01-17,5285.435
2001-01-18,5364.037
2001-01-19,5256.125
2001-01-22,5245.484
2001-01-23,5292.88
2001-01-24,5239.282
2001-01-25,5241.967
2001-01-26,5288.826
2001-01-29,5298.922
2001-01-30,5344.049
2001-01-31,5371.753
2001-02-01,5349.33
2001-02-02,5316.999
2001-02-05,5373.235
2001-02-06,5333.71
2001-02-07,5313.465
2001-02-08,5142.762
2001-02-09,5159.282
2001-02-12,5133.466
2001-02-13,5114.696
2001-02-14,5086.047
2001-02-15,5015.108
2001-02-16,4957.163
2001-02-19,4988.493
2001-02-20,4905.787
2001-02-21,4857.48
2001-02-22,4867.896
2001-02-23,4833.959
2001-02-26,4886.363
2001-02-27,4933.709
2001-02-28,4957.363
2001-03-01,4875.775
2001-03-02,4849.48
2001-03-05,4841.194
2001-03-06,4915.427
2001-03-07,4894.659
2001-03-08,4904.862
2001-03-09,4863.669
2001-03-12,4752.178
2001-03-13,4687.968
2001-03-14,4574.021
2001-03-15,4570.98
2001-03-16,4410.44
2001-03-19,4376.289
2001-03-20,4450.827
2001-03-21,4325.282
2001-03-22,3966.419
2001-03-23,4102.341
2001-03-26,4267.924
2001-03-27,4307.392
2001-03-28,4217.68
2001-03-29,4245.732
2001-03-30,4358.24
2001-04-02,4291.683
2001-04-03,4187.297
2001-04-04,4210.674
2001-04-05,4265.198
2001-04-06,4269.944
2001-04-09,4335.764
2001-04-10,4370.66
2001-04-11,4437.197
2001-04-12,4484.896
2001-04-13,4484.896
2001-04-16,4439.278
2001-04-17,4427.089
2001-04-18,4431.348
2001-04-19,4503.4
2001-04-20,4543.385
2001-04-23,4468.374
2001-04-24,4517.637
2001-04-25,4481.045
2001-04-26,4469.032
2001-04-27,4451.836
2001-04-30,4492.512
2001-05-01,4505.888
2001-05-02,4537.997
2001-05-03,4502.184
2001-05-04,4535.349
2001-05-07,4587.063
2001-05-08,4514.779
2001-05-09,4477.724
2001-05-10,4591.093
2001-05-11,4556.451
2001-05-14,4506.544
2001-05-15,4595.416
2001-05-16,4618.165
2001-05-17,4651.439
2001-05-18,4625.625
2001-05-21,4634.135
2001-05-22,4604.441
2001-05-23,4595.987
2001-05-24,4584.618
2001-05-25,4571.92
2001-05-28,4562.508
2001-05-29,4515.84
2001-05-30,4478.816
2001-05-31,4431.43
2001-06-01,4457.257
2001-06-04,4467.452
2001-06-05,4524.486
2001-06-06,4468.287
2001-06-07,4479.012
