Date,CANADA SMID VALUE SMID (Small+Mid Cap)
1998-05-29,300.274
1998-06-30,285.067
1998-07-31,258.347
1998-08-31,204.81
1998-09-30,217.309
1998-10-30,222.566
1998-11-30,223.217
1998-12-31,224.089
1999-01-29,224.61
1999-02-26,214.324
1999-03-31,224.011
1999-04-30,254.014
1999-05-31,243.519
1999-06-30,254.979
1999-07-30,253.719
1999-08-31,258.577
1999-09-30,259.661
1999-10-29,251.444
1999-11-30,242.455
1999-12-31,263.075
2000-01-31,252.376
2000-02-29,253.795
2000-03-31,249.687
2000-04-28,256.4
2000-05-31,259.34
2000-06-30,265.147
2000-07-31,259.798
2000-08-31,279.759
2000-09-29,274.591
2000-10-31,266.007
2000-11-30,262.757
2000-12-29,286.505
2001-01-31,284.17
2001-02-28,285.168
2001-03-30,275.646
2001-04-30,294.655
2001-05-31,308.445
2001-06-29,306.86
2001-07-31,306.064
2001-08-31,303.17
2001-09-28,272.718
2001-10-31,267.612
2001-11-30,285.606
2001-12-31,296.022
2002-01-31,301.775
2002-02-28,309.336
2002-03-29,326.909
2002-04-30,333.403
2002-05-31,353.596
2002-06-28,335.598
2002-07-31,294.949
2002-08-30,300.902
2002-09-30,282.178
2002-10-31,288.43
2002-11-29,301.604
2002-12-31,305.824
2003-01-31,311.827
2003-02-28,313.33
2003-03-31,303.318
2003-04-30,328.393
2003-05-30,351.426
2003-06-30,366.6
2003-07-31,374.761
2003-08-29,398.53
2003-09-30,401.874
2003-10-31,432.243
2003-11-28,446.568
2003-12-31,478.766
2004-01-30,465.067
2004-02-27,471.315
2004-03-31,472.155
2004-04-30,439.874
2004-05-31,452.845
2004-06-30,470.619
2004-07-30,466.429
2004-08-31,465.582
2004-09-30,497.988
2004-10-29,513.011
2004-11-30,558.648
2004-12-31,575.871
2005-01-31,553.935
2005-02-28,584.78
2005-03-31,584.476
2005-04-29,545.271
2005-05-31,556.222
2005-06-30,578.792
2005-07-29,608.33
2005-08-31,636.839
2005-09-30,671.353
2005-10-31,632.341
2005-11-30,668.689
2005-12-30,694.917
2006-01-31,747.596
2006-02-28,741.932
2006-03-31,758.554
2006-04-28,816.271
2006-05-31,802.669
2006-06-30,770.632
2006-07-31,768.71
2006-08-31,792.309
2006-09-29,763.356
2006-10-31,808.899
2006-11-30,816.931
2006-12-29,815.214
2007-01-31,820.326
2007-02-28,838.691
2007-03-30,861.919
2007-04-30,928.691
2007-05-31,1000.0
2007-06-29,1003.896
2007-07-31,981.179
2007-08-31,946.074
2007-09-28,1034.893
2007-10-31,1104.11
2007-11-30,969.629
2007-12-31,981.246
2008-01-31,919.742
2008-02-29,986.359
2008-03-31,934.923
2008-04-30,984.897
2008-05-30,1048.103
2008-06-30,1019.323
2008-07-31,948.809
2008-08-29,951.239
2008-09-30,791.186
2008-10-31,591.108
2008-11-28,554.239
2008-12-31,560.79
2009-01-30,556.68
2009-02-27,513.9
2009-03-31,541.341
2009-04-30,630.101
2009-05-29,745.383
2009-06-30,716.569
2009-07-31,822.962
2009-08-31,832.288
2009-09-30,914.713
2009-10-30,897.73
2009-11-30,966.146
2009-12-31,1015.8
2010-01-29,976.839
2010-02-26,1030.479
2010-03-31,1102.702
2010-04-30,1117.401
2010-05-31,1045.134
2010-06-30,995.143
2010-07-30,1078.585
2010-08-31,1060.244
2010-09-30,1164.344
2010-10-29,1221.492
2010-11-30,1236.366
2010-12-31,1350.786
2011-01-31,1359.877
2011-02-28,1419.781
2011-03-31,1431.493
2011-04-29,1456.806
2011-05-31,1428.368
2011-06-30,1384.369
2011-07-29,1391.477
2011-08-31,1296.157
2011-09-30,1112.582
2011-10-31,1255.034
2011-11-30,1236.384
2011-12-30,1245.206
2012-01-31,1308.855
2012-02-29,1376.307
2012-03-30,1340.446
2012-04-30,1328.798
2012-05-31,1180.744
2012-06-29,1205.362
2012-07-31,1257.447
2012-08-31,1301.317
2012-09-28,1350.382
2012-10-31,1329.057
2012-11-30,1324.002
2012-12-31,1355.683
2013-01-31,1385.354
2013-02-28,1339.329
2013-03-29,1385.37
2013-04-30,1395.193
2013-05-31,1389.97
2013-06-28,1304.875
2013-07-31,1377.639
2013-08-30,1353.256
2013-09-30,1406.769
2013-10-31,1430.365
2013-11-29,1390.906
2013-12-31,1409.536
2014-01-31,1379.736
2014-02-28,1450.702
2014-03-31,1446.513
2014-04-30,1501.515
2014-05-30,1514.493
2014-06-30,1632.677
2014-07-31,1586.477
2014-08-29,1624.786
2014-09-30,1447.776
2014-10-31,1320.482
2014-11-28,1295.393
2014-12-31,1243.241
2015-01-30,1131.588
2015-02-27,1181.518
2015-03-31,1118.57
2015-04-30,1235.998
2015-05-29,1159.488
2015-06-30,1097.178
2015-07-31,954.263
2015-08-31,900.907
2015-09-30,839.649
2015-10-30,907.116
2015-11-30,850.502
2015-12-31,787.095
2016-01-29,751.937
2016-02-29,842.859
2016-03-31,957.313
2016-04-29,1119.828
