Date,CANADA SMID VALUE SMID (Small+Mid Cap)
2001-01-01,277.494
2001-01-02,276.886
2001-01-03,274.107
2001-01-04,270.748
2001-01-05,270.224
2001-01-08,272.383
2001-01-09,271.581
2001-01-10,273.003
2001-01-11,274.889
2001-01-12,271.844
2001-01-15,272.155
2001-01-16,272.464
2001-01-17,270.72
2001-01-18,266.489
2001-01-19,267.829
2001-01-22,269.284
2001-01-23,270.447
2001-01-24,270.084
2001-01-25,271.565
2001-01-26,272.964
2001-01-29,273.776
2001-01-30,274.869
2001-01-31,275.258
2001-02-01,278.408
2001-02-02,280.557
2001-02-05,280.622
2001-02-06,279.558
2001-02-07,279.31
2001-02-08,279.715
2001-02-09,280.952
2001-02-12,279.576
2001-02-13,279.831
2001-02-14,278.622
2001-02-15,279.965
2001-02-16,279.464
2001-02-19,279.218
2001-02-20,276.506
2001-02-21,271.341
2001-02-22,272.928
2001-02-23,271.585
2001-02-26,275.093
2001-02-27,276.878
2001-02-28,276.359
2001-03-01,274.375
2001-03-02,274.409
2001-03-05,279.082
2001-03-06,281.93
2001-03-07,282.49
2001-03-08,284.054
2001-03-09,283.66
2001-03-12,281.017
2001-03-13,280.847
2001-03-14,277.873
2001-03-15,275.119
2001-03-16,271.661
2001-03-19,275.766
2001-03-20,274.979
2001-03-21,269.445
2001-03-22,265.362
2001-03-23,265.361
2001-03-26,268.539
2001-03-27,267.793
2001-03-28,264.018
2001-03-29,263.766
2001-03-30,267.264
2001-04-02,268.842
2001-04-03,264.993
2001-04-04,267.321
2001-04-05,267.34
2001-04-06,268.628
2001-04-09,271.342
2001-04-10,275.46
2001-04-11,274.944
2001-04-12,275.889
2001-04-13,275.901
2001-04-16,276.593
2001-04-17,278.677
2001-04-18,279.609
2001-04-19,281.735
2001-04-20,282.385
2001-04-23,280.853
2001-04-24,280.332
2001-04-25,283.147
2001-04-26,284.848
2001-04-27,285.442
2001-04-30,285.751
2001-05-01,286.116
2001-05-02,286.124
2001-05-03,283.931
2001-05-04,284.779
2001-05-07,284.831
2001-05-08,284.092
2001-05-09,286.969
2001-05-10,290.424
2001-05-11,288.291
2001-05-14,288.63
2001-05-15,291.478
2001-05-16,295.877
2001-05-17,299.279
2001-05-18,301.39
2001-05-21,301.873
2001-05-22,302.044
2001-05-23,300.442
2001-05-24,298.965
2001-05-25,297.747
