Date,CANADA SMID VALUE SMID (Small+Mid Cap)
1998-05-29,287.706
1998-06-30,273.249
1998-07-31,247.707
1998-08-31,196.438
1998-09-30,208.512
1998-10-30,213.616
1998-11-30,214.326
1998-12-31,215.265
1999-01-29,215.827
1999-02-26,205.988
1999-03-31,215.364
1999-04-30,244.271
1999-05-31,234.25
1999-06-30,245.399
1999-07-30,244.255
1999-08-31,249.012
1999-09-30,250.143
1999-10-29,242.302
1999-11-30,233.722
1999-12-31,253.716
2000-01-31,243.446
2000-02-29,244.905
2000-03-31,241.028
2000-04-28,247.556
2000-05-31,250.482
2000-06-30,256.202
2000-07-31,251.075
2000-08-31,270.517
2000-09-29,265.622
2000-10-31,257.364
2000-11-30,254.356
2000-12-29,277.461
2001-01-31,275.258
2001-02-28,276.359
2001-03-30,267.264
2001-04-30,285.751
2001-05-31,299.264
2001-06-29,297.92
2001-07-31,297.196
2001-08-31,294.528
2001-09-28,265.07
2001-10-31,260.18
2001-11-30,277.786
2001-12-31,288.065
2002-01-31,293.741
2002-02-28,301.249
2002-03-29,318.5
2002-04-30,324.896
2002-05-31,344.703
2002-06-28,327.374
2002-07-31,287.797
2002-08-30,293.772
2002-09-30,275.641
2002-10-31,281.828
2002-11-29,294.966
2002-12-31,299.281
2003-01-31,305.234
2003-02-28,306.878
2003-03-31,297.257
2003-04-30,321.913
2003-05-30,344.645
2003-06-30,359.677
2003-07-31,367.792
2003-08-29,391.304
2003-09-30,394.689
2003-10-31,424.616
2003-11-28,438.882
2003-12-31,470.693
2004-01-30,457.306
2004-02-27,463.643
2004-03-31,464.626
2004-04-30,432.924
2004-05-31,445.901
2004-06-30,463.55
2004-07-30,459.49
2004-08-31,458.89
2004-09-30,490.981
2004-10-29,505.86
2004-11-30,551.133
2004-12-31,568.296
2005-01-31,546.754
2005-02-28,577.415
2005-03-31,577.324
2005-04-29,538.679
2005-05-31,549.783
2005-06-30,572.229
2005-07-29,601.501
2005-08-31,630.036
2005-09-30,664.296
2005-10-31,625.778
2005-11-30,662.099
2005-12-30,688.246
2006-01-31,740.517
2006-02-28,735.167
2006-03-31,751.938
2006-04-28,809.246
2006-05-31,796.152
2006-06-30,764.736
2006-07-31,763.018
2006-08-31,786.913
2006-09-29,758.544
2006-10-31,804.074
2006-11-30,812.58
2006-12-29,811.752
2007-01-31,817.496
2007-02-28,836.451
2007-03-30,860.554
2007-04-30,927.849
2007-05-31,1000.0
2007-06-29,1004.904
2007-07-31,982.921
2007-08-31,948.825
2007-09-28,1038.972
2007-10-31,1109.345
2007-11-30,975.286
2007-12-31,988.167
2008-01-31,926.994
2008-02-29,995.072
2008-03-31,944.162
2008-04-30,995.282
2008-05-30,1060.185
2008-06-30,1032.127
2008-07-31,961.43
2008-08-29,964.849
2008-09-30,803.331
2008-10-31,600.828
2008-11-28,564.187
2008-12-31,571.724
2009-01-30,568.142
2009-02-27,524.984
2009-03-31,553.744
2009-04-30,644.898
2009-05-29,763.511
2009-06-30,734.552
2009-07-31,844.088
2009-08-31,854.304
2009-09-30,939.653
2009-10-30,922.734
2009-11-30,993.84
2009-12-31,1045.833
2010-01-29,1006.496
2010-02-26,1062.615
2010-03-31,1138.063
2010-04-30,1153.827
2010-05-31,1080.108
2010-06-30,1029.384
2010-07-30,1116.296
2010-08-31,1098.202
2010-09-30,1207.008
2010-10-29,1266.831
2010-11-30,1283.559
2010-12-31,1403.425
2011-01-31,1413.681
2011-02-28,1476.752
2011-03-31,1490.29
2011-04-29,1517.239
2011-05-31,1488.627
2011-06-30,1443.988
2011-07-29,1452.075
2011-08-31,1353.59
2011-09-30,1163.003
2011-10-31,1312.436
2011-11-30,1293.946
2011-12-30,1304.479
2012-01-31,1371.899
2012-02-29,1443.538
2012-03-30,1407.491
2012-04-30,1396.003
2012-05-31,1241.495
2012-06-29,1268.932
2012-07-31,1324.433
2012-08-31,1371.831
2012-09-28,1425.035
2012-10-31,1403.126
2012-11-30,1398.95
2012-12-31,1434.075
2013-01-31,1466.304
2013-02-28,1418.746
2013-03-29,1469.363
2013-04-30,1480.752
2013-05-31,1476.582
2013-06-28,1387.86
2013-07-31,1466.125
2013-08-30,1441.463
2013-09-30,1499.936
2013-10-31,1525.992
2013-11-29,1485.353
2013-12-31,1506.895
2014-01-31,1475.79
2014-02-28,1552.886
2014-03-31,1550.009
2014-04-30,1609.771
2014-05-30,1624.993
2014-06-30,1753.424
2014-07-31,1704.54
2014-08-29,1746.966
2014-09-30,1558.096
2014-10-31,1421.952
2014-11-28,1395.946
2014-12-31,1341.172
2015-01-30,1221.619
2015-02-27,1276.42
2015-03-31,1209.47
2015-04-30,1337.052
2015-05-29,1255.216
2015-06-30,1188.762
2015-07-31,1034.479
2015-08-31,977.599
2015-09-30,912.101
2015-10-30,985.926
2015-11-30,925.282
2015-12-31,857.321
2016-01-29,819.53
2016-02-29,919.304
2016-03-31,1045.145
2016-04-29,1223.132
2016-05-31,1151.458
2016-06-30,1216.533
2016-07-29,1270.453
2016-08-31,1230.811
2016-09-30,1268.199
2016-10-31,1221.91
2016-11-30,1260.671
2016-12-30,1289.618
2017-01-31,1358.368
2017-02-28,1312.671
2017-03-31,1322.326
2017-04-28,1273.106
2017-05-31,1266.227
2017-06-30,1314.548
2017-07-31,1360.271
2017-08-31,1359.801
2017-09-29,1394.697
2017-10-31,1363.602
2017-11-30,1374.556
2017-12-29,1434.255
2018-01-31,1428.81
2018-02-28,1301.012
2018-03-30,1288.344
2018-04-30,1346.928
2018-05-31,1367.57
2018-06-29,1363.084
2018-07-31,1374.922
2018-08-31,1345.291
2018-09-28,1335.06
2018-10-31,1224.617
2018-11-30,1176.996
2018-12-31,1080.622
2019-01-31,1218.415
2019-02-28,1251.626
2019-03-29,1240.964
2019-04-30,1234.015
2019-05-31,1163.254
