Date,WORLD MID VALUE Mid Cap
1994-05-31,249.762
1994-06-30,252.58
1994-07-29,256.362
1994-08-31,260.144
1994-09-30,253.074
1994-10-31,255.065
1994-11-30,241.474
1994-12-30,244.907
1995-01-31,242.273
1995-02-28,242.551
1995-03-31,252.431
1995-04-28,259.799
1995-05-31,258.486
1995-06-30,257.133
1995-07-31,268.685
1995-08-31,264.752
1995-09-29,266.485
1995-10-31,260.297
1995-11-30,267.62
1995-12-29,275.001
1996-01-31,279.141
1996-02-29,281.327
1996-03-29,286.619
1996-04-30,296.608
1996-05-31,293.869
1996-06-28,294.53
1996-07-31,284.386
1996-08-30,286.822
1996-09-30,293.215
1996-10-31,292.966
1996-11-29,303.345
1996-12-31,301.093
1997-01-31,297.788
1997-02-28,301.297
1997-03-31,294.171
1997-04-30,296.546
1997-05-30,317.038
1997-06-30,328.474
1997-07-31,336.04
1997-08-29,325.725
1997-09-30,339.091
1997-10-31,329.233
1997-11-28,327.4
1997-12-31,329.938
1998-01-30,334.871
1998-02-27,356.708
1998-03-31,373.214
1998-04-30,373.479
1998-05-29,368.297
1998-06-30,360.806
1998-07-31,351.908
1998-08-31,304.516
1998-09-30,308.213
1998-10-30,333.457
1998-11-30,343.547
1998-12-31,349.826
1999-01-29,341.861
1999-02-26,333.882
1999-03-31,344.817
1999-04-30,372.443
1999-05-31,367.487
1999-06-30,376.228
1999-07-30,378.201
1999-08-31,374.351
1999-09-30,366.986
1999-10-29,368.005
1999-11-30,363.292
1999-12-31,375.333
2000-01-31,358.254
2000-02-29,351.224
2000-03-31,373.73
2000-04-28,366.557
2000-05-31,369.562
2000-06-30,377.556
2000-07-31,372.695
2000-08-31,389.629
2000-09-29,381.278
2000-10-31,375.101
2000-11-30,371.125
2000-12-29,393.698
2001-01-31,398.005
2001-02-28,392.653
2001-03-30,375.255
2001-04-30,398.272
2001-05-31,404.66
2001-06-29,399.394
2001-07-31,395.554
2001-08-31,392.722
2001-09-28,350.023
2001-10-31,354.807
2001-11-30,371.148
2001-12-31,379.594
2002-01-31,377.614
2002-02-28,384.57
2002-03-29,405.979
2002-04-30,412.805
2002-05-31,419.659
2002-06-28,398.764
2002-07-31,362.415
2002-08-30,364.828
2002-09-30,329.277
2002-10-31,338.571
2002-11-29,355.733
2002-12-31,348.741
2003-01-31,340.061
2003-02-28,333.788
2003-03-31,332.359
2003-04-30,359.656
2003-05-30,386.926
2003-06-30,391.022
2003-07-31,401.994
2003-08-29,415.087
2003-09-30,420.268
2003-10-31,449.118
2003-11-28,456.736
2003-12-31,484.977
2004-01-30,493.531
2004-02-27,511.086
2004-03-31,517.852
2004-04-30,502.554
2004-05-31,511.779
2004-06-30,531.868
2004-07-30,521.519
2004-08-31,527.659
2004-09-30,543.997
2004-10-29,558.692
2004-11-30,597.713
2004-12-31,623.522
2005-01-31,614.43
2005-02-28,638.376
2005-03-31,631.976
2005-04-29,613.979
2005-05-31,626.909
2005-06-30,641.178
2005-07-29,668.266
2005-08-31,673.1
2005-09-30,693.911
2005-10-31,673.986
2005-11-30,699.418
2005-12-30,720.401
2006-01-31,755.042
2006-02-28,758.013
2006-03-31,778.189
2006-04-28,801.034
2006-05-31,780.276
