Date,WORLD MID VALUE Mid Cap
1994-05-31,237.555
1994-06-30,240.308
1994-07-29,243.959
1994-08-31,247.568
1994-09-30,240.88
1994-10-31,242.804
1994-11-30,229.876
1994-12-30,233.164
1995-01-31,230.672
1995-02-28,230.948
1995-03-31,240.424
1995-04-28,247.482
1995-05-31,246.295
1995-06-30,245.084
1995-07-31,256.168
1995-08-31,252.432
1995-09-29,254.13
1995-10-31,248.255
1995-11-30,255.252
1995-12-29,262.311
1996-01-31,266.282
1996-02-29,268.392
1996-03-29,273.502
1996-04-30,283.1
1996-05-31,280.576
1996-06-28,281.294
1996-07-31,271.685
1996-08-30,274.032
1996-09-30,280.183
1996-10-31,279.965
1996-11-29,289.898
1996-12-31,287.765
1997-01-31,284.624
1997-02-28,288.002
1997-03-31,281.241
1997-04-30,283.598
1997-05-30,303.295
1997-06-30,314.346
1997-07-31,321.65
1997-08-29,311.788
1997-09-30,324.635
1997-10-31,315.214
1997-11-28,313.473
1997-12-31,315.926
1998-01-30,320.668
1998-02-27,341.594
1998-03-31,357.483
1998-04-30,357.833
1998-05-29,352.976
1998-06-30,345.92
1998-07-31,337.444
1998-08-31,292.018
1998-09-30,295.603
1998-10-30,319.833
1998-11-30,329.53
1998-12-31,335.563
1999-01-29,327.955
1999-02-26,320.367
1999-03-31,330.989
1999-04-30,357.591
1999-05-31,352.945
1999-06-30,361.451
1999-07-30,363.394
1999-08-31,359.781
1999-09-30,352.805
1999-10-29,353.823
1999-11-30,349.369
1999-12-31,361.015
2000-01-31,344.625
2000-02-29,337.938
2000-03-31,359.752
2000-04-28,352.925
2000-05-31,355.946
2000-06-30,363.756
2000-07-31,359.157
2000-08-31,375.568
2000-09-29,367.643
2000-10-31,361.742
2000-11-30,357.991
2000-12-29,379.848
2001-01-31,384.059
2001-02-28,378.976
2001-03-30,362.362
2001-04-30,384.761
2001-05-31,391.181
2001-06-29,386.258
2001-07-31,382.617
2001-08-31,379.982
2001-09-28,338.803
2001-10-31,343.491
2001-11-30,359.405
2001-12-31,367.681
2002-01-31,365.827
2002-02-28,372.655
2002-03-29,393.593
2002-04-30,400.35
2002-05-31,407.249
2002-06-28,387.174
2002-07-31,351.944
2002-08-30,354.464
2002-09-30,320.139
2002-10-31,329.278
2002-11-29,346.152
2002-12-31,339.558
2003-01-31,331.177
2003-02-28,325.27
2003-03-31,324.189
2003-04-30,351.028
2003-05-30,377.992
2003-06-30,382.273
2003-07-31,393.104
2003-08-29,406.104
2003-09-30,411.42
2003-10-31,439.742
2003-11-28,447.412
2003-12-31,475.347
2004-01-30,483.829
2004-02-27,501.27
2004-03-31,508.275
2004-04-30,493.544
2004-05-31,503.003
2004-06-30,523.047
2004-07-30,512.987
2004-08-31,519.309
2004-09-30,535.655
2004-10-29,550.235
2004-11-30,588.957
2004-12-31,614.702
2005-01-31,605.86
2005-02-28,629.778
2005-03-31,623.871
2005-04-29,606.476
2005-05-31,619.73
2005-06-30,634.213
2005-07-29,661.155
2005-08-31,666.235
2005-09-30,687.26
2005-10-31,667.662
2005-11-30,693.191
2005-12-30,714.412
2006-01-31,748.919
2006-02-28,752.147
2006-03-31,772.695
2006-04-28,795.728
2006-05-31,775.721
2006-06-30,780.909
2006-07-31,785.678
2006-08-31,805.427
2006-09-29,815.713
2006-10-31,848.489
2006-11-30,877.612
2006-12-29,893.366
2007-01-31,916.442
2007-02-28,925.172
2007-03-30,940.02
2007-04-30,972.807
2007-05-31,1000.0
2007-06-29,975.63
2007-07-31,934.711
2007-08-31,925.48
2007-09-28,943.46
2007-10-31,956.515
2007-11-30,898.399
2007-12-31,870.964
2008-01-31,826.652
2008-02-29,818.108
2008-03-31,817.008
2008-04-30,845.19
2008-05-30,866.435
2008-06-30,774.276
2008-07-31,755.414
2008-08-29,758.599
2008-09-30,680.135
2008-10-31,527.76
2008-11-28,503.942
2008-12-31,531.808
2009-01-30,484.11
2009-02-27,423.909
2009-03-31,459.306
2009-04-30,535.023
2009-05-29,581.524
2009-06-30,578.413
2009-07-31,637.962
2009-08-31,681.737
2009-09-30,716.537
2009-10-30,691.022
2009-11-30,710.728
2009-12-31,730.79
2010-01-29,710.994
2010-02-26,725.38
2010-03-31,777.453
2010-04-30,791.339
2010-05-31,717.255
2010-06-30,692.68
2010-07-30,750.692
2010-08-31,719.659
2010-09-30,788.569
2010-10-29,815.539
2010-11-30,796.796
2010-12-31,864.678
2011-01-31,887.416
2011-02-28,917.614
