Date,WORLD MID VALUE Mid Cap
2001-01-01,393.714
2001-01-02,389.643
2001-01-03,393.206
2001-01-04,391.062
2001-01-05,389.177
2001-01-08,389.172
2001-01-09,386.173
2001-01-10,387.811
2001-01-11,387.681
2001-01-12,386.56
2001-01-15,385.648
2001-01-16,386.98
2001-01-17,387.431
2001-01-18,389.211
2001-01-19,386.877
2001-01-22,388.358
2001-01-23,391.844
2001-01-24,390.14
2001-01-25,391.775
2001-01-26,391.384
2001-01-29,394.174
2001-01-30,396.883
2001-01-31,398.005
2001-02-01,400.798
2001-02-02,397.584
2001-02-05,398.21
2001-02-06,397.852
2001-02-07,397.433
2001-02-08,395.776
2001-02-09,395.763
2001-02-12,398.526
2001-02-13,398.029
2001-02-14,398.122
2001-02-15,398.362
2001-02-16,396.885
2001-02-19,396.98
2001-02-20,394.599
2001-02-21,391.604
2001-02-22,389.988
2001-02-23,389.555
2001-02-26,394.04
2001-02-27,394.964
2001-02-28,392.653
2001-03-01,392.396
2001-03-02,393.528
2001-03-05,394.183
2001-03-06,397.708
2001-03-07,398.427
2001-03-08,400.041
2001-03-09,396.979
2001-03-12,388.504
2001-03-13,384.368
2001-03-14,376.918
2001-03-15,378.67
2001-03-16,372.668
2001-03-19,375.745
2001-03-20,373.987
2001-03-21,370.776
2001-03-22,361.316
2001-03-23,368.025
2001-03-26,375.321
2001-03-27,378.543
2001-03-28,376.093
2001-03-29,374.239
2001-03-30,375.255
2001-04-02,372.163
2001-04-03,368.184
2001-04-04,370.467
2001-04-05,377.112
2001-04-06,374.453
2001-04-09,375.947
2001-04-10,379.742
2001-04-11,378.881
2001-04-12,382.621
2001-04-13,382.71
2001-04-16,380.849
2001-04-17,382.182
2001-04-18,388.917
2001-04-19,391.967
2001-04-20,391.584
2001-04-23,389.939
2001-04-24,389.497
2001-04-25,392.445
2001-04-26,395.343
2001-04-27,396.853
2001-04-30,398.272
2001-05-01,401.931
2001-05-02,401.788
2001-05-03,399.624
2001-05-04,401.865
2001-05-07,401.291
2001-05-08,399.916
2001-05-09,398.875
2001-05-10,400.43
2001-05-11,399.088
2001-05-14,397.677
2001-05-15,400.443
2001-05-16,404.812
2001-05-17,408.494
2001-05-18,408.937
2001-05-21,412.859
2001-05-22,412.371
2001-05-23,409.792
2001-05-24,409.072
2001-05-25,407.192
2001-05-28,407.162
2001-05-29,406.203
2001-05-30,402.819
2001-05-31,404.66
2001-06-01,405.163
2001-06-04,406.153
2001-06-05,407.351
2001-06-06,405.291
2001-06-07,406.877
2001-06-08,406.159
2001-06-11,402.635
2001-06-12,400.575
2001-06-13,400.964
2001-06-14,396.798
2001-06-15,395.956
2001-06-18,394.746
2001-06-19,394.321
2001-06-20,393.766
2001-06-21,395.427
2001-06-22,395.264
2001-06-25,394.437
2001-06-26,395.093
2001-06-27,395.462
2001-06-28,395.648
2001-06-29,399.394
2001-07-02,399.808
2001-07-03,400.249
2001-07-04,399.187
2001-07-05,396.45
2001-07-06,391.827
2001-07-09,391.627
2001-07-10,391.043
2001-07-11,390.27
2001-07-12,393.759
2001-07-13,394.282
2001-07-16,392.552
2001-07-17,392.407
2001-07-18,393.51
2001-07-19,394.476
2001-07-20,393.398
2001-07-23,389.531
2001-07-24,386.474
2001-07-25,389.115
2001-07-26,391.505
2001-07-27,392.514
2001-07-30,392.423
2001-07-31,395.554
2001-08-01,398.479
2001-08-02,402.099
2001-08-03,401.199
2001-08-06,398.713
2001-08-07,398.683
2001-08-08,395.828
2001-08-09,394.597
2001-08-10,397.426
2001-08-13,397.712
2001-08-14,399.613
2001-08-15,402.138
2001-08-16,401.79
2001-08-17,399.738
2001-08-20,398.513
2001-08-21,399.23
2001-08-22,401.038
2001-08-23,399.765
2001-08-24,400.936
2001-08-27,399.762
2001-08-28,398.035
2001-08-29,396.294
2001-08-30,392.035
2001-08-31,392.722
2001-09-03,390.516
2001-09-04,390.767
2001-09-05,387.54
2001-09-06,383.805
2001-09-07,379.773
2001-09-10,374.786
2001-09-11,371.618
2001-09-12,366.306
2001-09-13,368.331
2001-09-14,368.427
2001-09-17,353.486
2001-09-18,351.385
2001-09-19,348.433
2001-09-20,338.427
2001-09-21,329.797
2001-09-24,337.118
2001-09-25,341.223
2001-09-26,340.637
2001-09-27,342.333
2001-09-28,350.023
2001-10-01,349.326
2001-10-02,352.227
2001-10-03,356.159
2001-10-04,358.619
2001-10-05,358.225
2001-10-08,355.448
2001-10-09,354.246
2001-10-10,356.289
2001-10-11,361.209
2001-10-12,360.743
2001-10-15,360.339
2001-10-16,363.252
2001-10-17,360.957
2001-10-18,356.363
2001-10-19,355.752
2001-10-22,356.676
2001-10-23,357.286
2001-10-24,357.552
2001-10-25,359.669
2001-10-26,361.203
2001-10-29,358.436
2001-10-30,354.658
2001-10-31,354.807
2001-11-01,357.639
2001-11-02,358.255
2001-11-05,362.146
2001-11-06,365.1
2001-11-07,365.001
2001-11-08,365.654
2001-11-09,364.666
2001-11-12,362.995
2001-11-13,365.138
2001-11-14,366.518
2001-11-15,367.591
2001-11-16,367.966
2001-11-19,370.368
2001-11-20,370.024
2001-11-21,367.931
2001-11-22,368.32
2001-11-23,369.764
2001-11-26,372.304
2001-11-27,371.508
2001-11-28,368.613
2001-11-29,369.953
2001-11-30,371.148
2001-12-03,368.194
2001-12-04,371.594
2001-12-05,377.433
2001-12-06,379.001
2001-12-07,377.889
2001-12-10,373.271
2001-12-11,371.984
2001-12-12,372.539
2001-12-13,368.991
2001-12-14,369.352
2001-12-17,370.401
2001-12-18,373.095
2001-12-19,372.74
2001-12-20,372.552
2001-12-21,372.522
2001-12-24,372.828
2001-12-25,372.704
2001-12-26,373.604
2001-12-27,377.176
2001-12-28,379.422
2001-12-31,379.594
2002-01-01,379.594
2002-01-02,379.698
2002-01-03,382.214
2002-01-04,385.47
2002-01-07,385.268
2002-01-08,381.798
2002-01-09,380.955
2002-01-10,379.805
2002-01-11,378.073
2002-01-14,376.274
2002-01-15,376.447
