Date,WORLD MID VALUE Mid Cap
2001-01-01,379.863
2001-01-02,375.935
2001-01-03,379.375
2001-01-04,377.307
2001-01-05,375.489
2001-01-08,375.488
2001-01-09,372.595
2001-01-10,374.176
2001-01-11,374.056
2001-01-12,372.975
2001-01-15,372.096
2001-01-16,373.382
2001-01-17,373.819
2001-01-18,375.541
2001-01-19,373.289
2001-01-22,374.717
2001-01-23,378.082
2001-01-24,376.443
2001-01-25,378.026
2001-01-26,377.65
2001-01-29,380.348
2001-01-30,382.968
2001-01-31,384.059
2001-02-01,386.758
2001-02-02,383.658
2001-02-05,384.273
2001-02-06,383.927
2001-02-07,383.527
2001-02-08,381.929
2001-02-09,381.918
2001-02-12,384.594
2001-02-13,384.12
2001-02-14,384.217
2001-02-15,384.453
2001-02-16,383.027
2001-02-19,383.119
2001-02-20,380.821
2001-02-21,377.936
2001-02-22,376.383
2001-02-23,375.968
2001-02-26,380.298
2001-02-27,381.199
2001-02-28,378.976
2001-03-01,378.736
2001-03-02,379.828
2001-03-05,380.465
2001-03-06,383.872
2001-03-07,384.581
2001-03-08,386.144
2001-03-09,383.19
2001-03-12,375.01
2001-03-13,371.027
2001-03-14,363.839
2001-03-15,365.533
2001-03-16,359.748
2001-03-19,362.718
2001-03-20,361.025
2001-03-21,357.935
2001-03-22,348.807
2001-03-23,355.284
2001-03-26,362.33
2001-03-27,365.505
2001-03-28,363.154
2001-03-29,361.37
2001-03-30,362.362
2001-04-02,359.378
2001-04-03,355.536
2001-04-04,357.745
2001-04-05,364.17
2001-04-06,361.63
2001-04-09,363.077
2001-04-10,366.751
2001-04-11,365.946
2001-04-12,369.562
2001-04-13,369.647
2001-04-16,367.85
2001-04-17,369.138
2001-04-18,375.644
2001-04-19,378.591
2001-04-20,378.228
2001-04-23,376.64
2001-04-24,376.22
2001-04-25,379.084
2001-04-26,381.899
2001-04-27,383.39
2001-04-30,384.761
2001-05-01,388.296
2001-05-02,388.172
2001-05-03,386.097
2001-05-04,388.281
2001-05-07,387.744
2001-05-08,386.418
2001-05-09,385.415
2001-05-10,386.924
2001-05-11,385.637
2001-05-14,384.274
2001-05-15,386.956
2001-05-16,391.19
2001-05-17,394.763
2001-05-18,395.192
2001-05-21,399.028
2001-05-22,398.563
2001-05-23,396.084
2001-05-24,395.391
2001-05-25,393.591
2001-05-28,393.562
2001-05-29,392.64
2001-05-30,389.387
2001-05-31,391.181
2001-06-01,391.684
2001-06-04,392.648
2001-06-05,393.81
2001-06-06,391.832
2001-06-07,393.372
2001-06-08,392.688
2001-06-11,389.28
2001-06-12,387.295
2001-06-13,387.684
2001-06-14,383.671
2001-06-15,382.862
2001-06-18,381.704
2001-06-19,381.302
2001-06-20,380.777
2001-06-21,382.39
2001-06-22,382.233
2001-06-25,381.435
2001-06-26,382.077
2001-06-27,382.446
2001-06-28,382.633
2001-06-29,386.258
2001-07-02,386.668
2001-07-03,387.097
2001-07-04,386.075
2001-07-05,383.428
2001-07-06,378.965
2001-07-09,378.773
2001-07-10,378.209
2001-07-11,377.463
2001-07-12,380.839
2001-07-13,381.352
2001-07-16,379.682
2001-07-17,379.544
2001-07-18,380.612
2001-07-19,381.548
2001-07-20,380.505
2001-07-23,376.769
2001-07-24,373.812
2001-07-25,376.371
2001-07-26,378.688
2001-07-27,379.674
2001-07-30,379.587
2001-07-31,382.617
2001-08-01,385.45
2001-08-02,388.955
2001-08-03,388.092
2001-08-06,385.689
2001-08-07,385.662
2001-08-08,382.907
2001-08-09,381.72
2001-08-10,384.457
2001-08-13,384.745
2001-08-14,386.588
2001-08-15,389.037
2001-08-16,388.706
2001-08-17,386.723
2001-08-20,385.538
2001-08-21,386.232
2001-08-22,387.986
2001-08-23,386.759
2001-08-24,387.892
2001-08-27,386.76
2001-08-28,385.095
2001-08-29,383.426
2001-08-30,379.312
2001-08-31,379.982
2001-09-03,377.853
2001-09-04,378.098
2001-09-05,374.984
2001-09-06,371.381
2001-09-07,367.488
2001-09-10,362.668
2001-09-11,359.602
2001-09-12,354.462
2001-09-13,356.421
2001-09-14,356.516
2001-09-17,342.077
2001-09-18,340.052
2001-09-19,337.197
2001-09-20,327.515
2001-09-21,319.163
2001-09-24,326.251
2001-09-25,330.264
2001-09-26,329.715
2001-09-27,331.36
2001-09-28,338.803
2001-10-01,338.129
2001-10-02,340.936
2001-10-03,344.749
2001-10-04,347.13
2001-10-05,346.759
2001-10-08,344.072
2001-10-09,342.909
2001-10-10,344.888
2001-10-11,349.651
2001-10-12,349.203
2001-10-15,348.813
2001-10-16,351.634
2001-10-17,349.412
2001-10-18,344.972
2001-10-19,344.38
2001-10-22,345.274
2001-10-23,345.866
2001-10-24,346.126
2001-10-25,348.179
2001-10-26,349.667
2001-10-29,346.997
2001-10-30,343.344
2001-10-31,343.491
2001-11-01,346.236
2001-11-02,346.839
2001-11-05,350.613
2001-11-06,353.473
2001-11-07,353.388
2001-11-08,354.024
2001-11-09,353.07
2001-11-12,351.452
2001-11-13,353.53
2001-11-14,354.867
2001-11-15,355.916
2001-11-16,356.281
2001-11-19,358.61
2001-11-20,358.281
2001-11-21,356.259
2001-11-22,356.635
2001-11-23,358.033
2001-11-26,360.5
2001-11-27,359.729
2001-11-28,356.937
2001-11-29,358.247
2001-11-30,359.405
2001-12-03,356.546
2001-12-04,359.838
2001-12-05,365.503
2001-12-06,367.034
2001-12-07,365.959
2001-12-10,361.489
2001-12-11,360.243
2001-12-12,360.796
2001-12-13,357.372
2001-12-14,357.722
2001-12-17,358.741
2001-12-18,361.357
2001-12-19,361.017
2001-12-20,360.836
2001-12-21,360.814
2001-12-24,361.112
2001-12-25,360.999
2001-12-26,361.871
2001-12-27,365.338
2001-12-28,367.514
2001-12-31,367.681
2002-01-01,367.681
2002-01-02,367.784
2002-01-03,370.221
2002-01-04,373.377
2002-01-07,373.182
2002-01-08,369.831
2002-01-09,369.017
2002-01-10,367.908
2002-01-11,366.233
2002-01-14,364.491
2002-01-15,364.66
2002-01-16,361.343
2002-01-17,362.743
2002-01-18,363.245
2002-01-21,363.597
2002-01-22,361.856
2002-01-23,363.717
2002-01-24,365.193
2002-01-25,364.55
2002-01-28,365.721
2002-01-29,361.9
2002-01-30,362.438
2002-01-31,365.827
2002-02-01,365.017
2002-02-04,361.753
2002-02-05,359.399
2002-02-06,357.562
2002-02-07,357.448
2002-02-08,360.01
2002-02-11,364.087
2002-02-12,365.368
2002-02-13,367.969
2002-02-14,368.644
2002-02-15,368.285
2002-02-18,367.88
2002-02-19,362.968
2002-02-20,363.805
2002-02-21,364.934
2002-02-22,366.352
2002-02-25,368.133
2002-02-26,369.604
2002-02-27,372.154
2002-02-28,372.655
2002-03-01,376.595
2002-03-04,385.197
2002-03-05,384.207
2002-03-06,388.537
2002-03-07,391.842
2002-03-08,392.094
2002-03-11,393.454
2002-03-12,390.849
2002-03-13,389.021
2002-03-14,391.034
2002-03-15,393.812
2002-03-18,393.926
2002-03-19,396.446
2002-03-20,394.266
2002-03-21,393.692
2002-03-22,392.202
2002-03-25,389.005
2002-03-26,390.405
2002-03-27,393.311
2002-03-28,394.342
2002-03-29,393.593
2002-04-01,393.265
2002-04-02,392.99
2002-04-03,391.63
2002-04-04,392.492
2002-04-05,393.847
2002-04-08,393.826
2002-04-09,394.252
2002-04-10,399.316
2002-04-11,396.237
2002-04-12,396.403
2002-04-15,395.989
2002-04-16,399.461
2002-04-17,401.285
2002-04-18,401.762
2002-04-19,402.27
2002-04-22,400.869
