Date,DENMARK SMALL GROWTH Small Cap
1994-05-31,178.649
1994-06-30,182.585
1994-07-29,188.409
1994-08-31,178.795
1994-09-30,181.285
1994-10-31,183.557
1994-11-30,173.104
1994-12-30,177.156
1995-01-31,187.273
1995-02-28,197.184
1995-03-31,200.45
1995-04-28,200.751
1995-05-31,203.482
1995-06-30,207.318
1995-07-31,218.453
1995-08-31,203.666
1995-09-29,207.371
1995-10-31,203.765
1995-11-30,196.671
1995-12-29,199.036
1996-01-31,200.881
1996-02-29,205.145
1996-03-29,207.575
1996-04-30,205.97
1996-05-31,203.275
1996-06-28,207.269
1996-07-31,210.103
1996-08-30,216.964
1996-09-30,217.904
1996-10-31,229.28
1996-11-29,234.338
1996-12-31,237.074
1997-01-31,241.224
1997-02-28,236.702
1997-03-31,236.97
1997-04-30,228.88
1997-05-30,237.318
1997-06-30,234.323
1997-07-31,232.059
1997-08-29,225.165
1997-09-30,235.908
1997-10-31,233.326
1997-11-28,225.251
1997-12-31,224.202
1998-01-30,224.871
1998-02-27,231.086
1998-03-31,241.049
1998-04-30,245.797
1998-05-29,249.129
1998-06-30,248.9
1998-07-31,250.922
1998-08-31,230.542
1998-09-30,231.195
1998-10-30,231.096
1998-11-30,228.12
1998-12-31,233.48
1999-01-29,231.972
1999-02-26,216.188
1999-03-31,214.22
1999-04-30,214.853
1999-05-31,216.086
1999-06-30,226.871
1999-07-30,237.754
1999-08-31,240.107
1999-09-30,237.003
1999-10-29,233.534
1999-11-30,240.952
1999-12-31,248.52
2000-01-31,277.573
2000-02-29,304.773
2000-03-31,337.802
2000-04-28,324.023
2000-05-31,328.245
2000-06-30,331.475
2000-07-31,333.161
2000-08-31,333.728
2000-09-29,346.817
2000-10-31,342.243
2000-11-30,306.151
2000-12-29,326.246
2001-01-31,365.069
2001-02-28,337.602
2001-03-30,289.538
2001-04-30,314.588
2001-05-31,314.853
2001-06-29,290.065
2001-07-31,292.313
2001-08-31,271.676
2001-09-28,242.323
2001-10-31,255.436
2001-11-30,256.674
2001-12-31,260.288
2002-01-31,261.7
2002-02-28,272.905
2002-03-29,289.292
2002-04-30,298.362
2002-05-31,320.202
2002-06-28,308.468
2002-07-31,270.156
2002-08-30,255.09
2002-09-30,227.2
2002-10-31,225.915
2002-11-29,211.634
2002-12-31,218.298
2003-01-31,198.282
2003-02-28,178.523
2003-03-31,191.732
2003-04-30,213.109
2003-05-30,237.725
2003-06-30,237.757
2003-07-31,249.915
2003-08-29,279.952
2003-09-30,292.403
2003-10-31,320.061
2003-11-28,306.927
2003-12-31,332.856
2004-01-30,359.251
2004-02-27,376.248
2004-03-31,365.629
2004-04-30,365.677
2004-05-31,370.218
2004-06-30,389.503
2004-07-30,378.727
2004-08-31,377.806
2004-09-30,402.532
2004-10-29,402.497
2004-11-30,432.228
2004-12-31,456.508
2005-01-31,449.976
2005-02-28,470.432
2005-03-31,473.799
2005-04-29,464.672
2005-05-31,481.008
2005-06-30,501.468
2005-07-29,521.37
2005-08-31,550.764
2005-09-30,576.09
2005-10-31,553.281
2005-11-30,539.953
2005-12-30,590.996
2006-01-31,642.819
2006-02-28,665.897
2006-03-31,728.379
2006-04-28,796.834
2006-05-31,766.656
2006-06-30,732.948
2006-07-31,740.197
