Date,DENMARK SMALL GROWTH Small Cap
2001-01-01,317.616
2001-01-02,323.129
2001-01-03,318.93
2001-01-04,322.225
2001-01-05,324.84
2001-01-08,327.068
2001-01-09,323.382
2001-01-10,323.708
2001-01-11,329.206
2001-01-12,331.904
2001-01-15,333.796
2001-01-16,334.718
2001-01-17,338.023
2001-01-18,346.283
2001-01-19,348.615
2001-01-22,351.388
2001-01-23,352.646
2001-01-24,348.584
2001-01-25,347.767
2001-01-26,347.659
2001-01-29,345.165
2001-01-30,352.504
2001-01-31,355.411
2001-02-01,358.765
2001-02-02,358.01
2001-02-05,356.801
2001-02-06,355.974
2001-02-07,352.925
2001-02-08,350.907
2001-02-09,349.445
2001-02-12,347.918
2001-02-13,340.379
2001-02-14,335.067
2001-02-15,337.393
2001-02-16,339.687
2001-02-19,338.945
2001-02-20,337.04
2001-02-21,336.449
2001-02-22,329.545
2001-02-23,323.654
2001-02-26,322.579
2001-02-27,330.088
2001-02-28,328.671
2001-03-01,328.876
2001-03-02,328.958
2001-03-05,324.822
2001-03-06,329.026
2001-03-07,328.188
2001-03-08,328.067
2001-03-09,325.289
2001-03-12,314.095
2001-03-13,303.102
2001-03-14,300.975
2001-03-15,300.425
2001-03-16,297.029
2001-03-19,290.259
2001-03-20,293.153
2001-03-21,289.484
2001-03-22,278.971
2001-03-23,282.829
2001-03-26,285.724
2001-03-27,285.939
2001-03-28,281.393
2001-03-29,280.522
2001-03-30,281.878
2001-04-02,275.756
2001-04-03,272.867
2001-04-04,269.193
2001-04-05,271.456
2001-04-06,270.671
2001-04-09,272.517
2001-04-10,275.647
2001-04-11,279.027
2001-04-12,279.933
2001-04-13,279.933
2001-04-16,280.3
2001-04-17,275.357
2001-04-18,279.796
2001-04-19,291.223
2001-04-20,295.273
2001-04-23,289.121
2001-04-24,288.754
2001-04-25,297.855
2001-04-26,303.003
2001-04-27,300.59
2001-04-30,309.523
2001-05-01,311.341
2001-05-02,314.566
2001-05-03,315.202
2001-05-04,319.72
2001-05-07,319.135
2001-05-08,316.957
2001-05-09,314.361
2001-05-10,318.169
2001-05-11,315.629
2001-05-14,314.188
2001-05-15,316.347
2001-05-16,318.873
2001-05-17,325.168
2001-05-18,322.903
2001-05-21,323.796
2001-05-22,320.699
2001-05-23,316.691
2001-05-24,315.522
2001-05-25,315.859
2001-05-28,316.098
2001-05-29,315.134
2001-05-30,311.446
2001-05-31,309.905
2001-06-01,308.929
2001-06-04,309.357
2001-06-05,309.475
2001-06-06,309.562
2001-06-07,310.057
2001-06-08,307.676
2001-06-11,304.584
2001-06-12,303.521
2001-06-13,306.231
2001-06-14,307.193
2001-06-15,304.754
2001-06-18,303.199
2001-06-19,297.75
2001-06-20,292.628
2001-06-21,293.786
2001-06-22,290.581
2001-06-25,292.525
2001-06-26,288.024
2001-06-27,288.967
2001-06-28,285.475
2001-06-29,285.532
2001-07-02,286.907
2001-07-03,288.467
2001-07-04,286.431
2001-07-05,281.013
2001-07-06,282.682
2001-07-09,281.773
2001-07-10,283.922
2001-07-11,283.973
2001-07-12,283.257
2001-07-13,283.522
2001-07-16,281.485
2001-07-17,278.006
2001-07-18,282.269
2001-07-19,285.018
2001-07-20,285.284
2001-07-23,283.522
2001-07-24,284.106
2001-07-25,285.179
2001-07-26,286.794
2001-07-27,285.867
2001-07-30,287.26
2001-07-31,287.75
2001-08-01,295.236
2001-08-02,295.044
2001-08-03,295.722
2001-08-06,292.629
2001-08-07,289.78
2001-08-08,286.376
2001-08-09,284.376
2001-08-10,283.049
2001-08-13,281.221
2001-08-14,283.593
2001-08-15,285.019
2001-08-16,284.706
2001-08-17,286.572
2001-08-20,283.77
2001-08-21,282.816
2001-08-22,281.946
2001-08-23,277.059
2001-08-24,277.974
2001-08-27,278.84
2001-08-28,276.623
2001-08-29,274.485
2001-08-30,269.411
2001-08-31,267.435
2001-09-03,265.76
2001-09-04,261.617
2001-09-05,258.306
2001-09-06,258.968
2001-09-07,260.205
2001-09-10,257.285
2001-09-11,251.757
2001-09-12,251.985
2001-09-13,249.503
2001-09-14,251.973
2001-09-17,244.551
2001-09-18,240.767
2001-09-19,241.077
2001-09-20,228.511
2001-09-21,217.673
2001-09-24,223.573
2001-09-25,227.113
2001-09-26,232.939
2001-09-27,234.193
2001-09-28,238.649
2001-10-01,235.062
2001-10-02,234.547
2001-10-03,239.453
2001-10-04,240.245
2001-10-05,239.513
2001-10-08,240.81
2001-10-09,246.483
2001-10-10,247.776
2001-10-11,252.066
2001-10-12,249.844
2001-10-15,250.383
2001-10-16,254.674
2001-10-17,254.976
2001-10-18,248.74
2001-10-19,246.713
2001-10-22,249.694
2001-10-23,251.885
2001-10-24,253.729
2001-10-25,252.831
2001-10-26,253.835
2001-10-29,255.247
2001-10-30,252.764
2001-10-31,251.563
2001-11-01,251.442
2001-11-02,251.624
2001-11-05,253.572
2001-11-06,253.778
2001-11-07,255.249
2001-11-08,256.797
2001-11-09,260.417
2001-11-12,252.121
2001-11-13,251.842
2001-11-14,251.705
2001-11-15,249.178
2001-11-16,252.313
2001-11-19,250.148
2001-11-20,247.536
2001-11-21,244.089
2001-11-22,247.192
2001-11-23,248.022
2001-11-26,251.497
2001-11-27,253.056
2001-11-28,251.162
2001-11-29,250.633
2001-11-30,252.782
2001-12-03,249.2
2001-12-04,249.572
2001-12-05,253.536
2001-12-06,252.61
2001-12-07,254.007
2001-12-10,251.629
2001-12-11,251.761
2001-12-12,251.352
2001-12-13,249.67
2001-12-14,250.666
2001-12-17,248.628
2001-12-18,251.249
2001-12-19,250.942
2001-12-20,254.476
2001-12-21,251.006
2001-12-24,248.568
2001-12-25,248.568
2001-12-26,248.775
2001-12-27,253.112
2001-12-28,253.96
2001-12-31,256.447
2002-01-01,256.447
2002-01-02,263.194
2002-01-03,262.201
2002-01-04,263.081
2002-01-07,264.405
2002-01-08,263.291
2002-01-09,266.026
