Date,SWITZERLAND IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,241.144
1994-06-30,245.209
1994-07-29,236.556
1994-08-31,248.247
1994-09-30,245.663
1994-10-31,247.984
1994-11-30,244.132
1994-12-30,252.753
1995-01-31,249.151
1995-02-28,265.423
1995-03-31,281.234
1995-04-28,286.381
1995-05-31,296.607
1995-06-30,308.741
1995-07-31,314.857
1995-08-31,311.497
1995-09-29,331.698
1995-10-31,341.158
1995-11-30,347.988
1995-12-29,361.526
1996-01-31,344.028
1996-02-29,358.771
1996-03-29,386.573
1996-04-30,373.358
1996-05-31,362.838
1996-06-28,378.7
1996-07-31,368.451
1996-08-30,385.837
1996-09-30,377.794
1996-10-31,375.545
1996-11-29,376.87
1996-12-31,369.152
1997-01-31,380.468
1997-02-28,381.028
1997-03-31,402.086
1997-04-30,414.144
1997-05-30,440.237
1997-06-30,476.765
1997-07-31,487.301
1997-08-29,445.076
1997-09-30,484.191
1997-10-31,480.738
1997-11-28,488.521
1997-12-31,512.312
1998-01-30,532.894
1998-02-27,576.831
1998-03-31,577.929
1998-04-30,567.612
1998-05-29,593.598
1998-06-30,580.935
1998-07-31,608.687
1998-08-31,533.522
1998-09-30,517.846
1998-10-30,579.881
1998-11-30,603.55
1998-12-31,627.605
1999-01-29,607.776
1999-02-26,584.612
1999-03-31,564.467
1999-04-30,552.031
1999-05-31,533.942
1999-06-30,524.598
1999-07-30,543.95
1999-08-31,549.419
1999-09-30,549.438
1999-10-29,554.953
1999-11-30,556.925
1999-12-31,568.532
2000-01-31,524.394
2000-02-29,524.977
2000-03-31,551.681
2000-04-28,533.17
2000-05-31,554.71
2000-06-30,572.305
2000-07-31,578.62
2000-08-31,570.241
2000-09-29,555.496
2000-10-31,540.882
2000-11-30,554.853
2000-12-29,596.971
2001-01-31,565.291
2001-02-28,534.977
2001-03-30,487.18
2001-04-30,491.134
2001-05-31,491.286
2001-06-29,471.609
2001-07-31,464.263
2001-08-31,458.269
2001-09-28,437.289
2001-10-31,438.551
2001-11-30,444.48
2001-12-31,457.752
2002-01-31,437.554
2002-02-28,449.568
2002-03-29,474.681
2002-04-30,489.196
2002-05-31,504.699
2002-06-28,488.009
2002-07-31,438.839
2002-08-30,432.754
2002-09-30,408.622
2002-10-31,414.015
2002-11-29,416.56
2002-12-31,409.128
2003-01-31,396.236
2003-02-28,376.756
2003-03-31,374.188
2003-04-30,413.656
2003-05-30,436.874
2003-06-30,435.597
