Date,SWITZERLAND IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,573.967
2001-01-02,578.501
2001-01-03,575.531
2001-01-04,568.556
2001-01-05,560.71
2001-01-08,558.645
2001-01-09,552.738
2001-01-10,543.948
2001-01-11,547.055
2001-01-12,542.95
2001-01-15,541.203
2001-01-16,541.212
2001-01-17,541.232
2001-01-18,549.438
2001-01-19,537.842
2001-01-22,536.559
2001-01-23,537.646
2001-01-24,532.666
2001-01-25,536.617
2001-01-26,541.183
2001-01-29,540.502
2001-01-30,543.293
2001-01-31,543.508
2001-02-01,543.296
2001-02-02,539.126
2001-02-05,546.418
2001-02-06,543.032
2001-02-07,542.329
2001-02-08,533.511
2001-02-09,535.925
2001-02-12,537.955
2001-02-13,532.308
2001-02-14,524.837
2001-02-15,519.274
2001-02-16,517.5
2001-02-19,520.159
2001-02-20,511.456
2001-02-21,511.995
2001-02-22,508.351
2001-02-23,506.3
2001-02-26,509.026
2001-02-27,514.224
2001-02-28,514.366
2001-03-01,508.696
2001-03-02,510.708
2001-03-05,510.259
2001-03-06,512.389
2001-03-07,510.657
2001-03-08,508.945
2001-03-09,506.324
2001-03-12,497.654
2001-03-13,490.484
2001-03-14,477.529
2001-03-15,477.143
2001-03-16,463.628
2001-03-19,460.071
2001-03-20,462.277
2001-03-21,454.821
2001-03-22,430.327
2001-03-23,443.903
2001-03-26,459.272
2001-03-27,462.112
2001-03-28,457.995
2001-03-29,460.154
2001-03-30,469.024
2001-04-02,458.001
2001-04-03,451.07
2001-04-04,456.635
2001-04-05,462.817
2001-04-06,464.045
2001-04-09,469.953
2001-04-10,469.552
2001-04-11,473.163
2001-04-12,478.52
2001-04-13,478.52
2001-04-16,473.653
2001-04-17,471.924
2001-04-18,471.749
2001-04-19,476.567
2001-04-20,479.553
2001-04-23,473.398
2001-04-24,476.522
2001-04-25,474.179
2001-04-26,476.191
2001-04-27,472.571
2001-04-30,474.0
2001-05-01,475.412
2001-05-02,479.472
2001-05-03,478.712
2001-05-04,483.565
2001-05-07,489.506
2001-05-08,487.955
2001-05-09,483.987
2001-05-10,490.482
2001-05-11,490.635
2001-05-14,487.782
2001-05-15,492.156
2001-05-16,495.766
2001-05-17,496.556
2001-05-18,495.571
2001-05-21,495.793
2001-05-22,493.392
2001-05-23,490.703
2001-05-24,489.489
2001-05-25,487.049
2001-05-28,488.491
2001-05-29,482.637
2001-05-30,481.732
2001-05-31,474.376
2001-06-01,476.275
2001-06-04,477.364
2001-06-05,482.1
2001-06-06,480.045
2001-06-07,481.883
2001-06-08,477.912
2001-06-11,472.697
2001-06-12,471.302
2001-06-13,474.829
2001-06-14,473.488
2001-06-15,472.632
2001-06-18,470.78
2001-06-19,463.368
2001-06-20,458.823
2001-06-21,460.785
2001-06-22,455.385
2001-06-25,457.654
2001-06-26,451.15
2001-06-27,446.097
2001-06-28,450.024
2001-06-29,455.063
2001-07-02,458.998
2001-07-03,454.883
2001-07-04,451.1
2001-07-05,443.594
2001-07-06,441.199
2001-07-09,442.843
2001-07-10,438.643
2001-07-11,440.112
2001-07-12,443.397
2001-07-13,443.698
2001-07-16,444.5
2001-07-17,440.372
2001-07-18,451.697
2001-07-19,458.953
2001-07-20,457.002
2001-07-23,452.704
2001-07-24,445.141
2001-07-25,441.38
2001-07-26,438.994
2001-07-27,442.554
2001-07-30,445.328
2001-07-31,447.977
2001-08-01,455.671
2001-08-02,458.655
2001-08-03,457.492
2001-08-06,456.216
2001-08-07,453.824
2001-08-08,452.047
2001-08-09,448.399
2001-08-10,443.155
2001-08-13,450.638
2001-08-14,453.22
2001-08-15,456.682
2001-08-16,453.701
2001-08-17,452.253
2001-08-20,447.916
2001-08-21,454.7
2001-08-22,452.881
2001-08-23,448.11
2001-08-24,451.806
2001-08-27,453.745
2001-08-28,448.79
2001-08-29,443.457
2001-08-30,438.778
2001-08-31,442.531
2001-09-03,433.706
2001-09-04,432.704
2001-09-05,428.905
2001-09-06,424.759
2001-09-07,420.935
2001-09-10,410.663
2001-09-11,391.841
2001-09-12,404.313
