Date,SWITZERLAND IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,226.726
1994-06-30,230.901
1994-07-29,222.794
1994-08-31,233.804
1994-09-30,231.376
1994-10-31,233.565
1994-11-30,229.988
1994-12-30,238.109
1995-01-31,234.719
1995-02-28,250.049
1995-03-31,264.945
1995-04-28,269.84
1995-05-31,279.843
1995-06-30,292.044
1995-07-31,297.837
1995-08-31,294.679
1995-09-29,313.809
1995-10-31,322.758
1995-11-30,329.22
1995-12-29,342.114
1996-01-31,325.555
1996-02-29,339.513
1996-03-29,365.824
1996-04-30,353.406
1996-05-31,343.477
1996-06-28,359.222
1996-07-31,349.523
1996-08-30,366.048
1996-09-30,358.417
1996-10-31,356.315
1996-11-29,357.679
1996-12-31,350.353
1997-01-31,361.095
1997-02-28,361.637
1997-03-31,381.632
1997-04-30,393.668
1997-05-30,418.722
1997-06-30,453.933
1997-07-31,464.101
1997-08-29,423.886
1997-09-30,461.139
1997-10-31,457.887
1997-11-28,465.3
1997-12-31,487.96
1998-01-30,507.565
1998-02-27,549.415
1998-03-31,550.46
1998-04-30,541.377
1998-05-29,566.437
1998-06-30,554.954
1998-07-31,581.653
1998-08-31,509.827
1998-09-30,494.846
1998-10-30,554.126
1998-11-30,576.744
1998-12-31,599.731
1999-01-29,580.782
1999-02-26,558.648
1999-03-31,539.397
1999-04-30,528.297
1999-05-31,511.055
1999-06-30,502.772
1999-07-30,521.489
1999-08-31,526.733
1999-09-30,526.751
1999-10-29,532.038
1999-11-30,533.93
1999-12-31,545.057
2000-01-31,502.741
2000-02-29,503.304
2000-03-31,528.905
2000-04-28,511.637
2000-05-31,532.942
2000-06-30,550.04
2000-07-31,556.323
2000-08-31,548.268
2000-09-29,534.09
2000-10-31,520.04
2000-11-30,533.472
2000-12-29,573.967
2001-01-31,543.508
2001-02-28,514.366
2001-03-30,469.024
2001-04-30,474.0
2001-05-31,474.376
2001-06-29,455.063
2001-07-31,447.977
2001-08-31,442.531
2001-09-28,422.271
2001-10-31,423.129
2001-11-30,428.849
2001-12-31,441.656
2002-01-31,422.168
2002-02-28,433.762
2002-03-29,458.604
2002-04-30,473.441
2002-05-31,488.79
2002-06-28,472.642
2002-07-31,425.022
2002-08-30,419.131
2002-09-30,395.828
2002-10-31,401.052
2002-11-29,403.517
2002-12-31,396.32
2003-01-31,383.831
2003-02-28,364.963
2003-03-31,363.203
2003-04-30,403.057
2003-05-30,425.955
2003-06-30,424.733
2003-07-31,439.303
2003-08-29,435.465
2003-09-30,457.711
2003-10-31,466.742
2003-11-28,492.6
2003-12-31,529.214
