Date,SWITZERLAND IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,596.971
2001-01-02,601.687
2001-01-03,598.597
2001-01-04,591.342
2001-01-05,583.182
2001-01-08,581.034
2001-01-09,574.891
2001-01-10,565.749
2001-01-11,568.98
2001-01-12,564.71
2001-01-15,562.893
2001-01-16,562.902
2001-01-17,562.924
2001-01-18,571.458
2001-01-19,559.398
2001-01-22,558.063
2001-01-23,559.194
2001-01-24,554.014
2001-01-25,558.124
2001-01-26,562.873
2001-01-29,562.164
2001-01-30,565.067
2001-01-31,565.291
2001-02-01,565.07
2001-02-02,560.733
2001-02-05,568.318
2001-02-06,564.795
2001-02-07,564.064
2001-02-08,554.893
2001-02-09,557.404
2001-02-12,559.516
2001-02-13,553.642
2001-02-14,545.871
2001-02-15,540.085
2001-02-16,538.24
2001-02-19,541.006
2001-02-20,531.954
2001-02-21,532.515
2001-02-22,528.724
2001-02-23,526.592
2001-02-26,529.423
2001-02-27,534.83
2001-02-28,534.977
2001-03-01,529.08
2001-03-02,531.173
2001-03-05,530.706
2001-03-06,532.921
2001-03-07,531.119
2001-03-08,529.339
2001-03-09,526.614
2001-03-12,517.596
2001-03-13,510.139
2001-03-14,496.664
2001-03-15,496.262
2001-03-16,482.206
2001-03-19,478.506
2001-03-20,480.801
2001-03-21,473.047
2001-03-22,447.571
2001-03-23,461.691
2001-03-26,477.45
2001-03-27,480.0
2001-03-28,475.724
2001-03-29,477.966
2001-03-30,487.18
2001-04-02,475.73
2001-04-03,468.531
2001-04-04,474.307
2001-04-05,480.728
2001-04-06,481.752
2001-04-09,487.885
2001-04-10,487.469
2001-04-11,490.673
2001-04-12,496.222
2001-04-13,496.222
2001-04-16,491.175
2001-04-17,488.982
2001-04-18,488.801
2001-04-19,493.793
2001-04-20,496.887
2001-04-23,490.51
2001-04-24,493.746
2001-04-25,491.319
2001-04-26,493.404
2001-04-27,489.653
2001-04-30,491.134
2001-05-01,492.596
2001-05-02,496.783
2001-05-03,495.991
2001-05-04,501.02
2001-05-07,507.176
2001-05-08,505.568
2001-05-09,501.45
2001-05-10,508.178
2001-05-11,508.337
2001-05-14,505.269
2001-05-15,509.793
2001-05-16,513.509
2001-05-17,514.324
2001-05-18,513.28
2001-05-21,513.478
2001-05-22,510.99
2001-05-23,508.203
2001-05-24,506.945
2001-05-25,504.416
2001-05-28,505.904
2001-05-29,499.841
2001-05-30,498.903
2001-05-31,491.286
2001-06-01,493.252
2001-06-04,494.38
2001-06-05,499.285
2001-06-06,497.0
2001-06-07,498.888
2001-06-08,494.778
2001-06-11,489.378
2001-06-12,487.934
2001-06-13,491.585
2001-06-14,490.197
2001-06-15,489.311
2001-06-18,487.393
2001-06-19,479.721
2001-06-20,474.969
2001-06-21,477.0
2001-06-22,471.41
2001-06-25,474.294
2001-06-26,467.553
2001-06-27,462.316
2001-06-28,466.387
2001-06-29,471.609
2001-07-02,475.685
2001-07-03,471.42
2001-07-04,467.499
2001-07-05,459.721
2001-07-06,457.239
2001-07-09,458.943
2001-07-10,454.589
2001-07-11,456.113
2001-07-12,459.516
2001-07-13,459.828
2001-07-16,460.659
2001-07-17,456.381
2001-07-18,468.118
2001-07-19,475.638
2001-07-20,473.616
2001-07-23,469.162
2001-07-24,461.324
2001-07-25,457.426
2001-07-26,454.954
2001-07-27,458.643
2001-07-30,461.517
2001-07-31,464.263
2001-08-01,472.237
2001-08-02,475.329
2001-08-03,474.124
2001-08-06,472.801
2001-08-07,470.323
2001-08-08,468.481
2001-08-09,464.7
2001-08-10,459.266
2001-08-13,467.021
2001-08-14,469.697
2001-08-15,472.924
2001-08-16,469.836
2001-08-17,468.337
2001-08-20,463.846
2001-08-21,470.871
2001-08-22,468.987
2001-08-23,464.047
2001-08-24,467.874
2001-08-27,469.882
2001-08-28,464.751
2001-08-29,459.228
2001-08-30,454.382
2001-08-31,458.269
2001-09-03,449.13
2001-09-04,448.092
2001-09-05,444.158
2001-09-06,439.865
2001-09-07,435.905
2001-09-10,425.268
2001-09-11,405.776
2001-09-12,418.691
2001-09-13,424.139
2001-09-14,414.262
2001-09-17,425.034
2001-09-18,423.746
2001-09-19,423.883
2001-09-20,405.933
2001-09-21,388.332
2001-09-24,403.456
2001-09-25,418.206
2001-09-26,419.5
