Date,CANADA SMID CAP SMID (Small+Mid Cap)
2001-01-01,287.748
2001-01-02,285.09
2001-01-03,285.384
2001-01-04,281.866
2001-01-05,279.654
2001-01-08,281.51
2001-01-09,281.156
2001-01-10,282.142
2001-01-11,286.662
2001-01-12,285.84
2001-01-15,286.744
2001-01-16,287.162
2001-01-17,286.549
2001-01-18,284.019
2001-01-19,286.549
2001-01-22,287.389
2001-01-23,288.917
2001-01-24,288.691
2001-01-25,288.627
2001-01-26,288.958
2001-01-29,290.558
2001-01-30,292.723
2001-01-31,293.43
2001-02-01,296.602
2001-02-02,296.711
2001-02-05,296.127
2001-02-06,295.466
2001-02-07,293.402
2001-02-08,294.748
2001-02-09,294.557
2001-02-12,293.56
2001-02-13,293.365
2001-02-14,291.208
2001-02-15,292.262
2001-02-16,287.945
2001-02-19,288.152
2001-02-20,283.939
2001-02-21,276.774
2001-02-22,277.266
2001-02-23,276.141
2001-02-26,280.026
2001-02-27,280.135
2001-02-28,278.243
2001-03-01,275.514
2001-03-02,275.017
2001-03-05,277.27
2001-03-06,281.187
2001-03-07,282.878
2001-03-08,283.024
2001-03-09,282.052
2001-03-12,277.051
2001-03-13,276.288
2001-03-14,273.189
2001-03-15,270.983
2001-03-16,265.893
2001-03-19,270.549
2001-03-20,268.737
2001-03-21,262.939
2001-03-22,258.369
2001-03-23,260.2
2001-03-26,264.407
2001-03-27,264.886
2001-03-28,260.076
2001-03-29,258.76
2001-03-30,262.201
2001-04-02,262.164
2001-04-03,255.829
2001-04-04,257.782
2001-04-05,260.319
2001-04-06,261.107
2001-04-09,263.678
2001-04-10,269.747
2001-04-11,269.607
2001-04-12,271.644
2001-04-13,271.651
2001-04-16,271.782
2001-04-17,274.858
2001-04-18,278.56
2001-04-19,282.157
2001-04-20,281.967
2001-04-23,278.862
2001-04-24,277.936
2001-04-25,281.055
2001-04-26,282.887
2001-04-27,284.071
2001-04-30,285.659
2001-05-01,285.925
2001-05-02,287.313
2001-05-03,285.697
2001-05-04,286.962
2001-05-07,287.172
2001-05-08,286.456
2001-05-09,288.072
2001-05-10,290.776
2001-05-11,288.026
2001-05-14,287.66
2001-05-15,289.731
2001-05-16,294.137
2001-05-17,297.398
2001-05-18,299.294
2001-05-21,299.74
2001-05-22,301.755
2001-05-23,299.587
2001-05-24,298.319
2001-05-25,296.915
2001-05-28,297.412
2001-05-29,299.07
2001-05-30,294.588
2001-05-31,295.497
2001-06-01,300.862
2001-06-04,301.036
2001-06-05,300.367
2001-06-06,299.476
2001-06-07,299.829
2001-06-08,298.045
2001-06-11,298.249
2001-06-12,298.278
2001-06-13,298.054
2001-06-14,295.384
2001-06-15,292.523
2001-06-18,289.287
2001-06-19,287.776
2001-06-20,287.355
2001-06-21,286.974
2001-06-22,285.527
2001-06-25,285.592
2001-06-26,285.238
2001-06-27,283.874
2001-06-28,285.138
2001-06-29,289.9
2001-07-02,290.334
2001-07-03,291.773
2001-07-04,290.769
2001-07-05,290.328
2001-07-06,287.538
2001-07-09,285.795
2001-07-10,284.18
2001-07-11,282.345
2001-07-12,284.405
2001-07-13,285.027
2001-07-16,282.519
2001-07-17,283.709
2001-07-18,283.384
2001-07-19,282.927
2001-07-20,282.297
2001-07-23,280.194
2001-07-24,280.02
2001-07-25,280.814
2001-07-26,279.987
2001-07-27,281.687
2001-07-30,282.03
2001-07-31,283.361
2001-08-01,284.463
2001-08-02,286.218
2001-08-03,286.566
2001-08-06,288.047
2001-08-07,285.682
2001-08-08,284.454
2001-08-09,284.322
2001-08-10,282.298
2001-08-13,282.235
2001-08-14,281.203
2001-08-15,281.98
2001-08-16,282.327
2001-08-17,279.267
2001-08-20,278.402
2001-08-21,278.413
2001-08-22,279.029
2001-08-23,279.133
2001-08-24,281.492
2001-08-27,280.823
2001-08-28,278.974
2001-08-29,276.913
2001-08-30,273.373
2001-08-31,272.775
2001-09-03,272.546
2001-09-04,274.525
2001-09-05,274.289
2001-09-06,271.748
2001-09-07,268.935
2001-09-10,266.671
2001-09-11,254.484
2001-09-12,256.701
2001-09-13,257.789
2001-09-14,248.846
2001-09-17,252.979
2001-09-18,251.475
2001-09-19,245.716
2001-09-20,239.547
2001-09-21,239.327
2001-09-24,243.071
2001-09-25,242.988
2001-09-26,242.163
2001-09-27,241.713
2001-09-28,246.694
2001-10-01,246.526
2001-10-02,247.401
2001-10-03,248.581
2001-10-04,250.422
2001-10-05,251.261
2001-10-08,251.631
2001-10-09,251.414
2001-10-10,252.025
2001-10-11,257.228
2001-10-12,256.248
2001-10-15,255.429
2001-10-16,258.168
2001-10-17,256.114
2001-10-18,252.957
2001-10-19,253.244
2001-10-22,252.668
2001-10-23,254.517
2001-10-24,255.197
2001-10-25,255.79
2001-10-26,256.407
2001-10-29,253.978
2001-10-30,250.98
2001-10-31,251.274
2001-11-01,252.442
2001-11-02,252.628
2001-11-05,254.327
2001-11-06,255.044
2001-11-07,257.209
2001-11-08,255.932
2001-11-09,255.838
2001-11-12,256.826
2001-11-13,260.036
2001-11-14,261.507
2001-11-15,261.264
2001-11-16,262.755
2001-11-19,266.13
2001-11-20,264.038
2001-11-21,262.224
2001-11-22,263.319
2001-11-23,264.922
2001-11-26,265.928
2001-11-27,266.586
2001-11-28,265.428
2001-11-29,268.085
2001-11-30,269.934
2001-12-03,268.784
2001-12-04,270.916
2001-12-05,277.24
2001-12-06,275.894
2001-12-07,277.794
2001-12-10,275.733
2001-12-11,274.856
2001-12-12,278.683
2001-12-13,275.769
2001-12-14,275.518
2001-12-17,278.493
2001-12-18,278.599
2001-12-19,275.637
2001-12-20,275.83
2001-12-21,277.127
2001-12-24,276.209
2001-12-25,276.254
2001-12-26,276.171
2001-12-27,280.379
2001-12-28,281.632
2001-12-31,282.734
2002-01-01,282.717
2002-01-02,281.5
2002-01-03,285.087
2002-01-04,287.135
2002-01-07,287.888
2002-01-08,286.74
2002-01-09,288.242
2002-01-10,286.679
2002-01-11,286.286
2002-01-14,283.578
2002-01-15,285.211
2002-01-16,284.036
2002-01-17,282.09
2002-01-18,280.338
2002-01-21,279.355
2002-01-22,280.148
2002-01-23,280.788
2002-01-24,283.742
2002-01-25,281.719
2002-01-28,281.113
2002-01-29,284.766
2002-01-30,283.096
2002-01-31,285.81
2002-02-01,288.444
2002-02-04,285.454
2002-02-05,283.09
2002-02-06,280.381
2002-02-07,279.857
2002-02-08,282.115
2002-02-11,285.17
2002-02-12,284.349
2002-02-13,286.637
2002-02-14,287.596
2002-02-15,286.089
2002-02-18,286.439
2002-02-19,286.113
2002-02-20,283.733
2002-02-21,283.167
2002-02-22,282.527
2002-02-25,283.958
2002-02-26,284.081
2002-02-27,285.734
2002-02-28,287.785
2002-03-01,291.205
2002-03-04,297.707
2002-03-05,298.259
2002-03-06,302.138
2002-03-07,303.808
2002-03-08,302.619
2002-03-11,302.838
2002-03-12,302.326
2002-03-13,300.939
2002-03-14,300.06
2002-03-15,302.469
2002-03-18,304.01
2002-03-19,306.678
2002-03-20,307.041
2002-03-21,304.619
2002-03-22,306.923
2002-03-25,302.605
2002-03-26,301.414
2002-03-27,304.65
2002-03-28,303.549
2002-03-29,303.497
2002-04-01,303.979
2002-04-02,304.806
2002-04-03,304.224
2002-04-04,303.488
2002-04-05,304.187
2002-04-08,303.948
2002-04-09,302.962
2002-04-10,305.272
2002-04-11,303.247
2002-04-12,304.784
2002-04-15,304.807
2002-04-16,309.676
2002-04-17,312.638
2002-04-18,311.018
2002-04-19,312.375
2002-04-22,310.272
2002-04-23,308.053
2002-04-24,308.132
2002-04-25,306.968
2002-04-26,306.887
2002-04-29,304.15
2002-04-30,305.125
2002-05-01,306.34
2002-05-02,307.227
2002-05-03,307.0
2002-05-06,305.721
2002-05-07,304.937
2002-05-08,308.908
2002-05-09,307.015
2002-05-10,307.507
2002-05-13,311.395
2002-05-14,313.423
2002-05-15,314.398
2002-05-16,315.635
2002-05-17,318.044
2002-05-20,318.423
2002-05-21,319.359
2002-05-22,318.829
2002-05-23,320.531
2002-05-24,319.851
2002-05-27,319.672
2002-05-28,320.839
2002-05-29,319.766
2002-05-30,317.093
2002-05-31,321.312
2002-06-03,320.063
2002-06-04,320.669
2002-06-05,318.649
2002-06-06,318.535
2002-06-07,315.41
2002-06-10,312.184
2002-06-11,310.924
2002-06-12,309.499
2002-06-13,306.019
2002-06-14,301.972
2002-06-17,304.075
2002-06-18,304.552
2002-06-19,302.293
2002-06-20,303.79
2002-06-21,302.877
2002-06-24,305.656
2002-06-25,302.702
2002-06-26,299.859
2002-06-27,301.746
2002-06-28,301.569
2002-07-01,302.082
2002-07-02,295.909
2002-07-03,294.557
2002-07-04,294.124
2002-07-05,298.501
2002-07-08,300.363
2002-07-09,300.666
2002-07-10,295.676
2002-07-11,291.336
2002-07-12,289.422
2002-07-15,282.085
2002-07-16,283.369
2002-07-17,282.598
2002-07-18,281.061
2002-07-19,276.888
2002-07-22,267.173
2002-07-23,254.688
2002-07-24,259.067
2002-07-25,255.585
2002-07-26,254.554
2002-07-29,263.314
2002-07-30,265.39
2002-07-31,264.948
2002-08-01,263.266
2002-08-02,262.05
2002-08-05,261.102
2002-08-06,259.061
2002-08-07,259.183
2002-08-08,263.352
2002-08-09,266.739
2002-08-12,264.647
2002-08-13,264.3
2002-08-14,265.248
2002-08-15,267.043
2002-08-16,267.6
2002-08-19,269.801
2002-08-20,268.256
2002-08-21,270.772
2002-08-22,275.826
2002-08-23,272.147
2002-08-26,274.811
2002-08-27,274.281
2002-08-28,270.949
2002-08-29,271.009
2002-08-30,271.322
2002-09-02,272.115
2002-09-03,267.706
2002-09-04,267.743
2002-09-05,265.626
2002-09-06,265.702
2002-09-09,267.537
2002-09-10,267.638
2002-09-11,269.803
2002-09-12,265.904
2002-09-13,264.311
2002-09-16,264.906
2002-09-17,261.276
2002-09-18,257.466
2002-09-19,255.714
2002-09-20,255.739
2002-09-23,249.305
2002-09-24,248.616
2002-09-25,252.738
2002-09-26,254.94
2002-09-27,253.695
2002-09-30,253.375
2002-10-01,254.987
2002-10-02,251.639
2002-10-03,248.917
2002-10-04,245.305
2002-10-07,240.819
2002-10-08,239.763
2002-10-09,234.408
2002-10-10,236.696
2002-10-11,242.982
2002-10-14,243.458
2002-10-15,250.938
2002-10-16,249.079
2002-10-17,255.658
2002-10-18,256.76
2002-10-21,259.759
2002-10-22,258.984
2002-10-23,260.442
2002-10-24,260.25
2002-10-25,262.046
2002-10-28,264.839
2002-10-29,260.755
2002-10-30,261.461
2002-10-31,260.122
2002-11-01,264.016
2002-11-04,267.172
2002-11-05,266.938
2002-11-06,268.247
2002-11-07,267.195
2002-11-08,265.373
2002-11-11,261.611
2002-11-12,261.481
2002-11-13,258.758
2002-11-14,261.405
2002-11-15,264.235
2002-11-18,263.728
2002-11-19,261.614
2002-11-20,263.553
2002-11-21,266.403
2002-11-22,264.819
2002-11-25,266.844
2002-11-26,264.863
2002-11-27,268.743
2002-11-28,270.229
2002-11-29,272.103
2002-12-02,274.173
2002-12-03,272.951
2002-12-04,272.048
2002-12-05,269.294
2002-12-06,269.897
2002-12-09,269.623
2002-12-10,272.065
2002-12-11,272.39
2002-12-12,275.299
2002-12-13,275.261
2002-12-16,277.627
2002-12-17,276.093
2002-12-18,274.612
2002-12-19,274.594
2002-12-20,275.313
2002-12-23,278.496
2002-12-24,277.867
2002-12-25,277.867
2002-12-26,277.243
2002-12-27,275.074
2002-12-30,273.746
2002-12-31,274.136
2003-01-01,274.136
2003-01-02,278.954
2003-01-03,281.771
2003-01-06,283.793
2003-01-07,282.575
2003-01-08,281.739
2003-01-09,284.804
2003-01-10,287.286
2003-01-13,288.244
2003-01-14,288.146
2003-01-15,289.336
2003-01-16,290.437
2003-01-17,287.3
2003-01-20,285.79
2003-01-21,285.397
2003-01-22,285.601
2003-01-23,287.627
2003-01-24,285.802
2003-01-27,281.24
2003-01-28,280.091
2003-01-29,280.25
2003-01-30,278.904
2003-01-31,279.299
2003-02-03,280.95
2003-02-04,280.861
2003-02-05,278.735
2003-02-06,277.19
2003-02-07,274.754
2003-02-10,271.958
2003-02-11,273.898
2003-02-12,272.455
2003-02-13,273.867
2003-02-14,273.735
2003-02-17,275.494
2003-02-18,276.511
2003-02-19,277.208
2003-02-20,279.052
2003-02-21,278.632
2003-02-24,278.602
2003-02-25,276.509
2003-02-26,277.195
2003-02-27,278.73
2003-02-28,279.398
2003-03-03,276.301
2003-03-04,275.493
2003-03-05,275.069
2003-03-06,271.473
2003-03-07,272.027
2003-03-10,268.968
2003-03-11,268.15
2003-03-12,265.199
2003-03-13,267.511
2003-03-14,268.876
2003-03-17,274.011
2003-03-18,274.332
2003-03-19,273.318
2003-03-20,274.867
2003-03-21,276.057
2003-03-24,270.116
2003-03-25,270.986
2003-03-26,271.627
2003-03-27,271.743
2003-03-28,274.05
2003-03-31,272.532
2003-04-01,270.626
2003-04-02,272.447
2003-04-03,272.665
2003-04-04,273.239
2003-04-07,273.183
2003-04-08,274.267
2003-04-09,274.559
2003-04-10,276.867
2003-04-11,277.02
2003-04-14,278.158
2003-04-15,279.588
2003-04-16,280.021
2003-04-17,282.664
2003-04-18,282.664
2003-04-21,284.318
2003-04-22,286.354
2003-04-23,286.178
2003-04-24,283.047
2003-04-25,281.564
2003-04-28,284.546
2003-04-29,285.788
2003-04-30,290.898
2003-05-01,294.555
2003-05-02,296.434
2003-05-05,301.205
2003-05-06,303.371
2003-05-07,301.92
2003-05-08,302.388
2003-05-09,304.291
2003-05-12,307.349
2003-05-13,304.255
2003-05-14,308.129
2003-05-15,308.675
2003-05-16,309.662
2003-05-19,311.319
2003-05-20,310.992
2003-05-21,311.642
2003-05-22,310.379
2003-05-23,308.771
2003-05-26,309.135
2003-05-27,312.884
2003-05-28,311.275
2003-05-29,314.034
2003-05-30,317.658
2003-06-02,321.09
2003-06-03,318.353
2003-06-04,327.042
2003-06-05,333.04
2003-06-06,331.084
2003-06-09,327.328
2003-06-10,326.254
2003-06-11,331.939
2003-06-12,333.169
2003-06-13,333.003
2003-06-16,336.524
2003-06-17,338.738
2003-06-18,339.792
2003-06-19,335.11
2003-06-20,334.673
2003-06-23,329.809
2003-06-24,327.401
2003-06-25,332.7
2003-06-26,331.662
2003-06-27,331.695
2003-06-30,329.504
2003-07-01,331.798
2003-07-02,335.552
2003-07-03,336.967
2003-07-04,336.12
2003-07-07,338.139
2003-07-08,335.924
2003-07-09,333.694
2003-07-10,329.637
2003-07-11,330.913
2003-07-14,333.943
2003-07-15,328.189
2003-07-16,327.423
2003-07-17,324.637
2003-07-18,323.379
2003-07-21,325.925
2003-07-22,326.826
2003-07-23,330.899
2003-07-24,336.408
2003-07-25,340.248
2003-07-28,341.773
2003-07-29,339.529
2003-07-30,336.453
2003-07-31,337.202
2003-08-01,339.881
2003-08-04,337.832
2003-08-05,336.006
2003-08-06,333.754
2003-08-07,336.78
2003-08-08,339.401
2003-08-11,344.575
2003-08-12,345.873
2003-08-13,347.011
2003-08-14,348.05
2003-08-15,348.018
2003-08-18,349.025
2003-08-19,349.791
2003-08-20,352.291
2003-08-21,353.36
2003-08-22,351.64
2003-08-25,352.481
2003-08-26,352.458
2003-08-27,353.386
2003-08-28,355.846
2003-08-29,359.21
2003-09-01,360.679
2003-09-02,361.186
2003-09-03,362.593
2003-09-04,365.634
2003-09-05,366.465
2003-09-08,367.82
2003-09-09,371.457
2003-09-10,367.327
2003-09-11,368.182
2003-09-12,368.784
2003-09-15,368.22
2003-09-16,370.919
2003-09-17,370.792
2003-09-18,372.724
2003-09-19,377.671
2003-09-22,376.911
2003-09-23,377.607
2003-09-24,373.647
2003-09-25,372.456
2003-09-26,365.662
2003-09-29,366.404
2003-09-30,366.597
2003-10-01,371.879
2003-10-02,375.496
2003-10-03,374.948
2003-10-06,376.966
2003-10-07,380.255
2003-10-08,381.89
2003-10-09,383.066
2003-10-10,386.856
2003-10-13,387.404
