Date,ITALY SMALL VALUE Small Cap
2001-01-01,305.609
2001-01-02,306.952
2001-01-03,301.116
2001-01-04,303.358
2001-01-05,307.14
2001-01-08,305.238
2001-01-09,303.193
2001-01-10,303.662
2001-01-11,306.992
2001-01-12,308.984
2001-01-15,308.846
2001-01-16,310.986
2001-01-17,311.375
2001-01-18,316.025
2001-01-19,314.691
2001-01-22,315.359
2001-01-23,315.385
2001-01-24,311.736
2001-01-25,312.091
2001-01-26,313.247
2001-01-29,313.771
2001-01-30,316.428
2001-01-31,319.62
2001-02-01,321.383
2001-02-02,319.071
2001-02-05,320.621
2001-02-06,318.2
2001-02-07,315.944
2001-02-08,312.36
2001-02-09,312.711
2001-02-12,317.937
2001-02-13,311.796
2001-02-14,307.59
2001-02-15,303.636
2001-02-16,305.16
2001-02-19,305.55
2001-02-20,301.005
2001-02-21,298.867
2001-02-22,297.761
2001-02-23,297.339
2001-02-26,298.252
2001-02-27,301.267
2001-02-28,301.493
2001-03-01,300.413
2001-03-02,301.199
2001-03-05,297.919
2001-03-06,301.235
2001-03-07,301.057
2001-03-08,303.081
2001-03-09,302.025
2001-03-12,295.953
2001-03-13,291.414
2001-03-14,286.434
2001-03-15,285.47
2001-03-16,281.646
2001-03-19,281.084
2001-03-20,284.74
2001-03-21,280.599
2001-03-22,271.487
2001-03-23,275.858
2001-03-26,279.179
2001-03-27,283.941
2001-03-28,281.468
2001-03-29,280.702
2001-03-30,283.479
2001-04-02,281.676
2001-04-03,281.27
2001-04-04,285.889
2001-04-05,286.698
2001-04-06,288.764
2001-04-09,289.253
2001-04-10,285.78
2001-04-11,284.503
2001-04-12,287.514
2001-04-13,287.514
2001-04-16,284.426
2001-04-17,284.302
2001-04-18,282.853
2001-04-19,287.136
2001-04-20,290.71
2001-04-23,288.264
2001-04-24,288.491
2001-04-25,289.945
2001-04-26,291.068
2001-04-27,288.53
2001-04-30,288.675
2001-05-01,290.167
2001-05-02,291.081
2001-05-03,289.991
2001-05-04,291.119
2001-05-07,290.434
2001-05-08,287.552
2001-05-09,288.608
2001-05-10,289.531
2001-05-11,287.096
2001-05-14,288.258
2001-05-15,289.808
2001-05-16,291.5
2001-05-17,291.477
2001-05-18,291.102
2001-05-21,291.465
2001-05-22,289.025
2001-05-23,287.5
2001-05-24,286.131
2001-05-25,287.109
2001-05-28,288.312
2001-05-29,285.145
2001-05-30,283.805
2001-05-31,281.457
2001-06-01,281.872
2001-06-04,281.802
