Date,ITALY SMALL VALUE Small Cap
2001-01-01,320.743
2001-01-02,322.153
2001-01-03,316.027
2001-01-04,318.38
2001-01-05,322.349
2001-01-08,320.353
2001-01-09,318.207
2001-01-10,318.699
2001-01-11,322.194
2001-01-12,324.285
2001-01-15,324.14
2001-01-16,326.386
2001-01-17,326.794
2001-01-18,331.675
2001-01-19,330.275
2001-01-22,330.975
2001-01-23,331.003
2001-01-24,327.173
2001-01-25,327.545
2001-01-26,328.759
2001-01-29,329.309
2001-01-30,332.097
2001-01-31,335.448
2001-02-01,337.297
2001-02-02,334.872
2001-02-05,336.498
2001-02-06,333.957
2001-02-07,331.59
2001-02-08,327.828
2001-02-09,328.197
2001-02-12,333.682
2001-02-13,327.236
2001-02-14,322.822
2001-02-15,318.672
2001-02-16,320.272
2001-02-19,320.681
2001-02-20,315.911
2001-02-21,313.667
2001-02-22,312.506
2001-02-23,312.063
2001-02-26,313.021
2001-02-27,316.185
2001-02-28,316.423
2001-03-01,315.29
2001-03-02,316.114
2001-03-05,312.671
2001-03-06,316.153
2001-03-07,315.965
2001-03-08,318.089
2001-03-09,316.981
2001-03-12,310.609
2001-03-13,305.845
2001-03-14,300.618
2001-03-15,299.606
2001-03-16,295.593
2001-03-19,294.956
2001-03-20,298.792
2001-03-21,294.447
2001-03-22,284.885
2001-03-23,289.472
2001-03-26,292.957
2001-03-27,297.954
2001-03-28,295.359
2001-03-29,294.555
2001-03-30,297.469
2001-04-02,295.577
2001-04-03,295.15
2001-04-04,299.998
2001-04-05,300.846
2001-04-06,303.014
2001-04-09,303.401
2001-04-10,299.757
2001-04-11,298.418
2001-04-12,301.576
2001-04-13,301.576
2001-04-16,298.338
2001-04-17,298.207
2001-04-18,296.687
2001-04-19,301.179
2001-04-20,304.929
2001-04-23,302.189
2001-04-24,302.427
2001-04-25,303.951
2001-04-26,305.128
2001-04-27,302.468
2001-04-30,302.62
2001-05-01,304.184
2001-05-02,305.143
2001-05-03,303.999
2001-05-04,305.182
2001-05-07,303.866
2001-05-08,300.838
2001-05-09,301.944
2001-05-10,302.909
2001-05-11,300.361
2001-05-14,301.577
2001-05-15,303.198
2001-05-16,304.969
2001-05-17,304.945
2001-05-18,304.552
2001-05-21,304.478
2001-05-22,301.929
2001-05-23,300.336
2001-05-24,298.906
2001-05-25,299.928
2001-05-28,301.184
2001-05-29,297.844
2001-05-30,296.444
2001-05-31,293.992
2001-06-01,294.425
2001-06-04,294.263
2001-06-05,294.541
2001-06-06,294.137
2001-06-07,294.926
2001-06-08,294.303
2001-06-11,291.745
2001-06-12,291.959
2001-06-13,293.953
2001-06-14,293.916
2001-06-15,293.895
2001-06-18,291.349
2001-06-19,290.343
2001-06-20,287.306
2001-06-21,286.997
2001-06-22,286.463
2001-06-25,287.025
2001-06-26,284.624
2001-06-27,284.877
2001-06-28,281.921
2001-06-29,283.908
2001-07-02,282.769
2001-07-03,283.009
2001-07-04,283.609
2001-07-05,279.269
2001-07-06,279.428
2001-07-09,280.232
2001-07-10,282.097
2001-07-11,280.638
2001-07-12,278.765
2001-07-13,278.417
2001-07-16,278.833
2001-07-17,275.476
2001-07-18,280.813
2001-07-19,279.807
2001-07-20,278.527
2001-07-23,276.478
2001-07-24,277.77
2001-07-25,278.234
2001-07-26,277.406
2001-07-27,276.928
2001-07-30,278.816
2001-07-31,279.259
2001-08-01,281.979
2001-08-02,284.093
2001-08-03,285.098
2001-08-06,284.163
2001-08-07,283.497
2001-08-08,284.07
2001-08-09,286.266
2001-08-10,287.972
2001-08-13,289.132
2001-08-14,289.472
2001-08-15,293.755
2001-08-16,294.425
2001-08-17,294.175
2001-08-20,290.814
2001-08-21,291.15
2001-08-22,293.959
2001-08-23,291.259
2001-08-24,291.755
2001-08-27,291.569
2001-08-28,290.408
2001-08-29,290.38
2001-08-30,288.413
2001-08-31,287.322
2001-09-03,284.468
2001-09-04,279.183
2001-09-05,274.078
2001-09-06,270.706
2001-09-07,271.107
2001-09-10,265.228
2001-09-11,253.583
2001-09-12,251.015
2001-09-13,253.398
2001-09-14,244.244
2001-09-17,238.853
2001-09-18,235.612
2001-09-19,236.618
2001-09-20,228.271
2001-09-21,214.35
2001-09-24,220.649
2001-09-25,228.523
2001-09-26,233.615
2001-09-27,235.629
2001-09-28,239.87
2001-10-01,237.561
2001-10-02,238.049
2001-10-03,238.863
2001-10-04,241.899
2001-10-05,241.926
2001-10-08,241.036
2001-10-09,241.584
2001-10-10,242.275
2001-10-11,242.696
2001-10-12,243.881
2001-10-15,242.2
2001-10-16,244.892
2001-10-17,245.84
2001-10-18,243.299
2001-10-19,241.081
2001-10-22,240.498
2001-10-23,241.296
2001-10-24,242.991
2001-10-25,243.297
2001-10-26,244.994
2001-10-29,246.958
2001-10-30,242.846
2001-10-31,241.532
2001-11-01,242.981
2001-11-02,242.34
2001-11-05,241.341
2001-11-06,240.271
2001-11-07,240.977
2001-11-08,240.081
2001-11-09,239.651
2001-11-12,235.818
2001-11-13,236.564
2001-11-14,236.773
2001-11-15,237.353
2001-11-16,239.916
2001-11-19,244.909
2001-11-20,246.525
2001-11-21,244.643
2001-11-22,247.807
2001-11-23,247.82
2001-11-26,250.96
2001-11-27,249.723
2001-11-28,251.002
2001-11-29,252.66
2001-11-30,255.429
2001-12-03,252.299
2001-12-04,254.369
2001-12-05,257.353
2001-12-06,258.501
2001-12-07,258.937
2001-12-10,256.85
2001-12-11,256.93
2001-12-12,257.058
2001-12-13,254.119
2001-12-14,256.043
2001-12-17,256.801
2001-12-18,255.229
2001-12-19,253.578
2001-12-20,252.471
2001-12-21,250.062
2001-12-24,247.817
2001-12-25,247.817
2001-12-26,248.028
2001-12-27,252.741
2001-12-28,253.689
2001-12-31,256.3
2002-01-01,256.326
2002-01-02,259.972
2002-01-03,260.24
2002-01-04,257.451
2002-01-07,257.293
2002-01-08,257.034
2002-01-09,256.707
2002-01-10,256.479
2002-01-11,256.027
2002-01-14,253.498
2002-01-15,253.427
2002-01-16,249.446
2002-01-17,250.055
2002-01-18,250.29
2002-01-21,249.541
2002-01-22,249.499
2002-01-23,250.39
2002-01-24,250.404
2002-01-25,246.423
2002-01-28,247.119
2002-01-29,248.938
2002-01-30,248.357
2002-01-31,250.714
2002-02-01,251.98
2002-02-04,253.889
2002-02-05,252.254
2002-02-06,250.45
2002-02-07,250.956
2002-02-08,251.646
2002-02-11,253.029
2002-02-12,252.047
2002-02-13,251.529
2002-02-14,252.124
2002-02-15,253.276
2002-02-18,252.127
2002-02-19,250.757
2002-02-20,248.76
2002-02-21,250.495
2002-02-22,252.046
2002-02-25,251.715
2002-02-26,252.256
2002-02-27,252.978
2002-02-28,254.598
2002-03-01,256.4
2002-03-04,260.774
2002-03-05,261.502
2002-03-06,266.835
