Date,ITALY SMALL VALUE Small Cap
1994-05-31,144.798
1994-06-30,140.446
1994-07-29,138.815
1994-08-31,137.787
1994-09-30,136.39
1994-10-31,133.693
1994-11-30,127.9
1994-12-30,127.945
1995-01-31,133.278
1995-02-28,125.919
1995-03-31,118.371
1995-04-28,121.183
1995-05-31,124.526
1995-06-30,121.742
1995-07-31,129.205
1995-08-31,127.373
1995-09-29,123.969
1995-10-31,119.799
1995-11-30,110.584
1995-12-29,114.956
1996-01-31,116.573
1996-02-29,122.773
1996-03-29,119.658
1996-04-30,124.156
1996-05-31,133.044
1996-06-28,129.116
1996-07-31,123.269
1996-08-30,122.789
1996-09-30,115.579
1996-10-31,112.447
1996-11-29,126.24
1996-12-31,128.867
1997-01-31,138.454
1997-02-28,129.504
1997-03-31,130.6
1997-04-30,126.981
1997-05-30,129.102
1997-06-30,132.453
1997-07-31,137.757
1997-08-29,139.945
1997-09-30,158.644
1997-10-31,165.534
1997-11-28,161.91
1997-12-31,173.529
1998-01-30,204.889
1998-02-27,224.051
1998-03-31,282.224
1998-04-30,260.749
1998-05-29,271.138
1998-06-30,250.148
1998-07-31,263.253
1998-08-31,230.759
1998-09-30,219.702
1998-10-30,229.475
1998-11-30,252.145
1998-12-31,257.753
1999-01-29,244.935
1999-02-26,236.672
1999-03-31,240.044
1999-04-30,238.146
1999-05-31,228.161
1999-06-30,231.81
1999-07-30,235.747
1999-08-31,238.239
1999-09-30,247.907
1999-10-29,242.025
1999-11-30,237.681
1999-12-31,261.281
2000-01-31,249.472
2000-02-29,299.13
2000-03-31,283.197
2000-04-28,268.692
2000-05-31,278.147
2000-06-30,291.714
2000-07-31,284.524
2000-08-31,295.054
2000-09-29,290.608
2000-10-31,280.307
2000-11-30,292.432
2000-12-29,305.609
2001-01-31,319.62
2001-02-28,301.493
2001-03-30,283.479
2001-04-30,288.675
2001-05-31,281.457
2001-06-29,271.89
2001-07-31,267.448
2001-08-31,275.17
2001-09-28,229.725
2001-10-31,231.317
2001-11-30,244.677
2001-12-31,245.511
2002-01-31,240.159
2002-02-28,243.88
2002-03-29,272.785
2002-04-30,282.649
2002-05-31,291.674
2002-06-28,282.817
2002-07-31,260.926
2002-08-30,263.71
2002-09-30,234.0
2002-10-31,245.89
2002-11-29,259.011
2002-12-31,255.482
2003-01-31,250.83
2003-02-28,250.306
2003-03-31,248.488
2003-04-30,283.242
2003-05-30,307.822
2003-06-30,307.31
2003-07-31,308.317
2003-08-29,313.849
2003-09-30,336.519
2003-10-31,353.623
2003-11-28,383.881
2003-12-31,387.78
2004-01-30,392.392
2004-02-27,399.092
