Date,ITALY SMALL VALUE Small Cap
1994-05-31,156.592
1994-06-30,151.756
1994-07-29,149.775
1994-08-31,148.552
1994-09-30,147.046
1994-10-31,144.139
1994-11-30,137.88
1994-12-30,137.896
1995-01-31,143.644
1995-02-28,135.713
1995-03-31,127.548
1995-04-28,130.577
1995-05-31,133.723
1995-06-30,130.621
1995-07-31,138.524
1995-08-31,136.559
1995-09-29,132.91
1995-10-31,128.439
1995-11-30,118.547
1995-12-29,123.234
1996-01-31,124.968
1996-02-29,131.615
1996-03-29,128.242
1996-04-30,132.993
1996-05-31,142.1
1996-06-28,137.627
1996-07-31,131.303
1996-08-30,130.791
1996-09-30,123.112
1996-10-31,119.776
1996-11-29,134.455
1996-12-31,137.253
1997-01-31,147.464
1997-02-28,137.931
1997-03-31,139.072
1997-04-30,135.217
1997-05-30,136.98
1997-06-30,140.286
1997-07-31,145.813
1997-08-29,148.129
1997-09-30,167.921
1997-10-31,175.215
1997-11-28,171.358
1997-12-31,183.656
1998-01-30,216.845
1998-02-27,237.125
1998-03-31,298.657
1998-04-30,275.874
1998-05-29,285.921
1998-06-30,263.592
1998-07-31,277.181
1998-08-31,242.968
1998-09-30,231.316
1998-10-30,241.605
1998-11-30,265.473
1998-12-31,271.378
1999-01-29,257.882
1999-02-26,249.182
1999-03-31,252.732
1999-04-30,250.735
1999-05-31,240.013
1999-06-30,243.738
1999-07-30,247.847
1999-08-31,250.466
1999-09-30,260.631
1999-10-29,254.447
1999-11-30,249.863
1999-12-31,274.672
2000-01-31,262.258
2000-02-29,314.461
2000-03-31,297.712
2000-04-28,282.366
2000-05-31,292.033
2000-06-30,306.212
2000-07-31,298.658
2000-08-31,309.711
2000-09-29,305.044
2000-10-31,294.232
2000-11-30,306.913
2000-12-29,320.743
2001-01-31,335.448
2001-02-28,316.423
2001-03-30,297.469
2001-04-30,302.62
2001-05-31,293.992
2001-06-29,283.908
2001-07-31,279.259
2001-08-31,287.322
2001-09-28,239.87
2001-10-31,241.532
2001-11-30,255.429
2001-12-31,256.3
2002-01-31,250.714
2002-02-28,254.598
2002-03-29,284.773
2002-04-30,293.976
2002-05-31,301.606
2002-06-28,292.354
2002-07-31,269.725
2002-08-30,272.599
2002-09-30,241.846
2002-10-31,254.134
2002-11-29,267.696
2002-12-31,264.048
2003-01-31,259.24
2003-02-28,258.699
2003-03-31,256.819
2003-04-30,292.501
