Date,DENMARK LARGE CAP Large Cap
1994-05-31,151.712
1994-06-30,158.144
1994-07-29,164.97
1994-08-31,155.301
1994-09-30,153.027
1994-10-31,153.551
1994-11-30,148.364
1994-12-30,153.084
1995-01-31,152.621
1995-02-28,156.389
1995-03-31,155.156
1995-04-28,164.727
1995-05-31,170.931
1995-06-30,166.36
1995-07-31,177.101
1995-08-31,171.187
1995-09-29,174.199
1995-10-31,173.941
1995-11-30,174.431
1995-12-29,178.911
1996-01-31,186.626
1996-02-29,190.918
1996-03-29,185.039
1996-04-30,184.43
1996-05-31,190.549
1996-06-28,194.384
1996-07-31,198.494
1996-08-30,207.511
1996-09-30,203.118
1996-10-31,210.897
1996-11-29,216.867
1996-12-31,226.196
1997-01-31,239.39
1997-02-28,236.547
1997-03-31,247.415
1997-04-30,244.883
1997-05-30,268.866
1997-06-30,270.563
1997-07-31,298.708
1997-08-29,284.11
1997-09-30,326.77
1997-10-31,303.995
1997-11-28,306.652
1997-12-31,338.328
1998-01-30,333.58
1998-02-27,342.778
1998-03-31,385.35
1998-04-30,368.857
1998-05-29,385.282
1998-06-30,366.943
1998-07-31,367.446
1998-08-31,322.715
1998-09-30,312.395
1998-10-30,339.791
1998-11-30,322.768
1998-12-31,357.158
1999-01-29,341.35
1999-02-26,314.368
1999-03-31,316.133
1999-04-30,346.506
1999-05-31,324.675
1999-06-30,333.673
1999-07-30,363.078
1999-08-31,369.514
1999-09-30,384.293
1999-10-29,382.605
1999-11-30,401.727
1999-12-31,435.827
2000-01-31,402.785
2000-02-29,414.979
2000-03-31,451.839
2000-04-28,402.015
2000-05-31,435.928
2000-06-30,432.004
2000-07-31,427.681
2000-08-31,461.053
2000-09-29,437.233
2000-10-31,405.043
2000-11-30,384.347
2000-12-29,384.301
2001-01-31,438.467
2001-02-28,406.482
2001-03-30,376.475
2001-04-30,377.221
2001-05-31,373.078
2001-06-29,369.926
2001-07-31,390.14
2001-08-31,372.448
2001-09-28,331.156
2001-10-31,341.835
2001-11-30,341.888
2001-12-31,350.16
2002-01-31,340.859
2002-02-28,348.755
2002-03-29,353.651
2002-04-30,329.77
2002-05-31,330.242
2002-06-28,339.004
2002-07-31,291.14
2002-08-30,317.626
2002-09-30,276.812
2002-10-31,285.764
2002-11-29,305.845
2002-12-31,294.718
2003-01-31,284.658
2003-02-28,286.402
2003-03-31,324.519
2003-04-30,365.496
2003-05-30,375.649
2003-06-30,369.8
2003-07-31,357.045
2003-08-29,392.215
2003-09-30,409.592
2003-10-31,438.557
2003-11-28,432.679
2003-12-31,456.502
2004-01-30,471.718
2004-02-27,504.834
2004-03-31,477.323
2004-04-30,459.303
2004-05-31,461.291
2004-06-30,495.331
2004-07-30,492.108
2004-08-31,501.767
2004-09-30,543.912
2004-10-29,528.709
2004-11-30,575.219
2004-12-31,586.823
2005-01-31,571.989
2005-02-28,621.497
2005-03-31,620.185
2005-04-29,591.217
2005-05-31,599.35
2005-06-30,620.267
2005-07-29,635.987
2005-08-31,655.832
2005-09-30,639.036
2005-10-31,615.702
2005-11-30,640.015
2005-12-30,690.106
2006-01-31,681.38
2006-02-28,674.173
2006-03-31,692.592
2006-04-28,722.036
2006-05-31,689.728
2006-06-30,686.216
2006-07-31,673.436
2006-08-31,740.26
2006-09-29,752.961
2006-10-31,788.399
2006-11-30,814.051
2006-12-29,840.28
2007-01-31,876.601
2007-02-28,884.371
2007-03-30,920.605
2007-04-30,979.136
2007-05-31,1000.0
2007-06-29,992.727
2007-07-31,1024.312
2007-08-31,1027.865
2007-09-28,1073.137
2007-10-31,1112.671
2007-11-30,1052.678
2007-12-31,1028.714
2008-01-31,949.99
2008-02-29,1039.664
2008-03-31,1068.507
2008-04-30,1034.842
2008-05-30,1057.996
2008-06-30,1011.847
2008-07-31,983.634
2008-08-29,952.546
2008-09-30,740.411
2008-10-31,543.667
2008-11-28,508.474
2008-12-31,525.142
2009-01-30,520.44
2009-02-27,467.718
2009-03-31,476.496
2009-04-30,568.697
2009-05-29,650.348
2009-06-30,654.73
2009-07-31,697.066
2009-08-31,761.33
2009-09-30,760.854
2009-10-30,743.181
2009-11-30,762.509
2009-12-31,733.185
2010-01-29,760.208
2010-02-26,754.092
2010-03-31,817.418
2010-04-30,873.669
2010-05-31,772.822
2010-06-30,782.234
2010-07-30,857.23
2010-08-31,820.149
2010-09-30,915.861
2010-10-29,951.422
2010-11-30,883.651
2010-12-31,981.95
2011-01-31,998.017
2011-02-28,1056.157
2011-03-31,1058.433
2011-04-29,1106.963
2011-05-31,1064.336
2011-06-30,1018.86
2011-07-29,980.022
2011-08-31,834.461
2011-09-30,757.875
2011-10-31,820.882
2011-11-30,853.223
2011-12-30,844.218
2012-01-31,893.517
2012-02-29,1041.058
2012-03-30,1029.891
2012-04-30,1078.775
2012-05-31,941.523
2012-06-29,1014.094
2012-07-31,1078.436
2012-08-31,1110.543
2012-09-28,1132.246
2012-10-31,1120.955
2012-11-30,1138.561
2012-12-31,1159.721
2013-01-31,1300.273
2013-02-28,1250.572
2013-03-29,1193.395
2013-04-30,1245.842
2013-05-31,1184.891
2013-06-28,1132.432
2013-07-31,1231.716
2013-08-30,1244.963
2013-09-30,1294.867
2013-10-31,1300.286
2013-11-29,1379.596
2013-12-31,1417.432
2014-01-31,1471.238
2014-02-28,1726.509
2014-03-31,1699.522
2014-04-30,1694.475
2014-05-30,1659.072
2014-06-30,1738.245
2014-07-31,1719.242
2014-08-29,1715.215
