Date,DENMARK LARGE CAP Large Cap
2001-01-01,384.301
2001-01-02,396.57
2001-01-03,400.332
2001-01-04,407.361
2001-01-05,420.361
2001-01-08,422.383
2001-01-09,416.691
2001-01-10,418.535
2001-01-11,419.385
2001-01-12,423.64
2001-01-15,420.231
2001-01-16,420.959
2001-01-17,427.378
2001-01-18,434.813
2001-01-19,431.418
2001-01-22,440.657
2001-01-23,439.879
2001-01-24,442.023
2001-01-25,439.138
2001-01-26,438.872
2001-01-29,437.243
2001-01-30,436.535
2001-01-31,438.467
2001-02-01,437.26
2001-02-02,423.788
2001-02-05,426.756
2001-02-06,426.066
2001-02-07,426.742
2001-02-08,416.899
2001-02-09,418.442
2001-02-12,419.966
2001-02-13,414.37
2001-02-14,412.304
2001-02-15,419.344
2001-02-16,429.393
2001-02-19,429.335
2001-02-20,425.135
2001-02-21,424.716
2001-02-22,403.99
2001-02-23,398.281
2001-02-26,399.055
2001-02-27,406.403
2001-02-28,406.482
2001-03-01,409.679
2001-03-02,407.254
2001-03-05,405.51
2001-03-06,411.669
2001-03-07,411.698
2001-03-08,414.844
2001-03-09,411.016
2001-03-12,406.168
2001-03-13,394.399
2001-03-14,378.419
2001-03-15,380.008
2001-03-16,372.788
2001-03-19,365.973
2001-03-20,366.813
2001-03-21,368.139
2001-03-22,360.233
2001-03-23,365.99
2001-03-26,379.449
2001-03-27,378.241
2001-03-28,376.448
2001-03-29,368.083
2001-03-30,376.475
2001-04-02,373.888
2001-04-03,367.842
2001-04-04,364.291
2001-04-05,369.878
2001-04-06,376.98
2001-04-09,375.782
2001-04-10,371.205
2001-04-11,373.26
2001-04-12,374.472
2001-04-13,374.472
2001-04-16,374.963
2001-04-17,377.824
2001-04-18,378.558
2001-04-19,384.119
2001-04-20,384.312
2001-04-23,382.671
2001-04-24,381.747
2001-04-25,380.792
2001-04-26,379.154
2001-04-27,375.985
2001-04-30,377.221
2001-05-01,377.074
2001-05-02,371.532
2001-05-03,375.587
2001-05-04,368.387
2001-05-07,372.258
2001-05-08,375.454
2001-05-09,371.317
2001-05-10,371.313
2001-05-11,368.349
2001-05-14,363.179
2001-05-15,366.187
2001-05-16,370.361
2001-05-17,377.914
2001-05-18,380.94
2001-05-21,373.924
2001-05-22,375.63
2001-05-23,374.548
2001-05-24,373.166
2001-05-25,375.205
2001-05-28,376.348
2001-05-29,371.844
2001-05-30,372.915
2001-05-31,373.078
2001-06-01,373.858
2001-06-04,374.377
2001-06-05,374.519
2001-06-06,374.128
2001-06-07,370.6
2001-06-08,368.459
2001-06-11,366.49
2001-06-12,371.811
2001-06-13,379.436
2001-06-14,376.892
2001-06-15,374.005
2001-06-18,379.333
2001-06-19,379.796
2001-06-20,379.723
2001-06-21,375.164
2001-06-22,375.123
2001-06-25,376.348
2001-06-26,370.762
2001-06-27,369.819
2001-06-28,371.331
2001-06-29,369.926
2001-07-02,368.756
2001-07-03,372.849
2001-07-04,376.945
2001-07-05,375.316
2001-07-06,375.635
2001-07-09,381.567
2001-07-10,386.38
2001-07-11,386.332
2001-07-12,377.767
2001-07-13,375.348
2001-07-16,373.835
2001-07-17,371.837
2001-07-18,379.682
2001-07-19,387.073
2001-07-20,381.749
2001-07-23,378.466
2001-07-24,380.587
2001-07-25,376.4
2001-07-26,376.073
2001-07-27,381.456
2001-07-30,387.451
2001-07-31,390.14
2001-08-01,393.019
2001-08-02,395.322
2001-08-03,391.96
2001-08-06,389.607
2001-08-07,384.347
2001-08-08,379.418
2001-08-09,380.29
2001-08-10,385.389
2001-08-13,388.812
2001-08-14,385.921
2001-08-15,393.872
2001-08-16,390.317
2001-08-17,393.157
2001-08-20,389.508
2001-08-21,390.492
2001-08-22,389.514
2001-08-23,389.302
2001-08-24,392.395
2001-08-27,389.101
2001-08-28,378.207
2001-08-29,372.266
2001-08-30,366.999
2001-08-31,372.448
2001-09-03,365.316
2001-09-04,357.18
2001-09-05,357.266
2001-09-06,361.721
2001-09-07,364.546
2001-09-10,355.88
2001-09-11,353.374
2001-09-12,355.231
2001-09-13,362.517
2001-09-14,356.055
2001-09-17,349.553
2001-09-18,338.141
2001-09-19,344.845
2001-09-20,332.581
2001-09-21,318.122
2001-09-24,322.83
2001-09-25,317.051
2001-09-26,323.343
2001-09-27,325.489
2001-09-28,331.156
2001-10-01,320.84
2001-10-02,330.743
2001-10-03,330.32
2001-10-04,335.151
2001-10-05,338.139
2001-10-08,333.133
2001-10-09,337.594
2001-10-10,343.931
2001-10-11,352.999
2001-10-12,344.898
2001-10-15,342.859
2001-10-16,339.624
2001-10-17,340.288
2001-10-18,339.344
2001-10-19,332.824
2001-10-22,335.118
2001-10-23,334.291
2001-10-24,339.373
2001-10-25,337.681
2001-10-26,350.648
2001-10-29,344.115
2001-10-30,337.575
2001-10-31,341.835
2001-11-01,343.937
2001-11-02,343.481
2001-11-05,343.885
2001-11-06,342.071
2001-11-07,340.559
2001-11-08,336.065
2001-11-09,326.543
2001-11-12,320.785
2001-11-13,317.086
2001-11-14,324.535
2001-11-15,322.911
2001-11-16,324.393
2001-11-19,320.998
2001-11-20,328.365
2001-11-21,325.529
2001-11-22,329.969
