Date,DENMARK LARGE CAP Large Cap
1994-05-31,161.286
1994-06-30,168.124
1994-07-29,175.38
1994-08-31,165.102
1994-09-30,162.684
1994-10-31,163.241
1994-11-30,157.727
1994-12-30,162.69
1995-01-31,162.198
1995-02-28,166.203
1995-03-31,164.7
1995-04-28,174.317
1995-05-31,180.752
1995-06-30,175.919
1995-07-31,187.277
1995-08-31,181.023
1995-09-29,184.208
1995-10-31,183.935
1995-11-30,184.453
1995-12-29,189.125
1996-01-31,197.28
1996-02-29,201.817
1996-03-29,195.398
1996-04-30,194.754
1996-05-31,200.55
1996-06-28,204.587
1996-07-31,208.912
1996-08-30,218.403
1996-09-30,213.779
1996-10-31,221.966
1996-11-29,228.249
1996-12-31,238.014
1997-01-31,251.898
1997-02-28,248.906
1997-03-31,260.16
1997-04-30,256.971
1997-05-30,281.994
1997-06-30,283.774
1997-07-31,313.293
1997-08-29,297.982
1997-09-30,342.725
1997-10-31,318.838
1997-11-28,321.624
1997-12-31,354.799
1998-01-30,349.819
1998-02-27,359.465
1998-03-31,404.022
1998-04-30,386.046
1998-05-29,403.05
1998-06-30,383.865
1998-07-31,384.392
1998-08-31,337.598
1998-09-30,326.802
1998-10-30,355.462
1998-11-30,337.654
1998-12-31,373.629
1999-01-29,357.093
1999-02-26,328.866
1999-03-31,330.375
1999-04-30,361.651
1999-05-31,338.778
1999-06-30,348.167
1999-07-30,378.85
1999-08-31,385.565
1999-09-30,400.986
1999-10-29,399.224
1999-11-30,419.177
1999-12-31,454.758
2000-01-31,420.281
2000-02-29,433.004
2000-03-31,471.026
2000-04-28,418.621
2000-05-31,453.828
2000-06-30,449.744
2000-07-31,445.242
2000-08-31,479.985
2000-09-29,455.187
2000-10-31,421.675
2000-11-30,400.13
2000-12-29,400.081
2001-01-31,456.472
2001-02-28,423.173
2001-03-30,391.096
2001-04-30,391.377
2001-05-31,386.865
2001-06-29,383.596
2001-07-31,404.557
2001-08-31,386.211
2001-09-28,343.393
2001-10-31,354.467
2001-11-30,354.523
2001-12-31,363.1
2002-01-31,353.455
2002-02-28,361.643
2002-03-29,365.7
2002-04-30,340.456
2002-05-31,340.724
2002-06-28,349.763
2002-07-31,300.381
2002-08-30,327.707
2002-09-30,285.598
2002-10-31,294.834
2002-11-29,315.552
2002-12-31,304.072
2003-01-31,293.693
2003-02-28,295.492
2003-03-31,332.21
2003-04-30,374.158
2003-05-30,384.552
2003-06-30,378.564
2003-07-31,365.506
2003-08-29,401.51
2003-09-30,419.299
2003-10-31,448.95
2003-11-28,442.933
2003-12-31,467.321
2004-01-30,482.897
2004-02-27,516.798
2004-03-31,486.144
2004-04-30,467.429
2004-05-31,469.452
2004-06-30,504.094
2004-07-30,500.814
2004-08-31,510.644
2004-09-30,553.534
2004-10-29,538.063
2004-11-30,585.396
2004-12-31,597.205
2005-01-31,582.108
2005-02-28,632.492
2005-03-31,628.12
2005-04-29,598.191
2005-05-31,606.419
2005-06-30,627.583
2005-07-29,643.489
2005-08-31,663.568
2005-09-30,646.574
2005-10-31,622.965
2005-11-30,647.564
2005-12-30,698.246
2006-01-31,689.417
2006-02-28,682.125
2006-03-31,696.945
2006-04-28,725.871
2006-05-31,693.392
2006-06-30,689.862
2006-07-31,677.013
2006-08-31,744.192
2006-09-29,756.961
2006-10-31,792.587
2006-11-30,818.375
2006-12-29,844.744
2007-01-31,881.258
2007-02-28,889.069
2007-03-30,921.265
2007-04-30,979.838
2007-05-31,1000.0
2007-06-29,992.727
2007-07-31,1024.312
2007-08-31,1027.865
2007-09-28,1073.137
2007-10-31,1112.671
2007-11-30,1052.678
2007-12-31,1028.714
2008-01-31,949.99
2008-02-29,1039.664
2008-03-31,1063.001
2008-04-30,1028.539
2008-05-30,1051.552
2008-06-30,1005.684
2008-07-31,977.643
2008-08-29,946.745
2008-09-30,735.901
2008-10-31,540.355
2008-11-28,505.377
2008-12-31,521.944
2009-01-30,517.27
2009-02-27,464.869
2009-03-31,471.968
2009-04-30,563.293
2009-05-29,643.517
2009-06-30,647.853
2009-07-31,689.744
2009-08-31,753.333
2009-09-30,752.862
2009-10-30,735.375
2009-11-30,754.5
2009-12-31,725.484
2010-01-29,752.223
2010-02-26,746.172
2010-03-31,806.982
2010-04-30,862.198
2010-05-31,762.675
