Date,EUROPE LARGE VALUE Large Cap
2001-01-01,481.251
2001-01-02,482.43
2001-01-03,481.638
2001-01-04,485.98
2001-01-05,488.075
2001-01-08,487.159
2001-01-09,479.756
2001-01-10,476.728
2001-01-11,484.721
2001-01-12,484.031
2001-01-15,483.951
2001-01-16,477.984
2001-01-17,480.879
2001-01-18,485.08
2001-01-19,478.212
2001-01-22,480.485
2001-01-23,483.501
2001-01-24,479.219
2001-01-25,479.765
2001-01-26,480.99
2001-01-29,481.42
2001-01-30,484.124
2001-01-31,486.581
2001-02-01,487.37
2001-02-02,483.766
2001-02-05,487.996
2001-02-06,486.487
2001-02-07,482.948
2001-02-08,476.368
2001-02-09,476.154
2001-02-12,480.895
2001-02-13,477.258
2001-02-14,475.284
2001-02-15,469.172
2001-02-16,467.748
2001-02-19,470.318
2001-02-20,462.166
2001-02-21,460.135
2001-02-22,456.565
2001-02-23,452.581
2001-02-26,453.294
2001-02-27,457.468
2001-02-28,458.088
2001-03-01,461.378
2001-03-02,463.333
2001-03-05,463.722
2001-03-06,466.697
2001-03-07,467.178
2001-03-08,468.429
2001-03-09,465.11
2001-03-12,456.781
2001-03-13,445.865
2001-03-14,435.919
2001-03-15,439.434
2001-03-16,426.143
2001-03-19,423.662
2001-03-20,430.815
2001-03-21,422.152
2001-03-22,400.171
2001-03-23,409.546
2001-03-26,422.865
2001-03-27,434.498
2001-03-28,426.719
2001-03-29,427.512
2001-03-30,430.997
2001-04-02,429.817
2001-04-03,421.731
2001-04-04,430.151
2001-04-05,434.539
2001-04-06,435.612
2001-04-09,443.993
2001-04-10,447.371
2001-04-11,444.28
2001-04-12,448.045
2001-04-13,448.045
2001-04-16,444.585
2001-04-17,443.528
2001-04-18,446.943
2001-04-19,452.606
2001-04-20,455.427
2001-04-23,452.034
2001-04-24,453.3
2001-04-25,454.19
2001-04-26,457.828
2001-04-27,459.654
2001-04-30,458.159
2001-05-01,458.86
2001-05-02,456.381
2001-05-03,448.276
2001-05-04,453.42
2001-05-07,454.449
2001-05-08,451.32
2001-05-09,449.748
2001-05-10,456.007
2001-05-11,451.214
2001-05-14,442.903
2001-05-15,450.865
2001-05-16,455.221
2001-05-17,457.18
2001-05-18,459.065
2001-05-21,460.382
2001-05-22,457.702
2001-05-23,452.517
2001-05-24,452.188
2001-05-25,450.506
2001-05-28,451.636
2001-05-29,448.053
2001-05-30,446.046
2001-05-31,443.108
2001-06-01,442.462
2001-06-04,444.331
2001-06-05,447.722
2001-06-06,443.126
2001-06-07,444.741
2001-06-08,442.991
2001-06-11,436.749
2001-06-12,435.432
2001-06-13,440.101
2001-06-14,439.553
2001-06-15,438.584
2001-06-18,434.424
2001-06-19,434.214
2001-06-20,431.428
2001-06-21,432.332
2001-06-22,434.652
2001-06-25,438.628
2001-06-26,432.302
2001-06-27,433.169
2001-06-28,432.607
2001-06-29,434.588
2001-07-02,441.304
2001-07-03,436.409
2001-07-04,434.577
2001-07-05,430.586
2001-07-06,425.535
2001-07-09,427.108
2001-07-10,427.618
2001-07-11,424.734
2001-07-12,425.461
2001-07-13,427.925
2001-07-16,428.191
2001-07-17,422.965
2001-07-18,425.155
2001-07-19,428.854
2001-07-20,428.189
