Date,EUROPE LARGE VALUE Large Cap
2001-01-01,497.924
2001-01-02,499.126
2001-01-03,498.307
2001-01-04,502.799
2001-01-05,504.966
2001-01-08,504.019
2001-01-09,496.36
2001-01-10,493.219
2001-01-11,501.481
2001-01-12,500.767
2001-01-15,500.685
2001-01-16,494.512
2001-01-17,497.507
2001-01-18,501.852
2001-01-19,494.748
2001-01-22,497.098
2001-01-23,500.219
2001-01-24,495.789
2001-01-25,496.354
2001-01-26,497.621
2001-01-29,498.066
2001-01-30,500.864
2001-01-31,503.405
2001-02-01,504.222
2001-02-02,500.493
2001-02-05,504.869
2001-02-06,503.308
2001-02-07,499.647
2001-02-08,492.839
2001-02-09,492.618
2001-02-12,497.523
2001-02-13,493.76
2001-02-14,491.718
2001-02-15,485.394
2001-02-16,483.921
2001-02-19,486.58
2001-02-20,478.146
2001-02-21,476.045
2001-02-22,472.351
2001-02-23,468.23
2001-02-26,468.967
2001-02-27,473.286
2001-02-28,473.927
2001-03-01,477.331
2001-03-02,479.354
2001-03-05,479.742
2001-03-06,482.819
2001-03-07,483.318
2001-03-08,484.611
2001-03-09,481.178
2001-03-12,472.562
2001-03-13,461.269
2001-03-14,450.978
2001-03-15,454.615
2001-03-16,440.865
2001-03-19,438.298
2001-03-20,445.698
2001-03-21,436.724
2001-03-22,413.983
2001-03-23,423.668
2001-03-26,437.446
2001-03-27,449.454
2001-03-28,441.393
2001-03-29,442.213
2001-03-30,445.818
2001-04-02,444.598
2001-04-03,436.214
2001-04-04,444.923
2001-04-05,449.461
2001-04-06,450.547
2001-04-09,459.208
2001-04-10,462.702
2001-04-11,459.48
2001-04-12,463.293
2001-04-13,463.293
2001-04-16,459.715
2001-04-17,458.597
2001-04-18,462.125
2001-04-19,467.935
2001-04-20,470.851
2001-04-23,467.329
2001-04-24,468.638
2001-04-25,469.54
2001-04-26,473.286
2001-04-27,475.12
2001-04-30,473.56
2001-05-01,474.285
2001-05-02,471.685
2001-05-03,463.298
2001-05-04,468.593
2001-05-07,469.649
2001-05-08,466.412
2001-05-09,464.762
2001-05-10,471.218
2001-05-11,466.224
2001-05-14,457.557
2001-05-15,465.782
2001-05-16,470.278
2001-05-17,472.277
2001-05-18,474.135
2001-05-21,475.392
2001-05-22,472.624
2001-05-23,467.213
2001-05-24,466.873
2001-05-25,465.135
2001-05-28,466.27
2001-05-29,462.494
2001-05-30,460.361
2001-05-31,457.309
2001-06-01,456.603
2001-06-04,458.532
2001-06-05,462.014
2001-06-06,457.252
2001-06-07,458.918
2001-06-08,457.063
2001-06-11,450.58
2001-06-12,449.221
2001-06-13,454.036
2001-06-14,453.424
2001-06-15,452.424
2001-06-18,447.91
2001-06-19,447.694
2001-06-20,444.82
2001-06-21,445.74
2001-06-22,448.132
2001-06-25,452.23
2001-06-26,445.708
2001-06-27,446.602
2001-06-28,446.022
2001-06-29,448.065
2001-07-02,454.958
2001-07-03,449.911
2001-07-04,448.023
2001-07-05,443.908
2001-07-06,438.7
2001-07-09,440.322
2001-07-10,440.848
2001-07-11,437.875
2001-07-12,438.615
2001-07-13,441.156
2001-07-16,441.43
2001-07-17,436.042
2001-07-18,438.299
2001-07-19,442.111
2001-07-20,441.425
2001-07-23,441.549
2001-07-24,438.208
2001-07-25,434.609
2001-07-26,436.212
2001-07-27,441.982
2001-07-30,447.015
2001-07-31,451.368
2001-08-01,454.151
2001-08-02,454.255
2001-08-03,452.599
2001-08-06,450.925
2001-08-07,450.016
2001-08-08,445.063
2001-08-09,443.211
2001-08-10,443.09
2001-08-13,445.656
2001-08-14,451.284
2001-08-15,455.36
2001-08-16,452.693
2001-08-17,448.065
2001-08-20,447.314
2001-08-21,450.945
2001-08-22,454.197
2001-08-23,451.16
2001-08-24,458.358
2001-08-27,457.094
2001-08-28,452.741
2001-08-29,453.411
2001-08-30,444.783
2001-08-31,444.425
2001-09-03,439.275
2001-09-04,439.357
2001-09-05,434.131
2001-09-06,425.977
2001-09-07,419.346
2001-09-10,413.206
2001-09-11,392.547
2001-09-12,394.201
2001-09-13,399.694
2001-09-14,384.818
2001-09-17,395.219
2001-09-18,391.983
2001-09-19,384.586
2001-09-20,367.234
2001-09-21,353.721
2001-09-24,372.585
2001-09-25,379.22
2001-09-26,384.817
2001-09-27,389.72
2001-09-28,398.355
2001-10-01,391.354
2001-10-02,394.709
2001-10-03,398.485
2001-10-04,409.883
2001-10-05,409.564
2001-10-08,408.514
2001-10-09,406.461
2001-10-10,414.076
2001-10-11,413.946
2001-10-12,414.298
2001-10-15,405.294
2001-10-16,409.183
2001-10-17,417.315
2001-10-18,408.439
2001-10-19,397.874
2001-10-22,400.794
2001-10-23,410.281
2001-10-24,412.486
2001-10-25,406.582
2001-10-26,414.942
2001-10-29,412.482
2001-10-30,404.0
2001-10-31,406.212
2001-11-01,409.968
2001-11-02,410.358
2001-11-05,415.979
2001-11-06,414.766
2001-11-07,420.141
2001-11-08,424.854
2001-11-09,421.461
2001-11-12,412.616
2001-11-13,419.824
2001-11-14,418.938
2001-11-15,416.955
2001-11-16,422.555
2001-11-19,425.539
2001-11-20,423.66
2001-11-21,420.858
2001-11-22,424.443
2001-11-23,421.411
2001-11-26,421.282
2001-11-27,417.813
2001-11-28,414.275
2001-11-29,415.472
2001-11-30,418.628
2001-12-03,414.559
2001-12-04,417.961
2001-12-05,428.174
2001-12-06,431.479
2001-12-07,426.566
2001-12-10,420.01
2001-12-11,419.49
2001-12-12,418.513
2001-12-13,413.404
2001-12-14,412.617
2001-12-17,423.835
2001-12-18,421.863
2001-12-19,417.597
2001-12-20,413.787
2001-12-21,417.472
2001-12-24,415.624
2001-12-25,415.624
2001-12-26,416.702
2001-12-27,425.748
2001-12-28,426.202
2001-12-31,428.439
2002-01-01,428.439
2002-01-02,429.291
2002-01-03,435.164
2002-01-04,434.593
2002-01-07,429.525
2002-01-08,427.04
2002-01-09,425.834
2002-01-10,424.245
2002-01-11,424.41
2002-01-14,417.355
2002-01-15,419.097
2002-01-16,412.368
2002-01-17,416.951
2002-01-18,415.823
2002-01-21,414.828
2002-01-22,414.738
2002-01-23,418.144
2002-01-24,420.48
2002-01-25,414.767
2002-01-28,417.748
2002-01-29,411.482
2002-01-30,407.367
2002-01-31,411.631
2002-02-01,412.669
2002-02-04,410.767
2002-02-05,405.617
2002-02-06,401.52
2002-02-07,404.019
2002-02-08,405.185
2002-02-11,411.078
2002-02-12,409.908
2002-02-13,411.685
2002-02-14,416.029
2002-02-15,413.344
2002-02-18,409.878
2002-02-19,403.795
2002-02-20,399.916
2002-02-21,404.246
2002-02-22,404.011
2002-02-25,408.178
2002-02-26,410.141
2002-02-27,412.173
2002-02-28,411.924
2002-03-01,416.739
2002-03-04,427.863
2002-03-05,425.981
2002-03-06,429.655
2002-03-07,433.894
2002-03-08,433.64
2002-03-11,432.367
2002-03-12,428.359
