Date,EUROPE LARGE VALUE Large Cap
1994-05-31,178.801
1994-06-30,177.69
1994-07-29,188.478
1994-08-31,193.738
1994-09-30,185.863
1994-10-31,195.781
1994-11-30,188.51
1994-12-30,188.494
1995-01-31,187.296
1995-02-28,190.093
1995-03-31,199.899
1995-04-28,205.59
1995-05-31,211.162
1995-06-30,211.224
1995-07-31,221.831
1995-08-31,210.797
1995-09-29,216.517
1995-10-31,216.973
1995-11-30,219.343
1995-12-29,227.836
1996-01-31,228.281
1996-02-29,231.548
1996-03-29,232.805
1996-04-30,235.248
1996-05-31,240.12
1996-06-28,241.623
1996-07-31,240.064
1996-08-30,246.954
1996-09-30,252.955
1996-10-31,259.678
1996-11-29,273.888
1996-12-31,281.57
1997-01-31,281.524
1997-02-28,285.575
1997-03-31,294.63
1997-04-30,293.224
1997-05-30,309.767
1997-06-30,321.738
1997-07-31,339.309
1997-08-29,323.054
1997-09-30,354.132
1997-10-31,337.085
1997-11-28,341.048
1997-12-31,353.119
1998-01-30,364.726
1998-02-27,391.648
1998-03-31,424.959
1998-04-30,435.668
1998-05-29,443.173
1998-06-30,450.769
1998-07-31,456.323
1998-08-31,396.96
1998-09-30,383.552
1998-10-30,408.376
1998-11-30,426.485
1998-12-31,438.208
1999-01-29,435.323
1999-02-26,431.524
1999-03-31,443.538
1999-04-30,471.143
1999-05-31,449.134
1999-06-30,455.425
1999-07-30,461.715
1999-08-31,465.71
1999-09-30,458.956
1999-10-29,469.003
1999-11-30,470.735
1999-12-31,503.082
2000-01-31,444.368
2000-02-29,446.901
2000-03-31,474.064
2000-04-28,455.142
2000-05-31,462.845
2000-06-30,476.966
2000-07-31,469.119
2000-08-31,468.621
2000-09-29,453.727
2000-10-31,455.824
2000-11-30,449.148
2000-12-29,481.251
2001-01-31,486.581
2001-02-28,458.088
2001-03-30,430.997
2001-04-30,458.159
2001-05-31,443.108
2001-06-29,434.588
2001-07-31,437.835
2001-08-31,431.237
2001-09-28,386.535
2001-10-31,394.143
2001-11-30,406.203
2001-12-31,415.726
2002-01-31,399.436
2002-02-28,399.72
2002-03-29,426.684
2002-04-30,431.5
2002-05-31,440.044
2002-06-28,420.752
2002-07-31,373.015
2002-08-30,378.897
2002-09-30,317.964
2002-10-31,350.754
2002-11-29,369.383
2002-12-31,354.196
2003-01-31,337.635
2003-02-28,328.369
2003-03-31,320.31
2003-04-30,361.368
2003-05-30,390.123
2003-06-30,394.386
2003-07-31,404.242
2003-08-29,401.256
2003-09-30,404.973
2003-10-31,434.585
2003-11-28,451.843
2003-12-31,499.164
2004-01-30,495.194
2004-02-27,506.918
2004-03-31,492.246
2004-04-30,494.058
2004-05-31,504.114
2004-06-30,512.918
2004-07-30,501.519
2004-08-31,504.328
2004-09-30,526.016
2004-10-29,546.694
2004-11-30,585.12
2004-12-31,610.157
2005-01-31,600.368
2005-02-28,633.708
2005-03-31,616.636
2005-04-29,595.504
2005-05-31,596.161
2005-06-30,609.047
2005-07-29,631.647
2005-08-31,637.599
2005-09-30,649.484
2005-10-31,631.564
2005-11-30,642.508
2005-12-30,663.241
2006-01-31,703.878
2006-02-28,709.172
2006-03-31,732.404
2006-04-28,768.963
2006-05-31,752.834
2006-06-30,755.924
2006-07-31,771.971
2006-08-31,796.021
2006-09-29,805.256
2006-10-31,843.702
2006-11-30,868.858
2006-12-29,897.395
2007-01-31,896.231
2007-02-28,889.356
2007-03-30,913.479
2007-04-30,980.321
2007-05-31,1000.0
2007-06-29,1003.216
2007-07-31,973.049
2007-08-31,952.436
2007-09-28,997.844
2007-10-31,1045.289
2007-11-30,997.661
2007-12-31,981.74
2008-01-31,867.703
2008-02-29,869.559
2008-03-31,875.404
2008-04-30,931.497
2008-05-30,923.334
2008-06-30,830.322
2008-07-31,806.345
2008-08-29,777.508
2008-09-30,659.196
2008-10-31,511.059
2008-11-28,480.47
2008-12-31,505.637
2009-01-30,432.855
2009-02-27,379.513
2009-03-31,411.261
2009-04-30,492.996
2009-05-29,555.359
2009-06-30,541.15
2009-07-31,602.339
2009-08-31,658.899
2009-09-30,687.788
2009-10-30,668.042
2009-11-30,687.391
2009-12-31,696.068
2010-01-29,646.93
2010-02-26,629.184
2010-03-31,667.104
2010-04-30,644.877
2010-05-31,561.903
2010-06-30,547.834
2010-07-30,624.666
2010-08-31,594.49
2010-09-30,656.755
2010-10-29,690.992
2010-11-30,621.516
2010-12-31,675.482
2011-01-31,724.403
2011-02-28,747.716
2011-03-31,734.036
2011-04-29,793.377
2011-05-31,761.601
2011-06-30,749.474
2011-07-29,716.395
2011-08-31,634.371
2011-09-30,576.079
2011-10-31,647.092
2011-11-30,614.32
2011-12-30,606.114
2012-01-31,630.363
2012-02-29,667.067
2012-03-30,655.45
2012-04-30,630.56
2012-05-31,554.07
2012-06-29,609.407
2012-07-31,608.767
2012-08-31,645.789
2012-09-28,667.962
2012-10-31,681.986
2012-11-30,693.695
2012-12-31,718.176
2013-01-31,764.332
2013-02-28,726.094
2013-03-29,717.767
2013-04-30,758.806
2013-05-31,764.764
2013-06-28,721.626
2013-07-31,779.988
2013-08-30,770.473
2013-09-30,832.087
2013-10-31,880.027
2013-11-29,892.14
2013-12-31,911.534
2014-01-31,880.006
2014-02-28,943.767
2014-03-31,933.058
2014-04-30,965.931
2014-05-30,972.239
2014-06-30,973.486
2014-07-31,944.805
2014-08-29,944.362
2014-09-30,908.338
2014-10-31,874.876
2014-11-28,884.816
2014-12-31,843.406
2015-01-30,830.598
2015-02-27,881.556
2015-03-31,853.71
2015-04-30,894.656
2015-05-29,880.048
2015-06-30,850.995
2015-07-31,871.288
2015-08-31,805.68
2015-09-30,750.687
2015-10-30,802.558
2015-11-30,782.238
2015-12-31,755.278
2016-01-29,697.605
2016-02-29,687.082
2016-03-31,727.712
2016-04-29,759.591
2016-05-31,752.988
2016-06-30,712.362
2016-07-29,737.166
2016-08-31,749.062
2016-09-30,754.159
2016-10-31,754.118
2016-11-30,744.749
2016-12-30,796.605
2017-01-31,808.311
2017-02-28,806.083
2017-03-31,844.367
2017-04-28,867.496
2017-05-31,905.532
2017-06-30,901.025
2017-07-31,933.178
2017-08-31,927.367
2017-09-29,966.396
2017-10-31,962.753
