Date,EUROPE LARGE VALUE Large Cap
1994-05-31,190.026
1994-06-30,188.649
1994-07-29,199.968
1994-08-31,205.523
1994-09-30,197.119
1994-10-31,207.619
1994-11-30,199.904
1994-12-30,199.871
1995-01-31,198.575
1995-02-28,201.511
1995-03-31,211.892
1995-04-28,217.8
1995-05-31,223.268
1995-06-30,223.059
1995-07-31,234.127
1995-08-31,222.448
1995-09-29,228.421
1995-10-31,228.886
1995-11-30,231.384
1995-12-29,240.32
1996-01-31,240.753
1996-02-29,244.181
1996-03-29,245.448
1996-04-30,247.884
1996-05-31,252.449
1996-06-28,253.732
1996-07-31,251.979
1996-08-30,259.173
1996-09-30,265.395
1996-10-31,272.433
1996-11-29,287.328
1996-12-31,295.349
1997-01-31,295.263
1997-02-28,299.5
1997-03-31,308.938
1997-04-30,307.308
1997-05-30,324.127
1997-06-30,336.334
1997-07-31,354.609
1997-08-29,337.601
1997-09-30,369.979
1997-10-31,352.159
1997-11-28,356.291
1997-12-31,368.876
1998-01-30,380.971
1998-02-27,409.088
1998-03-31,443.842
1998-04-30,454.827
1998-05-29,462.096
1998-06-30,469.543
1998-07-31,475.232
1998-08-31,413.406
1998-09-30,399.434
1998-10-30,425.286
1998-11-30,444.144
1998-12-31,456.354
1999-01-29,453.308
1999-02-26,449.351
1999-03-31,461.786
1999-04-30,490.289
1999-05-31,466.884
1999-06-30,473.123
1999-07-30,479.576
1999-08-31,483.605
1999-09-30,476.592
1999-10-29,487.019
1999-11-30,488.789
1999-12-31,522.377
2000-01-31,461.381
2000-02-29,464.011
2000-03-31,492.141
2000-04-28,472.158
2000-05-31,479.526
2000-06-30,493.837
2000-07-31,485.572
2000-08-31,484.966
2000-09-29,469.54
2000-10-31,471.636
2000-11-30,464.709
2000-12-29,497.924
2001-01-31,503.405
2001-02-28,473.927
2001-03-30,445.818
2001-04-30,473.56
2001-05-31,457.309
2001-06-29,448.065
2001-07-31,451.368
2001-08-31,444.425
2001-09-28,398.355
2001-10-31,406.212
2001-11-30,418.628
2001-12-31,428.439
2002-01-31,411.631
2002-02-28,411.924
2002-03-29,439.65
2002-04-30,444.237
2002-05-31,452.195
2002-06-28,432.173
2002-07-31,383.059
2002-08-30,388.904
2002-09-30,326.361
2002-10-31,360.0
2002-11-29,379.115
2002-12-31,363.466
2003-01-31,346.453
2003-02-28,336.939
2003-03-31,328.609
2003-04-30,370.233
2003-05-30,399.152
2003-06-30,403.061
2003-07-31,413.002
2003-08-29,409.839
2003-09-30,413.625
2003-10-31,443.86
2003-11-28,461.472
2003-12-31,509.801
2004-01-30,505.685
2004-02-27,517.642
2004-03-31,502.579
2004-04-30,503.802
2004-05-31,513.198
2004-06-30,521.707
2004-07-30,509.966
2004-08-31,512.668
2004-09-30,534.713
2004-10-29,555.727
2004-11-30,594.57
2004-12-31,619.995
2005-01-31,609.983
2005-02-28,643.669
2005-03-31,626.266
2005-04-29,603.838
2005-05-31,603.322
2005-06-30,615.972
2005-07-29,638.781
2005-08-31,644.535
2005-09-30,656.55
2005-10-31,638.322
2005-11-30,649.213
2005-12-30,670.153
2006-01-31,711.112
2006-02-28,716.37
2006-03-31,739.637
2006-04-28,775.681
2006-05-31,757.456
2006-06-30,759.865
2006-07-31,775.89
2006-08-31,799.687
2006-09-29,808.959
2006-10-31,847.452
2006-11-30,872.304
2006-12-29,900.953
2007-01-31,899.723
2007-02-28,892.738
2007-03-30,916.732
2007-04-30,982.483
2007-05-31,1000.0
2007-06-29,1002.584
2007-07-31,972.3
2007-08-31,951.435
2007-09-28,996.795
2007-10-31,1043.987
2007-11-30,996.043
2007-12-31,980.132
2008-01-31,866.161
2008-02-29,867.892
2008-03-31,873.619
2008-04-30,927.663
2008-05-30,916.05
2008-06-30,823.534
2008-07-31,799.666
2008-08-29,770.861
2008-09-30,653.336
2008-10-31,506.466
2008-11-28,475.753
2008-12-31,500.623
2009-01-30,428.468
2009-02-27,375.561
2009-03-31,406.923
2009-04-30,486.469
2009-05-29,546.16
2009-06-30,531.873
2009-07-31,591.858
2009-08-31,647.208
2009-09-30,675.458
2009-10-30,655.985
2009-11-30,674.795
2009-12-31,683.125
2010-01-29,634.777
2010-02-26,617.248
2010-03-31,654.324
2010-04-30,631.662
